rank	username	minecraft:picked_up/minecraft:painting
1	500am	2129
2	Mahoose	1752
3	Werbe	1588
4	kekhon	1394
5	pintsizedrogue	1080
6	NameGenerat0r	1053
7	Hyp3rion_	898
8	luseis	872
9	Lez_	849
10	Caribouse	807
11	Merv__	739
12	Steelynan	619
13	SaucyDark	530
14	TheShyPig	512
15	beeperbeeper5	497
16	titanlax	483
17	PlasticOtari	476
18	Enderxz3	467
19	Burge_r	458
20	theonlymagikarp	455
21	Akoot_	446
22	EveryonesUncle	445
23	MattieHD	399
24	Xclax101	363
25	Wooptey	355
26	Njensen7	297
27	FreakGenius	291
28	miramyu	279
29	royal_2	264
30	Manaateee	260
31	Napoleonpancake	258
32	ROY4LE	255
33	Spaghettatron	245
34	Soplight	235
35	thewindmillman	232
36	Blackberry1310	229
37	12Magner05	225
37	Ezekson	225
39	Inchef	211
39	Nicserso	211
41	Rumpletaezer	202
42	SolarKar	199
43	CLG_Kata	197
43	_Dean_123	197
45	PaperCanvas	192
46	Lord_Doob	184
47	AlphaWolfPlaysMC	181
47	__tomato	181
49	EdGalbraith	178
50	Ozixar	172
51	Jimb0nat0r	170
52	burbankbuilder28	166
53	_Razaria	158
54	xxPipperDipperxx	156
54	r123moore	156
56	RoskobiOne	154
57	Kowcio_	153
58	ImpavidArcher	150
59	Ryan_GEMS	145
60	thescout7	142
61	Cruncy_	137
62	SuperPooch06	133
63	Kubeusz2010	132
64	Groovy_MoonBird	131
65	Bumpy419	129
66	Rebytre	128
67	Historical_Sand	124
67	Eczbek	124
69	Reneedium	122
70	TheSecondLord	120
71	Quotary	119
72	Mr_Byzantine	118
73	m_be9	116
74	Niklas20114552	115
75	ShedJr_	114
75	whoaluv	114
75	Lord_Jord	114
78	mobunni	113
79	TheRomanNoodles1	112
79	RobotMinion101	112
81	sp00ky_ghost977	110
81	CalebDHawk	110
83	zorin123	109
83	Legendosh	109
85	censorsheep	108
86	robonya_	107
87	Jackattack53	105
87	epiksk8erduck	105
89	xzvu	104
90	Fullut	103
90	El_Jalapeno	103
92	_havick	102
93	_3Stump_	100
94	Factoroni	98
95	XxCookiequeenxX	96
95	ZeaBaron	96
97	ougstur	94
98	M_Patata	91
98	Arceus1975	91
100	GingerNeutron	87
100	Kubelz	87
102	AJplaysMC_	85
102	Mattesco	85
104	Ishy_	83
104	420BreadLizard	83
104	TechnoNinja64	83
107	Saucepeh	82
107	Maenara	82
107	Eraxa	82
107	SvenskaHugo	82
107	taengoos	82
112	oscminus	81
112	claivin	81
114	doublemaki	80
114	KamFurnace	80
116	squigglybones	79
117	_MeowMix	77
118	RatatJuice	76
118	Winklepicker279	76
118	JETrotter	76
121	SvenskaSara	75
122	heckface	74
123	Prismyst	73
123	Kakolbus	73
123	MasterNueve	73
126	MinuteMira	72
127	Dakar_	71
127	wwwwinnebagoooo	71
129	Hpdinosaur	70
130	Bandito_Roamer	69
131	CacheOut	68
132	EcksD	67
133	Tyrannosplart	66
134	ZaneABrain	64
135	KeruNatsema	63
136	JayToe	62
137	MAns_44	61
137	Spenduh	61
137	xorompole	61
140	hm947	60
140	knarian	60
142	craaaash	59
142	IdeallyGrey	59
144	FiguraDei	58
144	SSytex_X	58
146	Marbz_	55
146	Studyhallsaver	55
148	fallingemma	54
148	KillerNekoRain	54
148	PuFY	54
148	Heisenbberrg	54
152	CaptainSteve345	53
152	Donutt	53
152	Drewen24	53
152	Fuad_R	53
156	k_ce	52
156	Avocadogerms	52
156	hermmm_	52
159	iSammael	51
159	Pumpkin_P_Patch	51
161	a_d_e_x	50
161	TheKingK_	50
163	00000000-0000-0000-0009-01ff0c3e5e4f	49
164	PhantomsGhost_	48
164	BlankityMcBlank	48
166	Blu3beast	47
166	SammiWolfGirl	47
168	PegLegPete93	46
168	RedcatVII	46
168	cichy096	46
168	MelodyGaysharks	46
172	mwrty	45
172	Bazongoman	45
172	yyatsuta	45
175	Avrelion	44
176	Guillemet	43
176	DSYisDizzy	43
176	wezzzi	43
176	fkGrim	43
176	SingedBread	43
181	2Stout	42
181	Voxin2K	42
181	KermitTheKripple	42
181	Yamdalorian	42
185	fr0stss	41
185	shdesolt	41
185	excelsionprime	41
185	himak1	41
185	Stiar	41
185	theofiel	41
191	Luminad3	40
191	djancak	40
