rank	username	minecraft:picked_up/minecraft:guster_pottery_sherd
1	thewindmillman	49
2	Yamdalorian	13
3	oscminus	11
4	k_ce	10
5	TheKingK_	9
6	pixelviolin	7
7	Pumpkin_P_Patch	5
8	MAns_44	4
8	Buuck_	4
10	Enderxz3	3
11	Mr_Byzantine	2
11	Secret_Canary	2
11	00000000-0000-0000-0009-01fe065167f0	2
14	MyMawgDonaldsGon	1
14	MattieHD	1
14	lpinfinity	1
14	Steelynan	1
