rank	username	minecraft:picked_up/minecraft:blue_glazed_terracotta
1	thescout7	1013
2	Di_infiri	393
3	lordpipe	364
4	noam464	205
5	r123moore	158
6	kekhon	97
7	Hermanni__	78
8	KarlKaek	73
9	Merv__	70
10	ROY4LE	64
11	ImpavidArcher	57
11	sebastiensaborio	57
13	Soplight	33
14	Bandito_Roamer	32
14	Parcc	32
16	YungMaki	26
17	Werbe	23
18	jnp_gaming	20
19	2Stout	19
20	Blu3beast	18
21	Akoot_	17
22	Inbefour	15
23	Nicserso	13
24	Barlycorn	11
25	PlasticOtari	9
26	titanlax	7
26	Bumpy419	7
28	Mahoose	6
28	Kubelz	6
28	MakeHistory157	6
31	eitanzaki	5
31	Kim_Jong_eel	5
31	Blaiku	5
34	_Virify_	4
34	joethahobo	4
34	beeperbeeper5	4
34	Inchef	4
34	oxfordschool	4
39	rarrq	3
39	Blackberry1310	3
39	bbquakes	3
39	thewindmillman	3
39	TheShyPig	3
39	Frozil12	3
39	mobunni	3
39	aubergined	3
47	Mr_Byzantine	2
47	teslawolf38	2
47	GLLogan2	2
47	Nach0Bear	2
47	Hiryu27	2
47	KG1999	2
47	SammiWolfGirl	2
54	ProbablyNick	1
54	TheSecondLord	1
54	jushykins	1
54	MrExplorer	1
54	Fullut	1
54	__Fanda__	1
54	Macho_Tacos	1
54	KingMatthew506	1
54	laron58	1
54	Ezekson	1
54	TechnoNinja64	1
54	EcksDofficial	1
54	Smoke____	1
