rank	username	minecraft:picked_up/minecraft:yellow_banner
1	Smashic	149
2	WyngGoy	120
3	Legendosh	98
4	Kowcio_	88
5	UCP_TheKingK	74
6	Werbe	58
7	pintsizedrogue	48
8	beeperbeeper5	47
9	TechnoNinja64	46
10	Soplight	45
11	SteveCraftBlocks	44
12	luseis	41
13	Groovy_MoonBird	38
13	500am	38
15	MattieHD	29
16	Kakolbus	28
17	Huwulling	25
18	EveryonesUncle	24
19	Lez_	19
20	PhantomsGhost_	17
21	Mahoose	16
22	TheShyPig	15
23	kekhon	14
23	starbits140	14
25	thewindmillman	12
26	Fullut	10
27	Arceus1975	9
28	Historical_Sand	8
29	Rasmanden	7
29	vandmanden	7
31	shineh10	6
31	whoaluv	6
31	Lord_Jord	6
31	_Bguette_	6
31	Xclax101	6
31	YungMaki	6
31	jnp_gaming	6
31	AdmiralSmoke	6
39	Sleepy_Time_	5
39	xxPipperDipperxx	5
41	CLG_Kata	4
41	ImpavidArcher	4
41	AlexxO_o	4
41	HellsSponge	4
41	ZoomieZoomie	4
41	h2p_emrld	4
47	Merv__	3
47	Frozil20	3
47	noam464	3
47	lcvezra	3
47	SammiWolfGirl	3
47	88Hazza88	3
53	_darky1_	2
53	RatatJuice	2
53	H72l9w	2
53	Blackberry1310	2
53	_Dean_123	2
53	HoltGrim	2
53	Snowflowe	2
53	Hoid_the_Roamer	2
53	Skylord_Luke	2
53	LeGold	2
53	Quaintster	2
53	Eraxa	2
53	Dreamdbr14	2
53	Enderxz3	2
67	BPTY4618	1
67	Sleek_Storm_721	1
67	LionelHutzESQ	1
67	Shadoko_	1
67	nevywop	1
67	titanlax	1
67	TheSecondLord	1
67	m_be9	1
67	12Magner05	1
67	Xalithia	1
67	arcanemagic	1
67	Ecplosive	1
67	Hyp3rion_	1
67	Hiryu27	1
67	oscminus	1
67	ApophisNova	1
67	epiksk8erduck	1
67	yulgur1	1
67	Fuad_R	1
67	claivin	1
67	Blaiku	1
67	JoCoLi	1
67	LazySupport00	1
67	ChiefThrock	1
67	lordpipe	1
67	geekbird	1
67	Kyrum2169	1
67	Steelynan	1
67	EcksD	1
67	MyNamaSheff	1
