rank	username	minecraft:picked_up/minecraft:iron_ore
1	joethahobo	48218
2	gcaisawesome	23949
3	TheShyPig	20176
4	HellsSponge	16712
5	Di_infiri	16399
6	Smoke____	14092
7	Spacewardharpy7	13776
8	Werbe	13650
9	PigDab	13571
10	AssEatrAndLicker	13139
11	Ezekson	11962
12	EMC_	11203
13	Enderslayerxz3	10575
14	thewindmillman	9244
15	m_be9	8957
16	Blaiku	8182
17	vandmanden	8142
18	YungMaki	8089
19	livingdaydreams	7745
20	lordpipe	7295
21	Zythose	6903
22	pintsizedrogue	6825
23	Deathkob	6771
24	Miko_Fullbuster	6530
25	Natofthese	6374
26	Cowison	6131
27	EcksD	5964
28	noam464	5869
29	BobDeBouwer1337	5846
30	Snowflowe	5835
31	PhantomsGhost_	5723
32	EveryonesUncle	5700
33	FallenCorps	5682
34	Skippeh	5559
35	Blackberry1310	5474
35	Mewar	5474
37	sebastiensaborio	5140
38	MyNameIsJobo	5062
39	rarrq	5046
40	Bumpy419	5031
41	RebelAndroid	4945
42	Onennon	4849
43	Fullut	4842
44	12Magner05	4828
45	wezzzi	4785
46	Vetral1	4694
47	kekhon	4554
48	mwrty	4527
49	ApophisNova	4489
49	MyNamaSheff	4489
51	Barlycorn	4312
52	sp00ky_ghost977	4299
53	awesomeoneme	4282
54	censorsheep	4189
55	Rumpletaezer	3988
56	T045RTY	3796
57	yulgur1	3708
58	oxfordschool	3642
59	Cocoamallows	3601
60	PeteO1995	3588
61	masskedman	3482
62	Ecplosive	3466
63	6king6colt6	3459
64	Franco093	3348
65	Xclax101	3307
66	Akoot_	3266
67	MightyWertu	3177
68	ROY4LE	3139
69	Malorn_Aetherius	3052
70	anbbang	3041
71	RedcatVII	2972
72	SaucyDark	2951
73	Lord_Jord	2926
74	Kakolbus	2902
75	Bandito_Roamer	2880
76	Euclidoris	2827
77	TooManyDuck	2798
78	Legendosh	2790
79	Freak_Genius	2738
80	500am	2724
81	TechnoNinja64	2710
82	GoofyBread	2679
83	SammiWolfGirl	2676
84	SkateboardR6	2646
85	Hyp3rion_	2551
86	TheThomas69	2515
87	AuroraValkyrie	2452
88	Zaridey	2451
89	RodSerlingCringe	2447
90	eviltunix	2444
91	Hisiste	2434
92	PlasticOtari	2430
93	TheSecondLord	2417
94	Inbefour	2373
95	El_Jalapeno	2352
96	Airem_Core	2345
97	Arceus1975	2326
98	Groundler	2289
99	ProfessorBee	2286
100	audiocracked	2283
101	Jovaphobic	2273
102	Frozil12	2252
103	RadarHz	2244
104	beeperbeeper5	2231
105	_Nuf	2225
106	Toriankel	2221
107	KarlKaek	2217
108	PlzNoBM	2202
109	Maenara	2150
110	_TCARREIRA_	2149
111	h2p_emrld	2142
112	TheDankPlatypus	2120
113	ImpavidArcher	2099
114	cedric72	2098
114	FelixPSY375	2098
116	M_Patata	2096
117	lcvezra	2061
118	ooga47	2038
119	NotMeowMix	2015
120	MasterNueve	2009
121	DTwenty	2003
122	Njensen7	2001
123	Mahoose	1957
124	Meatlaugh	1956
125	UncreativeArtist	1948
126	Soplight	1942
127	thescout7	1928
128	WyngGoy	1922
129	Skylord_Luke	1883
130	amkold	1864
131	eiC_	1832
132	FirsTimeGamingTV	1803
133	FishyBoy3811	1802
134	Rasmanden	1777
135	set67	1753
136	Russiancat1	1751
137	SSytex_X	1749
