rank	username	minecraft:picked_up/minecraft:gray_terracotta
1	thewindmillman	102937
2	EcksD	3838
3	joethahobo	2147
4	titanlax	1090
5	Inbefour	853
6	DarlaMeow	633
7	YungMaki	618
8	xxPipperDipperxx	400
9	Rumpletaezer	334
10	eitanzaki	302
11	Mahoose	255
12	Di_infiri	133
13	Arceus1975	123
14	Werbe	114
15	Manaateee	76
16	kekhon	67
17	Akoot_	65
18	CattSoup	64
19	ConnorDanky_	61
20	Blackberry1310	59
21	Kakolbus	39
22	Hiryu27	33
23	NameGenerat0r	32
24	Kowcio_	27
25	Hyp3rion_	26
26	Huwulling	24
27	_Karmaa	19
28	TheSecondLord	15
28	Sral7	15
30	jessewegottacook	13
31	NinjaKnifeKill	12
32	Bandito_Roamer	10
32	Nicserso	10
34	MonitorLizards	9
34	luseis	9
36	Snowflowe	8
36	Dan_Scha	8
36	Deathkob	8
39	_Huge_Male_	7
39	Syropatathe	7
39	ZoomieZoomie	7
42	ImpavidArcher	6
42	Jimb0nat0r	6
44	pintsizedrogue	5
44	Comma__	5
46	500am	4
46	Chromary	4
48	Crowman1	3
48	noam464	3
48	Zaridey	3
48	MilleGrug	3
52	Tommhh	2
52	Mattesco	2
52	PlasticOtari	2
55	PazinGaming	1
55	Frozil20	1
55	Marbz_	1
55	burbankbuilder28	1
55	Eraxa	1
55	obzii	1
