rank	username	minecraft:picked_up/minecraft:skeleton_skull
1	TheSecondLord	88
2	Hyp3rion_	32
3	Fullut	26
3	YungMaki	26
5	thewindmillman	22
5	SingedBread	22
7	Blaiku	20
8	rarrq	17
9	kekhon	15
10	Blu3beast	13
11	beeperbeeper5	12
12	oxfordschool	10
13	DinoDoctor_	9
13	Mahoose	9
13	chipklip	9
16	Onennon	8
17	joethahobo	7
17	fluddd	7
17	pixelviolin	7
17	jnp_gaming	7
17	PlasticOtari	7
22	ImpavidArcher	6
22	noam464	6
22	Rebytre	6
22	Jiminie	6
26	gabriels543	5
26	Maenara	5
26	Spacewardharpy7	5
26	33sudo	5
26	Ezekson	5
31	pintsizedrogue	4
31	PhantomsGhost_	4
31	500am	4
31	claivin	4
31	Freak_Genius	4
31	Legendosh	4
37	Drlzyy	3
37	eitanzaki	3
37	fr0stss	3
37	Blackberry1310	3
37	MrExplorer	3
37	egglapras	3
37	Wowful	3
37	Inbefour	3
37	Frozil12	3
37	Dusk_95	3
37	sp00ky_ghost977	3
37	stahouo	3
37	Kubeusz2010	3
37	HesDemonPants	3
51	Jovaphobic	2
51	Groovy_MoonBird	2
51	SaucyDark	2
51	ShedJr_	2
51	TheDiamondCG	2
51	thescout7	2
51	Inchef	2
51	Jackattack53	2
51	lillips	2
51	Segotep999	2
51	Soplight	2
51	SSytex_X	2
51	Skippeh	2
51	Enderslayerxz3	2
51	TechnoNinja64	2
51	Smoke____	2
67	Wooptey	1
67	MrKrabOnCoke	1
67	Da_Boss_Rani	1
67	Mercadies	1
67	MattieHD	1
67	shyshyannne	1
67	Kkanot	1
67	Avermu	1
67	Di_infiri	1
67	GoigeFZ	1
67	ApophisNova	1
67	fred870d	1
67	Akoot_	1
67	fw3xywashere	1
67	fkGrim	1
67	HellsSponge	1
67	Travka100	1
67	Xclax101	1
67	wwwwinnebagoooo	1
67	stavgod	1
67	Eraxa	1
67	Goldiethebear03	1
67	jcool7	1
67	KingMatthew506	1
67	Hermanni__	1
67	MyNamaSheff	1
67	EcksDofficial	1
