rank	username	minecraft:picked_up/minecraft:purple_stained_glass
1	Hyp3rion_	108908
2	AdmiralSmoke	7252
3	Manaateee	1436
4	NatalieTW	1277
5	thewindmillman	972
6	XboxPanda	631
7	beeperbeeper5	618
8	TheShyPig	521
9	jnp_gaming	454
10	lordpipe	419
11	FishisTTV	324
12	ROY4LE	310
13	HellsSponge	243
14	sxc_	225
15	TheEnderMan548	169
15	Kowcio_	169
17	Blaiku	135
18	__Auspicious	128
19	XxCookiequeenxX	125
20	TheSecondLord	106
21	hanaryheatwave	70
22	stavgod	69
22	KingMatthew506	69
24	Steelynan	68
25	eitanzaki	65
26	Blu3beast	64
27	ConnorDanky_	62
28	noam464	61
29	Snowflowe	57
30	mwrty	47
31	Lez_	45
32	luseis	41
33	m_be9	38
34	Jackattack53	36
34	00000000-0000-0000-0009-01ff0c3e5e4f	36
36	Sleek_Storm_721	34
37	titanlax	32
38	Jovaphobic	27
39	YungMaki	26
40	joethahobo	25
41	ApophisNova	24
41	MyNamaSheff	24
43	King_Pancake1	23
44	Soplight	17
45	pintsizedrogue	16
45	Mahoose	16
47	Enderxz3	14
48	Mattesco	13
48	Inbefour	13
50	Hermanni__	12
51	Racengan	10
51	EcksD	10
53	_Nuf	9
54	Groovy_MoonBird	8
54	AuroraValkyrie	8
54	El_Jalapeno	8
54	MakeHistory157	8
54	jcool7	8
54	VentiHilton	8
60	SaucyDark	7
60	heckface	7
60	Di_infiri	7
60	oscminus	7
60	Groundler	7
65	SmashingPump	6
65	Fullut	6
65	ougstur	6
65	MineMaster0012	6
65	AltnumberF4	6
70	SeverianOfUrth	5
70	PaperCanvas	5
70	Maenara	5
70	Jiminbub	5
70	xzvu	5
75	IronArshXS	4
75	_Bguette_	4
77	6king6colt6	3
77	MattieHD	3
77	SteveCraftBlocks	3
77	Werbe	3
77	claivin	3
77	Spacewardharpy7	3
77	__tomato	3
77	Eczbek	3
77	Smaldo	3
77	UrbanPlanningEx	3
87	H0UNDFRMH3LL	2
87	BPTY4618	2
87	Hpdinosaur	2
87	12Magner05	2
87	Lunkuku	2
87	_Meow_Mix	2
87	pixelviolin	2
87	_i_ERROR_i_	2
87	Ezekson	2
87	Quotary	2
97	Apollo_993	1
97	PazinGaming	1
97	Merv__	1
97	powercas_gamer	1
97	Incinere	1
97	Vizzoid	1
97	BobDeBouwer1337	1
97	corvidpartyfor6	1
97	_Dean_123	1
97	500am	1
97	Smashic	1
97	Inchef	1
97	xxPipperDipperxx	1
97	Marbz_	1
97	yheece	1
97	Rumpletaezer	1
97	Rocco_Lane	1
97	RobotMinion101	1
97	HyperCave	1
97	EveryonesUncle	1
97	lillips	1
97	FreakGenius	1
97	MightyWertu	1
97	mihimihimihi	1
97	Cocoamallows	1
97	MilleGrug	1
97	TechnoNinja64	1
97	Jimb0nat0r	1
