rank	username	minecraft:picked_up/minecraft:quartz_bricks
1	Smoke____	1663
2	Lord_Jord	1610
3	RebelAndroid	878
4	fade_emerge78823	620
5	Freak_Genius	567
6	Dusk_95	554
7	paranoid_plant	519
8	beeperbeeper5	507
9	NomadicRobin_	378
10	Ezekson	368
11	SingedBread	324
12	himak1	309
13	xxPipperDipperxx	270
14	diamondgolem35	256
15	Lutres_Torane	237
16	Blackberry1310	221
17	Mahoose	206
18	PigDab	194
19	eitanzaki	180
19	joethahobo	180
21	EcksD	156
22	Spacewardharpy7	146
23	SammiWolfGirl	140
24	lillips	139
24	Fuad_R	139
26	Snowflowe	135
27	Winklepicker279	123
28	Awyrlas	121
29	HAIRYCLOUD626	117
30	KarlKaek	112
31	MeetTheWollo	111
32	JohnnyFyes	110
33	BobDeBouwer1337	106
33	kekhon	106
35	Whiterooster001	103
36	Eczbek	96
37	Nycteus_	95
38	MangoTheFish	93
39	Marbz_	91
40	lordpipe	89
41	PlasticOtari	87
42	set67	85
43	Akoot_	84
44	EveryonesUncle	83
45	Lez_	82
46	sadvavilloso	81
47	Frozil12	79
48	Cowison	72
49	Drlzyy	64
49	BugsDaBunny	64
49	SkateboardR6	64
52	noodlepack	58
52	The_Quack_Dealer	58
54	FishyBoy3811	55
55	jcool7	52
56	0nly_sn1per	51
57	ImpavidArcher	48
58	MSK__	46
58	TheSecondLord	46
60	Segotep999	45
61	EcksDofficial	39
62	Optiprimus	38
63	Hyp3rion_	36
63	Rocco_Lane	36
65	jiggywraps	34
66	noam464	32
67	mobunni	30
68	DarlaMeow	29
69	oxfordschool	27
69	Quotary	27
71	Crafter45	19
72	Steelynan	18
73	rarrq	16
74	LoboTheLobster	15
75	Dedalus36	14
76	Chromary	13
76	Blaiku	13
78	Inchef	12
78	MAns_44	12
78	YungMaki	12
78	Hermanni__	12
82	pintsizedrogue	11
82	Myszoaz	11
82	Kubeusz2010	11
85	burbankbuilder28	10
85	Spenduh	10
87	Historical_Sand	9
87	wwwwinnebagoooo	9
89	CoffeeNoir	8
89	ApophisNova	8
89	CruncyIsTaken	8
89	fluddd	8
89	MyNamaSheff	8
89	trexgb	8
95	Smashic	7
95	Z3braYTIL	7
95	Nicky19	7
95	Jiminie	7
95	HellsSponge	7
95	its_lupus	7
101	Hpdinosaur	6
101	500am	6
101	Jackattack53	6
101	TheEnderman548	6
101	Enderslayerxz3	6
106	Merv__	5
106	WarHammer3	5
106	ShedJr_	5
106	bloodbiter	5
106	egglapras	5
106	CaptainBadKid	5
106	Rebytre	5
106	LexMakesHistory	5
106	HesDemonPants	5
115	soundad	4
115	Freebolt	4
115	thescout7	4
115	mimbo1211	4
115	Di_infiri	4
115	Moofyman	4
115	Wowful	4
115	Syropatathe	4
115	claivin	4
115	Steven1282598	4
115	Racengan	4
115	Eraxa	4
115	Soplight	4
115	00000000-0000-0000-0009-01ff0c3e5e4f	4
129	12Magner05	3
129	ROY4LE	3
129	xambsam	3
129	thewindmillman	3
129	fw3xywashere	3
129	hdtpm	3
129	Kowcio_	3
129	tartanboy	3
137	Menthas	2
137	Yatitay	2
137	Huwulling	2
137	SpaceGrenadier	2
137	_Dean_123	2
137	Mookle96	2
137	SBean737	2
137	LAVA129	2
137	pappaberg	2
137	Werbe	2
137	KartivGal	2
137	TJawesome09	2
137	Mr_Gulle	2
137	SlinkyPinky	2
137	ThatMan_Dave	2
137	monky_irl	2
137	pixelviolin	2
137	obzii	2
137	UltraZombie	2
137	MilleGrug	2
137	Aryamanee	2
158	Flegneh	1
158	teslawolf38	1
158	q_wq	1
158	EMC_	1
158	IronArshXS	1
158	Gundam_Steven	1
158	T045RTY	1
158	ZaneABrain	1
158	Axel_Foley	1
158	CliffEmAll	1
158	Chickenchaser2	1
158	rpmm	1
158	Lumien_	1
158	4774	1
158	Xalithia	1
158	gcaisawesome	1
158	Yuvl	1
158	Kakolbus	1
158	SlayerCrypto	1
158	Norrhede	1
158	Zythose	1
158	_Boipl_	1
158	BronkerBrum	1
158	SlothInASuit	1
158	AlexxO_o	1
158	Gmoney390	1
158	masskedman	1
158	Deathkob	1
158	jake314810	1
158	TheTommyGun63	1
158	Ze_BaronKrigler	1
158	KG1999	1
158	UCP_TheKingK	1
158	djancak	1
158	brofrickcheaters	1
158	Poppy235	1
158	y0shik	1
158	88Hazza88	1
158	Legendosh	1
158	jnp_gaming	1
158	PA_Tech_Gaming	1
158	kinas45y5	1
158	FishisTTV	1
