rank	username	minecraft:picked_up/minecraft:magenta_wool
1	thewindmillman	257053
2	noam464	100715
3	joethahobo	56425
4	EcksD	14189
5	HellsSponge	8440
6	xxPipperDipperxx	5733
7	PhantomsGhost_	3456
8	hermmm_	3034
9	EMC_	2050
10	Yamdalorian	1774
11	Spacewardharpy7	1736
12	beeperbeeper5	1644
13	FreakGenius	1530
14	Hyp3rion_	1390
15	ConnorDanky_	1361
16	Mr_Byzantine	1056
17	Huwulling	821
18	doublemaki	806
19	Inbefour	713
20	Mahoose	655
21	Lez_	559
22	McCakeAh	552
23	Spaghettatron	502
24	Ezekson	482
25	cutelilreno	346
26	craaaash	336
27	TechnoNinja64	322
28	lordpipe	285
29	The11thDoctor	220
30	PigDab	193
31	Wooptey	171
32	FirsTimeGamingTV	162
32	Xclax101	162
34	Blackberry1310	161
35	mwrty	158
36	Lutres_	157
37	UrbanPlanningEx	150
38	SammiWolfGirl	146
39	Maenara	141
39	NomadicRobin_	141
41	Frozil20	136
42	lunkuku	135
43	JackyKwacky	128
44	SaucyDark	111
45	royal_2	110
45	ROY4LE	110
47	Napoleonpancake	105
48	masskedman	104
49	500am	102
50	Fullut	89
51	Werbe	88
52	Bumpy419	87
53	SpacesickPrism	84
54	Chromary	83
54	TheEnderMan548	83
56	Buuck_	77
57	Legendosh	76
58	El_Jalapeno	75
59	AJplaysMC_	73
60	Crowman1	72
61	Niklas20114552	69
61	robonya_	69
61	PlasticOtari	69
64	Swexti	64
64	fr_ser	64
66	pr33tu	63
67	_flud	60
68	Kateesaur	56
69	WyngGoy	53
70	censorsheep	52
71	Afinnity	48
72	Comma__	47
73	MindyDooWho	46
73	Enderxz3	46
75	Blaiku	43
76	djancak	35
77	Rumpletaezer	32
77	Manaateee	32
77	Jimb0nat0r	32
80	PlzNoBM	28
81	CLG_Kata	27
81	KingMatthew506	27
83	Archsam	26
84	Russiancat1	25
85	RebelAndroid	24
86	6king6colt6	22
86	TheWickedBird	22
88	WET_WET_WET	20
89	_Huge_Male_	19
89	Kowcio_	19
91	marumochis	17
92	queenalina123	16
93	Zaridey	15
93	Mattesco	15
93	Akoot_	15
96	pixelviolin	14
97	TheSecondLord	12
98	Di_infiri	11
99	PazinGaming	10
99	QuiCreans	10
99	Dakar_	10
99	NameGenerat0r	10
103	eitanzaki	9
103	U_Mos_	9
103	Kura2218	9
103	Quotary	9
107	Eraxa	8
107	_i_ERROR_i_	8
109	Historical_Sand	6
109	SoftSix	6
109	yheece	6
109	GravitySaint	6
113	ECstardust	5
113	Jackattack53	5
113	AlexxO_o	5
113	Quaintster	5
113	miramyu	5
118	Merv__	4
118	GingerNeutron	4
118	RobotMinion101	4
118	NormanFetus	4
118	Fuhrer_Teemo	4
118	ProbsNotNova	4
124	robertsnose	3
124	Koffeeinz	3
124	corvidpartyfor6	3
124	Kakolbus	3
124	oscminus	3
124	claivin	3
124	Groundler	3
124	elliebelle107	3
132	BPTY4618	2
132	ZaneABrain	2
132	KomputerDude	2
132	SquadMonster	2
132	InfernalMound	2
132	Sleepy_Evelyn	2
132	kekhon	2
132	_witch_craft_	2
132	Juansinmiedo18	2
132	shadowthemonkey	2
132	Parcc	2
132	Yaniv2007	2
132	luseis	2
132	monky_irl	2
146	ImpavidArcher	1
146	NoHaHeHa	1
146	gaziter10	1
146	NieToksikpl	1
146	MattieHD	1
146	SteveCraftBlocks	1
146	Kkanot	1
146	yuuxxii	1
146	eviltunix	1
146	PeteO1995	1
146	mariominejedi	1
146	Marbz_	1
146	hanaryheatwave	1
146	OreTheBear	1
146	ILoveCarrot	1
146	Lord_Jord	1
146	Tyrannosplart	1
146	Blu3beast	1
146	MentheMan09	1
146	Spankathor	1
146	_Mythic____	1
146	VentiHilton	1
146	es0th	1
