rank	username	minecraft:picked_up/minecraft:small_amethyst_bud
1	Mahoose	217
2	Enderxz3	176
3	corvidpartyfor6	101
4	Frozil20	99
5	thewindmillman	73
6	TheSecondLord	53
6	Hyp3rion_	53
8	pintsizedrogue	49
9	SpacesickPrism	40
10	lordpipe	39
11	Apollo_993	35
12	SuperPooch06	32
13	diamondgolem35	31
14	luseis	26
14	Jimb0nat0r	26
16	hanaryheatwave	22
17	Snowflowe	20
17	pixelviolin	20
19	Kowcio_	17
20	Smashic	15
21	RatatJuice	14
22	RoofTyler	12
23	Alteriity	11
23	Kakolbus	11
23	Solar_Power	11
23	PlasticOtari	11
27	500am	10
28	Flores991	9
28	dartwaffle	9
28	Legendosh	9
31	MilleGrug	8
32	YungMaki	7
33	Lez_	6
33	Crowman1	6
33	12Magner05	6
33	Hermanni__	6
33	Iamthejo	6
38	Myszoaz	5
38	ApophisNova	5
38	MyNamaSheff	5
41	eitanzaki	4
41	Steelynan	4
41	ZoomieZoomie	4
44	ITDV	3
44	Xalithia	3
44	Di_infiri	3
44	Rebytre	3
44	PigDab	3
44	NomadicRobin_	3
44	gusstationwerker	3
51	ShedJr_	2
51	noam464	2
51	AlexxO_o	2
51	binman420	2
51	Deathkob	2
51	SingedBread	2
51	Soplight	2
51	WYFYoyo	2
59	RebelAndroid	1
59	lorpus	1
59	Inchef	1
59	prizm_	1
59	shadowthemonkey	1
59	CollinMH06	1
59	Marbz_	1
59	0Vyp_	1
59	_Boipl_	1
59	KeruNatsema	1
59	GoofySilly	1
59	starbits140	1
59	fffMike	1
59	Skippeh	1
