rank	username	minecraft:picked_up/minecraft:polished_granite
1	Hyp3rion_	3199
2	beeperbeeper5	2697
3	El_Jalapeno	2523
4	AdmiralSmoke	2261
5	joethahobo	1805
6	weabis	1664
7	Hoid_the_Roamer	1244
8	Xclax101	1157
9	MightyWertu	862
10	Rasmanden	849
11	Kowcio_	847
12	bpmm	806
13	MoistMicrowave	760
14	m_be9	697
15	Quincannon	642
16	vandmanden	626
17	FreakGenius	619
18	Winklepicker279	604
19	seramalen	600
20	Mr_Byzantine	543
21	Inbefour	514
22	OfficerAnvil	506
23	Werbe	500
24	Spacewardharpy7	451
25	Snowflowe	427
26	r123moore	405
27	Kakolbus	363
28	BobDeBouwer1337	350
29	eviltunix	331
30	Krowuss	330
31	Legendosh	328
32	DebbieBrunswick	296
33	Vorlice	289
34	Lord_Jord	282
35	Tyrannosplart	279
36	Fuhrer_Teemo	275
37	Onennon	268
38	ChillenChiggen	257
39	Fildyr	254
40	Quotary	250
41	EveryonesUncle	244
42	TheWildMateo	238
43	CuzIm2Kev	234
44	PazinGaming	226
45	Zythose	224
46	Stiar	223
47	CrateOfBoxes	217
48	EMC_	209
48	Mahoose	209
50	Huwulling	208
51	ThePoliteG	202
52	noam464	200
53	_Karmaa	196
54	bloodbiter	195
55	burbankbuilder28	189
56	luseis	188
57	Maenara	181
58	Jimb0nat0r	172
59	jacxhadow	165
60	hanaryheatwave	159
61	kekhon	158
62	LazySupport00	154
63	Steelynan	153
64	MustardDrinker	150
65	Deerfoot	144
66	TheShyPig	142
67	AlphaWolfPlaysMC	138
68	aec9	137
68	PlasticOtari	137
70	pixelviolin	134
71	HellsSponge	131
71	ProbsNotNova	131
73	MattieHD	130
73	NotSoJamie	130
73	OG_Songsee	130
76	lcvezra	128
77	Nicserso	124
78	TheSecondLord	123
79	Matorz	122
80	Merv__	113
80	Touched_Bread	113
82	Tiberonus	109
83	Meatlaugh	100
84	Frozil20	99
84	RobotMinion101	99
86	Mocha_Mug	98
87	Jackster03	96
87	Zoeyfortnite	96
89	diamondgolem35	95
90	CoffeeNoir	94
91	SmashingPump	93
92	12Magner05	90
93	EcksD	88
94	SPUDonSTEROIDS	87
95	CEOofSHINS	85
95	brycepants	85
97	ImpavidArcher	81
97	SpacesickPrism	81
97	Wolverine4302	81
100	Blackberry1310	80
101	NameGenerat0r	78
102	NotMeanttoChange	77
102	Enderxz3	77
104	2Stout	75
105	youhjjhhhjj	74
105	MyNameIsJobo	74
105	ripddann	74
108	KarlKaek	72
108	Jokerman369	72
110	sammidk	71
110	Photosynthesis_s	71
112	EngagedGrub41	69
113	Zaridey	68
113	Soplight	68
115	lordpipe	67
116	rarrq	65
116	ROY4LE	65
118	pintsizedrogue	64
118	kars0n	64
118	bndo	64
121	DemTechAlpha	63
122	Optiprimus	58
122	Sheldor097	58
124	ShedJr_	57
124	xof_on_microwave	57
126	ILoveCarrot	54
126	Racengan	54
126	Ezekson	54
129	theonlymagikarp	52
130	SyK7	51
131	Doom_melon	49
131	Druid95	49
133	Sral7	48
134	Hermanni__	47
135	Arteriana	46
135	Dakar_	46
137	DSYisDizzy	45
138	Megarboh	44
139	mwrty	42
139	Shiirazu	42
141	Mariopreeet	41
141	NNikitas	41
141	HolyVenom	41
144	fkndweeb	39
145	sufjanlover	38
146	Malorn_Aetherius	37
147	monolu	36
148	_Huge_Male_	35
148	stellarjay	35
148	ConnorDanky_	35
151	audiocracked	34
151	_Bguette_	34
153	xxPipperDipperxx	32
153	pappaberg	32
155	I_Am_Mushkin	31
155	Karbl	31
157	Jindong	30
157	Darkgon	30
159	NatalieTW	29
160	ItsGrayWolf	28
160	xiazaku	28
160	MineMaster0012	28
163	Bazongoman	27
163	IamCL4SSY	27
165	xzvu	26
166	NoraTheYandere	25
166	markaus77	25
168	Jovaphobic	24
168	Akoot_	24
170	Fullut	22
170	crying_wolf_13	22
170	_TCARREIRA_	22
173	Felenov	21
173	CaptainDeadBread	21
173	owlcrush	21
176	AuroraValkyrie	20
176	Chromary	20
176	BumbleBeever	20
179	dongli	18
179	eitanzaki	18
179	himak1	18
182	mobunni	17
182	xolstoi	17
184	jessewegottacook	16
184	Mewar	16
184	NotoriousNina	16
184	Di_infiri	16
184	Jackattack53	16
184	SingedBread	16
184	UCP_TheKingK	16
191	Comma__	14
191	Conrad139	14
193	lilsay	13
193	LeauVox4921	13
193	brrh	13
193	mariominejedi	13
193	Mattesco	13
193	KlausVonStiglitz	13
193	fffMike	13
200	_Dean_123	12
200	ApophisNova	12
200	AssFullaCum	12
200	djancak	12
200	MyNamaSheff	12
200	Tristankill	12
206	Allanon1235	11
206	500am	11
206	DarlaMeow	11
206	CalebDHawk	11
210	Groovy_MoonBird	10
210	6king6colt6	10
210	SvenskaHugo	10
210	BlankityMcBlank	10
214	BilboBaggins23	9
214	LordSpeed37	9
214	starbits140	9
214	KingMatthew506	9
214	Skippeh	9
219	k_ce	8
219	Mowelan	8
219	Ssor69	8
219	SteveCraftBlocks	8
219	andy_rex	8
219	MousePlays	8
219	_Crimson_Legate	8
219	NoChumpChange	8
219	07shiny	8
219	Luigipunch989	8
219	PortlyPete69	8
219	Vellu21	8
231	SaucyDark	7
231	LoganDSA	7
231	Lez_	7
231	Historical_Sand	7
231	Blaiku	7
231	radioactv_jelly	7
231	Spenduh	7
231	Zipstor	7
239	Gundam_Steven	6
239	TheThomas69	6
239	Lumien_	6
239	drunkeeez	6
239	fallingemma	6
239	Tergandius	6
239	SkateboardR6	6
239	sp00ky_ghost977	6
239	YungMaki	6
239	obzii	6
239	Dogcorn69420	6
239	h2p_emrld	6
251	H72l9w	5
251	bbrothers_5	5
251	minersam1	5
251	Kubelz	5
251	legal_tax_evader	5
251	yaboo88	5
251	JESS_THE_RERE	5
251	Barlycorn	5
251	__hinterland__	5
251	layabout100	5
251	Segotep999	5
251	therobo300	5
251	pk1297	5
264	dann_n	4
264	PhantomsGhost_	4
264	_Razaria	4
264	Natty	4
264	MrKrabOnCoke	4
264	gaziter10	4
264	TableTim	4
264	wTXop	4
264	cedric72	4
264	ElderRifken	4
264	MAns_44	4
264	jcool7	4
264	00000000-0000-0000-0009-01f9013b764e	4
277	Bandito_Roamer	3
277	SlowMoNinja1994	3
277	Franco093	3
277	MOSS000	3
277	thescout7	3
277	Inchef	3
277	Xalithia	3
277	SellyZ	3
277	mick407	3
277	thewindmillman	3
277	AnnieBathory	3
277	Donutt	3
277	oscminus	3
277	Drewen24	3
277	Ajax6	3
277	lizardfightclub	3
277	groofles	3
277	fkGrim	3
277	claivin	3
277	419mmurphy	3
277	Vicemaniac	3
277	WyngGoy	3
277	Kyrum2169	3
277	krutas2000	3
