rank	username	minecraft:picked_up/minecraft:polished_deepslate_wall
1	mihimihimihi	698
2	Mattesco	197
3	TheWildMateo	104
4	500am	96
5	weabis	82
6	TAKrules	65
6	TheSecondLord	65
6	AdmiralSmoke	65
9	Skylord_Luke	63
10	Manaateee	42
11	Legendosh	36
12	StinkyDiplomat	34
13	EMC_	14
14	Megarboh	13
15	pintsizedrogue	12
15	YungMaki	12
17	JETrotter	11
18	Steelynan	9
19	PigDab	8
19	Jimb0nat0r	8
21	rarrq	7
21	mobunni	7
23	kyouma777	6
24	ImpavidArcher	5
24	Killercatty78	5
24	nattybears	5
27	PlasticOtari	4
28	beeperbeeper5	3
28	SvenskaHugo	3
30	fade_emerge78823	2
30	luseis	2
30	Kowcio_	2
30	Soplight	2
30	Nicserso	2
35	Mahoose	1
35	corpsecity	1
35	Hyp3rion_	1
35	SvenskaSara	1
