rank	username	minecraft:picked_up/minecraft:chiseled_deepslate
1	500am	203
2	RoskobiOne	200
3	Kowcio_	57
4	lordpipe	48
5	pintsizedrogue	31
6	ImpavidArcher	20
7	Smoke____	18
8	thewindmillman	15
8	CalebDHawk	15
10	00000000-0000-0000-0009-01f898304150	14
11	Legendosh	12
12	Freak_Genius	8
13	RebelAndroid	7
14	Inchef	5
15	beeperbeeper5	4
15	fluddd	4
17	Megarboh	3
17	RoBe__	3
19	MinttyFressh	2
19	Winklepicker279	2
19	GlitchyPlate810	2
22	_Boipl_	1
22	ApophisNova	1
22	Lord_Jord	1
22	Toasty_Tom	1
22	YungMaki	1
22	MyNamaSheff	1
