rank	username	minecraft:picked_up/minecraft:creeper_head
1	kekhon	35
2	Hyp3rion_	28
3	TheSecondLord	25
4	500am	24
4	Blaiku	24
4	Ezekson	24
7	chipklip	18
8	Fullut	17
8	YungMaki	17
10	fluddd	13
11	eitanzaki	12
12	Skippeh	11
13	claivin	9
14	Freak_Genius	8
15	Di_infiri	7
15	Inbefour	7
15	Blu3beast	7
15	pixelviolin	7
15	oxfordschool	7
15	PlasticOtari	7
21	pintsizedrogue	6
21	Blackberry1310	6
21	ROY4LE	6
21	Maenara	6
25	Drlzyy	5
25	jacxhadow	5
25	Akoot_	5
25	Smoke____	5
29	Jovaphobic	4
29	beeperbeeper5	4
29	egglapras	4
29	noam464	4
29	Arceus1975	4
29	Kubeusz2010	4
35	Historical_Sand	3
35	HellsSponge	3
35	Dusk_95	3
35	sp00ky_ghost977	3
35	stahouo	3
35	SammiWolfGirl	3
35	Njensen7	3
35	TechnoNinja64	3
43	PhantomsGhost_	2
43	Wooptey	2
43	Mahoose	2
43	ShedJr_	2
43	gabriels543	2
43	fkGrim	2
43	lillips	2
43	SingedBread	2
43	Spacewardharpy7	2
43	Soplight	2
43	CalebDHawk	2
54	Merv__	1
54	T045RTY	1
54	Myszoaz	1
54	joethahobo	1
54	jushykins	1
54	BobDeBouwer1337	1
54	_Dean_123	1
54	Kkanot	1
54	paranoid_plant	1
54	TheShyPig	1
54	FishyBoy3811	1
54	fw3xywashere	1
54	NomadicRobin_	1
54	stavgod	1
54	Eraxa	1
54	Segotep999	1
54	Steelynan	1
54	kinas45y5	1
