rank	username	minecraft:picked_up/minecraft:golden_shovel
1	eli_tschki	17
2	2Stout	9
2	xolstoi	9
4	Deathkob	8
5	FreakGenius	7
6	_Razaria	3
6	xxPipperDipperxx	3
6	Eraxa	3
9	jacxhadow	2
9	breadbowlgamer	2
9	RoofTyler	2
9	ayamefag	2
9	jnp_gaming	2
14	Creativebuilder2	1
14	livingdaydreams	1
14	Mahoose	1
14	rarrq	1
14	picardred	1
14	Khelvoryk	1
14	kekhon	1
14	SteveCraftBlocks	1
14	UncreativeArtist	1
14	Cellcorgi649	1
14	RIPB0ZO	1
14	mimbo1211	1
14	GigaSl	1
14	Dusk_95	1
14	Luigipunch989	1
14	LeeMcGee30	1
14	Iamthejo	1
14	Enderxz3	1
