rank	username	minecraft:picked_up/minecraft:fire_coral
1	thewindmillman	352
2	Kouridragon	145
3	El_Jalapeno	129
4	Legendosh	117
5	Di_infiri	116
6	Enderxz3	100
7	kekhon	96
8	Jackattack53	70
9	33sudo	64
10	pintsizedrogue	61
11	ImpavidArcher	45
12	TheShyPig	36
13	500am	34
14	beeperbeeper5	33
15	Hyp3rion_	31
16	12Magner05	27
17	livingdaydreams	22
18	Fullut	20
19	_Dean_123	19
20	HellsSponge	17
21	Merv__	16
21	Mahoose	16
21	Vetral1	16
21	YungMaki	16
21	fffMike	16
26	RoskobiOne	13
26	Blackberry1310	13
28	__tomato	12
29	Mewar	11
29	MyNameIsJobo	11
29	ApophisNova	11
29	EcksD	11
29	MyNamaSheff	11
34	AuroraValkyrie	10
34	lordpipe	10
36	Kowcio_	9
37	Inbefour	8
38	Marbz_	7
39	Xalithia	6
39	NameGenerat0r	6
39	Kura2218	6
39	IdeallyGrey	6
39	KingMatthew506	6
39	Quotary	6
45	Jovaphobic	5
45	SaucyDark	5
45	T045RTY	5
45	urbeans	5
45	ratglock	5
45	Onennon	5
45	luseis	5
45	Blaiku	5
45	djancak	5
45	Luigipunch989	5
45	TechnoNinja64	5
56	Bandito_Roamer	4
56	titanlax	4
56	noam464	4
56	Xclax101	4
56	AvaRosey	4
56	lcvezra	4
62	dimondking777	3
62	Iagoku	3
62	BodaciousCake	3
62	Lez_	3
62	surfinggiraffejp	3
62	Kakolbus	3
62	Arceus1975	3
62	Bumpy419	3
62	TheSeismicDuck	3
62	Karbl	3
62	mihimihimihi	3
62	iSammael	3
62	PortlyPete69	3
62	Steelynan	3
62	Smoke____	3
77	RatatJuice	2
77	IWorkAtIkea	2
77	TheSecondLord	2
77	emrekn	2
77	Inchef	2
77	Rumpletaezer	2
77	Snowflowe	2
77	Hiryu27	2
77	aec9	2
77	Jimi7hits	2
77	Maenara	2
77	fw3xywashere	2
77	fkGrim	2
77	Deathkob	2
77	KlausVonStiglitz	2
77	Dusk_95	2
77	Powowowow	2
77	diggydog67	2
95	Groovy_MoonBird	1
95	diamondgolem35	1
95	Alteriity	1
95	gaziter10	1
95	Ssor69	1
95	eclipseboi	1
95	shyshyannne	1
95	xxPipperDipperxx	1
95	Noah_Bez	1
95	TheDankPlatypus	1
95	M_Patata	1
95	legal_tax_evader	1
95	burbankbuilder28	1
95	Azmodan_246	1
95	Rebytre	1
95	Voxin2K	1
95	F_Uhre	1
95	ZA07	1
95	Akoot_	1
95	xDraggin	1
95	binman420	1
95	audiocracked	1
95	XxCookiequeenxX	1
95	FreakGenius	1
95	Blu3beast	1
95	Factoroni	1
95	MasterNueve	1
95	MakeHistory157	1
95	ZoharGoldMine	1
95	Soplight	1
95	SammiWolfGirl	1
95	SpacesickPrism	1
95	EngagedGrub41	1
95	Nicserso	1
95	Biites	1
95	FishisTTV	1
