rank	username	minecraft:picked_up/minecraft:damaged_anvil
1	noam464	113
2	kekhon	80
3	eitanzaki	60
4	Freak_Genius	51
5	Hyp3rion_	34
6	pintsizedrogue	22
7	vandmanden	21
8	Akoot_	18
9	Chromary	16
9	Groundler	16
11	joethahobo	15
12	ShedJr_	13
12	LAVA129	13
14	Eraxa	12
15	beeperbeeper5	11
16	Blackberry1310	10
16	mwrty	10
16	RobotMinion101	10
16	Blaiku	10
16	lordpipe	10
21	Awyrlas	9
21	brofrickcheaters	9
23	Yatitay	8
23	Kamflame10	8
23	Blu3beast	8
23	KG1999	8
23	KingMatthew506	8
28	elicobnoah	7
28	Mahoose	7
28	fr_ser	7
28	ApophisNova	7
28	Soplight	7
28	stahouo	7
28	MyNamaSheff	7
28	kinas45y5	7
36	ImpavidArcher	6
36	12Magner05	6
36	Onennon	6
36	HellsSponge	6
36	Racengan	6
36	MakeHistory157	6
36	pixelviolin	6
36	Hermanni__	6
36	jnp_gaming	6
36	PlasticOtari	6
46	Travasaur	5
46	error10101	5
46	Swexti	5
46	rarrq	5
46	500am	5
46	LotusProject	5
46	ROY4LE	5
46	Snowflowe	5
46	Hoid_the_Roamer	5
46	oxfordschool	5
56	PhantomsGhost_	4
56	Drlzyy	4
56	teslawolf38	4
56	Houstonion	4
56	gaziter10	4
56	Fullut	4
56	gcaisawesome	4
56	MangoTheFish	4
56	The_Fulgurator	4
56	Werbe	4
56	TheShyPig	4
56	DarlaMeow	4
56	AssEatrAndLicker	4
56	SkateboardR6	4
56	Ze_BaronKrigler	4
56	YungMaki	4
56	sebastiensaborio	4
56	EcksD	4
56	Enderslayerxz3	4
56	Legendosh	4
76	Groovy_MoonBird	3
76	6king6colt6	3
76	bigstankyy	3
76	TooManyDuck	3
76	Incinere	3
76	TheSecondLord	3
76	Megarboh	3
76	set67	3
76	Mewar	3
76	Zaridey	3
76	breadbowlgamer	3
76	King_Pancake1	3
76	pappaberg	3
76	Ender_Souls	3
76	SpookyDraggin	3
76	Inbefour	3
76	NoChumpChange	3
76	lillips	3
76	claivin	3
76	El_Jalapeno	3
76	Nycteus_	3
76	Frozil12	3
76	Xclax101	3
76	Steven1282598	3
76	Razzgriz	3
76	Jij0	3
76	PortlyPete69	3
76	jcool7	3
76	ZeroKraken	3
76	Kubeusz2010	3
76	Skippeh	3
76	MeetTheWollo	3
76	Smoke____	3
109	TheBiggestFeller	2
109	_NieToksikpl_	2
109	EMC_	2
109	KarlKaek	2
109	diamondgolem35	2
109	Dedalus36	2
109	ssleepless	2
109	Hpdinosaur	2
109	NinjaKnifeKill	2
109	CliffEmAll	2
109	Cryptacity	2
109	ProfessorBee	2
109	thescout7	2
109	himak1	2
109	Inchef	2
109	Stiar	2
109	Kakolbus	2
109	Marbz_	2
109	Giannism	2
109	loveseeker	2
109	gabriels543	2
109	Di_infiri	2
109	Jackattack53	2
109	thewindmillman	2
109	Bumpy419	2
109	MustardDrinker	2
109	Hiryu27	2
109	PigDab	2
109	Kokeech	2
109	RodSerlingCringe	2
109	wezzzi	2
109	masskedman	2
109	Meatlaugh	2
109	GoofyBread	2
109	1442	2
109	MightyWertu	2
109	ayamefag	2
109	yatsuta	2
109	djancak	2
109	Spenduh	2
109	lcvezra	2
109	fffMike	2
109	Miko_Fullbuster	2
109	TechnoNinja64	2
109	Earlesstrain4	2
154	Astronicky	1
154	RosaDoesMC	1
154	_Virify_	1
154	soundad	1
154	AuroraValkyrie	1
154	Iagoku	1
154	hm947	1
154	Furiuosbeast0404	1
154	T045RTY	1
154	youhjjhhhjj	1
154	MOSS000	1
154	Historical_Sand	1
154	IWorkAtIkea	1
154	Upstro10	1
154	Comma__	1
154	MattieHD	1
154	eclipseboi	1
154	Z3braYTIL	1
154	TheHarryMeister	1
154	egglapras	1
154	Septemb3r	1
154	hcb238	1
154	CollinMH06	1
154	MyNameIsJobo	1
154	SlayerCrypto	1
154	Norrhede	1
154	Arceus1975	1
154	Zythose	1
154	_Boipl_	1
154	Skylord_Luke	1
154	EtherealSilveon	1
154	Truckoss	1
154	KartivGal	1
154	Kynigito	1
154	FishyBoy3811	1
154	lizardfightclub	1
154	Rasmanden	1
154	Maenara	1
154	Sky_light_KING	1
154	AlphaWolfPlaysMC	1
154	gustarbite	1
154	XxCookiequeenxX	1
154	fkGrim	1
154	ebanana	1
154	Soap_Bender	1
154	The_slideV3	1
154	MAns_44	1
154	Bloo2406	1
154	fluddd	1
154	SingedBread	1
154	Spacewardharpy7	1
154	MovingFish7	1
154	Airem_Core	1
154	radioactv_jelly	1
154	geekbird	1
154	Xovalt_	1
154	IAmTheWalrus910	1
154	LetsDoItLive	1
154	WyngGoy	1
154	layabout100	1
154	Strangemonkey71	1
154	TheEnderman548	1
154	07shiny	1
154	SvenskaHugo	1
154	robotemo	1
154	Kyrum2169	1
154	SSytex_X	1
154	SammiWolfGirl	1
154	obzii	1
154	PlzNoBM	1
154	UltraZombie	1
154	Dogcorn69420	1
154	MilleGrug	1
154	Eczbek	1
154	TheOuterCore	1
154	OfficerAnvil	1
154	Ezekson	1
154	cichy096	1
154	smogfrog	1
154	Powowowow	1
154	EcksDofficial	1
154	diggydog67	1
