rank	username	minecraft:picked_up/minecraft:cartography_table
1	HellsSponge	176
2	pintsizedrogue	164
3	Werbe	110
4	Kowcio_	100
5	noam464	69
6	SyntheticSurgeon	61
7	pixelviolin	55
8	500am	46
9	Legendosh	44
10	Lez_	41
11	Skippeh	32
12	fluddd	30
13	luseis	29
13	FreakGenius	29
15	Onennon	28
15	Soplight	28
17	Merv__	27
18	Enderxz3	26
19	TheShyPig	24
19	NameGenerat0r	24
21	EMC_	23
21	diamondgolem35	23
23	Apollo_993	20
23	Mattesco	20
23	Xclax101	20
26	ROY4LE	18
27	beeperbeeper5	17
27	thewindmillman	17
29	ApophisNova	16
29	Manaateee	16
29	EfficientC52	16
29	Eraxa	16
29	MyNamaSheff	16
29	TheWickedBird	16
35	j5ylim	15
35	Steelynan	15
35	PlasticOtari	15
38	_Karmaa	14
38	YungMaki	14
40	Historical_Sand	13
40	kekhon	13
40	legal_tax_evader	13
40	oscminus	13
40	Ezekson	13
45	Huwulling	12
45	mariominejedi	12
47	MattieHD	11
47	Fullut	11
47	mihimihimihi	11
50	Bandito_Roamer	10
50	Mr_Byzantine	10
50	Vizzoid	10
50	12Magner05	10
50	Kubelz	10
50	claivin	10
56	joethahobo	9
56	Smashic	9
56	Bumpy419	9
56	Kim_Jong_eel	9
56	Luigipunch989	9
61	ShedJr_	8
61	Gregward_Smith	8
61	Ssor69	8
61	TheSecondLord	8
61	Krowuss	8
61	FreddyFart	8
61	Spacewardharpy7	8
68	Jovaphobic	7
68	SmashingPump	7
68	eitanzaki	7
68	thescout7	7
68	Arceus1975	7
68	Zythose	7
68	Reneedium	7
68	ADEXTV	7
68	Fildyr	7
68	jnp_gaming	7
68	skitzxo	7
79	heysushii	6
79	CLG_Kata	6
79	Alteriity	6
79	Touched_Bread	6
79	Di_infiri	6
79	Hoid_the_Roamer	6
79	AuroraSkies	6
79	Lord_Zacler	6
79	XxCookiequeenxX	6
79	sp00ky_ghost977	6
79	Pumpkin_P_Patch	6
79	Zoeyfortnite	6
79	Yamdalorian	6
92	ActualPatbaf	5
92	MSK__	5
92	Euclidoris	5
92	mwrty	5
92	Kakolbus	5
92	Rumpletaezer	5
92	U_Mos_	5
92	Kynigito	5
92	kiluaemc	5
92	El_Jalapeno	5
92	Toriankel	5
92	Njensen7	5
92	AstroLightz_	5
105	ImpavidArcher	4
105	Ryker	4
105	NoHaHeHa	4
105	Mahoose	4
105	whoaluv	4
105	Skylord_Luke	4
105	jewbacaman	4
105	Mr_Froxy	4
105	CarryLine	4
105	DarlaMeow	4
105	Blu3beast	4
105	Factoroni	4
105	stavgod	4
105	Quotary	4
119	fanofbands101	3
119	Hyugo	3
119	_Razaria	3
119	skroobiez	3
119	Sleepy_Evelyn	3
119	UncreativeArtist	3
119	Noah_Bez	3
119	CollinMH06	3
119	yheece	3
119	SuperPooch06	3
119	Moofyman	3
119	victorLIE	3
119	aec9	3
119	TheSeismicDuck	3
119	fkGrim	3
119	DarkS0L	3
119	Fuad_R	3
119	MAns_44	3
119	Blaiku	3
119	Kyrum2169	3
119	xzvu	3
119	KingMatthew506	3
119	hermmm_	3
119	Vellu21	3
119	ConnorDanky_	3
119	satuern	3
145	RoskobiOne	2
145	TooPure2	2
145	PazinGaming	2
145	ECstardust	2
145	KarlKaek	2
145	TooManyDuck	2
145	livingdaydreams	2
145	imthatpikachu	2
145	abdomera	2
145	Natty	2
145	MoistMicrowave	2
145	QuiCreans	2
145	Comma__	2
145	corvidpartyfor6	2
145	Fullbit_	2
145	SpicyMeatballs	2
145	TylerDupree	2
145	ARandomHedge	2
145	TableTim	2
145	prizm_	2
145	Marbz_	2
145	Jackattack53	2
145	LAVA129	2
145	AnnieBathory	2
145	belly0_0	2
145	Mr_Sun15	2
145	HeraclesOGU	2
145	PaperCanvas	2
145	theofiel	2
145	wezzzi	2
145	MinuteMira	2
145	The_slideV3	2
145	StarCookiees_	2
145	Shin69	2
145	SvenskaHugo	2
145	Kijiki	2
145	__tomato	2
145	SpacesickPrism	2
145	TheBananaKat	2
145	xorompole	2
145	cichy096	2
145	TheSandwhich_	2
145	Jimb0nat0r	2
145	diggydog67	2
145	00000000-0000-0000-0009-01ff0c3e5e4f	2
190	Groovy_MoonBird	1
190	dimondking777	1
190	soundad	1
190	Napoleonpancake	1
190	DinoDoctor_	1
190	SaucyDark	1
190	Wooptey	1
190	Humpcat	1
190	ewsophie	1
190	Jahara	1
190	SOA1RR	1
190	Morgf	1
190	IWorkAtIkea	1
190	Dblikstad	1
190	rarrq	1
190	Upstro10	1
190	Malorn_Aetherius	1
190	Cryptacity	1
190	jacxhadow	1
190	Nicky_H225	1
190	MrExplorer	1
190	Guillemet	1
190	Secret_Canary	1
190	Scattman_	1
190	IKeepDying	1
190	Tmb1	1
190	Paintz	1
190	olliebollie48	1
190	DirtyBoar	1
190	CharlieButt	1
190	mimbo1211	1
190	Zorin_Blitz	1
190	BlueZabu	1
190	ImDisconnected_	1
190	Chromary	1
190	Hyp3rion_	1
190	Snowflowe	1
190	burbankbuilder28	1
190	thebaddruid	1
190	Hiryu27	1
190	F_Uhre	1
190	AlexxO_o	1
190	Niterux	1
190	ougstur	1
190	fw3xy74	1
190	Hahaa_0	1
190	EveryonesUncle	1
190	Darkgon	1
190	Dakar_	1
190	AstreaTSS	1
190	DanTheBuilderino	1
190	karudsbip	1
190	Gus2005	1
190	560cool	1
190	Groundler	1
190	MS_Pryxx	1
190	ProfessorDiaper	1
190	Vorlice	1
190	lordpipe	1
190	Druid95	1
190	verynothing	1
190	IAmTheWalrus910	1
190	MustardSquid	1
190	IdeallyGrey	1
190	ReyTheLegend	1
190	StreetLouis	1
190	Dogcorn69420	1
190	fffMike	1
190	jcool7	1
190	mawileite	1
