rank	username	minecraft:picked_up/minecraft:brown_mushroom
1	Hyp3rion_	4522
2	noam464	3298
3	AdmiralSmoke	1809
4	EngagedGrub41	1268
5	Di_infiri	1208
6	Sral7	1030
7	thewindmillman	891
8	_Nuf	865
9	kekhon	851
10	MightyWertu	780
11	Legendosh	778
12	pintsizedrogue	769
13	HellsSponge	741
14	oscminus	735
14	claivin	735
16	Jackattack53	719
17	Lez_	694
18	mihimihimihi	689
19	Crowman1	649
20	FreakGenius	643
21	Kowcio_	588
22	Euclidoris	582
23	joethahobo	530
24	luseis	520
25	Enderxz3	513
26	Blaiku	503
27	Jovaphobic	502
28	eitanzaki	492
29	Werbe	491
30	Akoot_	477
31	MattieHD	447
32	PigDab	423
33	AuroraValkyrie	408
33	xxPipperDipperxx	408
35	TheShyPig	393
36	lcvezra	379
37	500am	357
38	Hoid_the_Roamer	337
39	MyNameIsJobo	334
40	beeperbeeper5	324
41	EMC_	314
42	_i_ERROR_i_	307
43	PhantomsGhost_	303
44	Kyrum2169	301
44	TechnoNinja64	301
46	MoistMicrowave	297
47	Soplight	289
48	lordpipe	277
49	k_ce	266
50	YungMaki	259
51	PlasticOtari	250
52	Jimb0nat0r	247
53	hanaryheatwave	239
54	SammiWolfGirl	226
55	Blackberry1310	217
56	corpsecity	212
57	m_be9	205
58	jnp_gaming	198
59	Frozil20	191
60	Manaateee	187
61	Lord_Jord	184
62	Drewen24	183
63	Kakolbus	175
64	SmashingPump	168
65	mwrty	166
66	ProfessorBee	165
67	Kubelz	164
68	Inchef	158
69	calamariclam_I	156
70	burbankbuilder28	155
71	Mahoose	151
71	kubinek69	151
71	Zoeyfortnite	151
74	Onennon	149
74	IamCL4SSY	149
76	bloodbiter	146
77	Steelynan	142
78	Apollo_993	138
78	TooManyDuck	138
80	Wolverine4302	137
81	avalan64	131
82	sp00ky_ghost977	130
83	Historical_Sand	129
84	TheSecondLord	127
85	Spacewardharpy7	126
86	WyngGoy	124
87	nocturne78	120
88	WYFYoyo	114
89	thescout7	113
89	stavgod	113
91	__Fanda__	111
91	ApophisNova	111
91	Ezekson	111
91	EcksD	111
91	MyNamaSheff	111
96	El_Jalapeno	108
97	Tyrannosplart	106
98	Paintz	105
99	SingedBread	104
100	WET_WET_WET	103
101	Invintic	102
102	Fullut	99
103	EveryonesUncle	96
104	Snowflowe	95
105	Groovy_MoonBird	94
106	Winston_Ingram	93
107	diamondgolem35	91
107	Hiryu27	91
107	Maenara	91
110	q_wq	88
110	GigaSl	88
112	rarrq	87
113	DanTheBuilderino	83
113	Hermanni__	83
115	Hisiste	82
116	gcaisawesome	81
116	Marbz_	81
116	Lutres_	81
119	Huwulling	78
119	F_Uhre	78
119	__tomato	78
122	DarlaMeow	77
123	SaintJosie	76
123	djancak	76
125	_TCARREIRA_	75
126	H72l9w	74
127	TheDankPlatypus	73
127	diggydog67	73
129	TheFlfthHorseman	70
130	ratglock	69
130	excelsionprime	69
130	Arceus1975	69
130	MakeHistory157	69
130	Razzgriz	69
130	Eraxa	69
136	Elastiq	67
137	Ananas55	66
137	vandmanden	66
139	CarryLine	65
139	pixelviolin	65
141	fluddd	64
141	MS_Pryxx	64
143	ImpavidArcher	63
144	GravitySaint	62
144	Apicomplexa	62
146	NieToksikpl	61
147	Batoser	60
147	Rumpletaezer	60
147	Inbefour	60
147	AssassinAshton	60
151	Windo_licker	59
151	Xclax101	59
153	Prismyst	57
153	Ssor69	57
153	M_Patata	57
153	Zythose	57
153	MasterNueve	57
158	Notta	56
158	Awyrlas	56
160	Mr_Sun15	54
161	MinttyFressh	53
161	F_22_	53
161	ReflexCode	53
164	RebelAndroid	52
165	301851	51
165	lorpus	51
165	wezzzi	51
165	ConnorDanky_	51
169	The_slideV3	50
170	DarkFisto	49
170	Deathkob	49
170	Decaying_Lotus	49
173	carpet4_69	47
174	Prodiginus	46
174	Luigipunch989	46
176	ECstardust	45
176	TheSeismicDuck	45
178	surfinggiraffejp	44
178	AlphaWolfPlaysMC	44
178	Blu3beast	44
178	Airem_Core	44
182	NatalieTW	43
182	No_Bena	43
182	Russiancat1	43
185	WithoutPyr	42
185	Ryker	42
185	Malorn_Aetherius	42
188	Deu_Stew	41
188	XxCookiequeenxX	41
190	Houstonion	40
190	Vizzoid	40
190	TinMaster	40
190	masskedman	40
190	stellarjay	40
195	sufjanlover	39
195	Meatlaugh	39
197	Nach0Bear	38
197	ooga47	38
199	teslawolf38	37
199	KomputerDude	37
201	TableTim	36
202	Sleepy_Time_	35
202	MilleGrug	35
204	livingdaydreams	34
204	CoffeeNoir	34
204	Yellowpowr	34
204	tobinwilliams	34
204	MAns_44	34
204	Celeste_121	34
204	Rainaldus	34
211	gilesmcriles	33
211	PegLegPete93	33
211	SpicyMeatballs	33
211	ARandomHedge	33
211	MinerDec	33
211	Darkgon	33
