rank	username	minecraft:picked_up/minecraft:magenta_concrete
1	lordpipe	8042
2	Jackattack53	3455
3	YungMaki	3355
4	Hyp3rion_	3335
5	Ezekson	2968
6	ROY4LE	1296
7	beeperbeeper5	1225
8	Zedducius	1064
9	PigDab	891
10	Spacewardharpy7	769
11	xxPipperDipperxx	593
12	MakeHistory157	555
13	LordSpeed37	282
14	xzvu	274
15	TheSecondLord	258
16	sp00ky_ghost977	229
17	_Huge_Male_	137
18	jnp_gaming	120
19	CornOnTheCobalt	119
20	Manaateee	118
21	SammiWolfGirl	97
22	ConnorDanky_	96
23	_Boipl_	83
24	T045RTY	76
25	pr33tu	70
26	noam464	65
27	luseis	62
27	SvenskaHugo	62
29	WyngGoy	36
30	Merv__	30
31	HellsSponge	27
32	thewindmillman	26
33	AdmiralSmoke	25
34	Soplight	20
35	Swexti	17
36	Avocadogerms	16
37	RoboTramp7865	15
38	Arceus1975	13
39	500am	10
40	joethahobo	8
40	Jimb0nat0r	8
42	TheShyPig	7
43	NameGenerat0r	5
44	Mahoose	4
44	Truckoss	4
44	UCP_TheKingK	4
44	VentiHilton	4
44	Legendosh	4
49	ShedJr_	3
49	mwrty	3
49	mariominejedi	3
49	Blaiku	3
53	Groovy_MoonBird	2
53	JohnnyFyes	2
53	PazinGaming	2
53	xXTheWolfmanXx	2
53	ColeSnyder	2
53	rarrq	2
53	MilleGrug	2
60	bigstankyy	1
60	Hpdinosaur	1
60	MousePlays	1
60	FishyBoy3811	1
60	LeonelSalamanca	1
60	Kowcio_	1
60	Segotep999	1
60	jcool7	1
60	EcksD	1
60	Nicserso	1
