rank	username	minecraft:picked_up/minecraft:stripped_cherry_wood
1	Lez_	110
2	StarCookiees_	89
3	Yamdalorian	33
4	pintsizedrogue	28
5	mymayowasgone	25
6	Reneedium	23
7	Rebytre	12
8	Moofyman	10
9	Mattesco	6
10	Kowcio_	5
11	KarlKaek	2
11	MattieHD	2
11	Dynamic_wolf_1	2
11	pixelviolin	2
11	Pumpkin_P_Patch	2
16	TheSecondLord	1
16	luseis	1
16	Manaateee	1
16	Cache3	1
