rank	username	minecraft:picked_up/minecraft:netherite_sword
1	eitanzaki	89
2	fffMike	84
3	Freak_Genius	79
4	beeperbeeper5	74
5	Spacewardharpy7	72
6	T045RTY	54
7	MilleGrug	42
8	masskedman	40
9	Historical_Sand	36
9	Spenduh	36
11	Smoke____	29
12	_Dean_123	28
12	Hyp3rion_	28
14	noam464	27
14	Segotep999	27
16	kekhon	26
16	Rebytre	26
18	NomadicRobin_	24
19	Frozil20	23
20	Wowful	22
21	TheSecondLord	21
21	Ezekson	21
23	EveryonesUncle	20
24	Akoot_	19
25	Blaiku	17
25	SkateboardR6	17
27	bigstankyy	16
27	ShedJr_	16
29	Chromary	15
30	12Magner05	14
30	Inchef	14
30	r123moore	14
30	the__Reaper4999	14
34	pintsizedrogue	13
34	EMC_	13
34	egglapras	13
34	SingedBread	13
34	KG1999	13
34	SammiWolfGirl	13
40	Nicky_H225	12
40	XboxPanda	12
40	Eraxa	12
40	Enderslayerxz3	12
44	soundad	11
44	joethahobo	11
44	Smashic	11
47	ImpavidArcher	10
47	set67	10
47	Werbe	10
47	Lord_Jord	10
51	RebelAndroid	9
51	Blackberry1310	9
51	FishyBoy3811	9
51	Nycteus_	9
51	Kowcio_	9
51	oxfordschool	9
57	thewindmillman	8
57	Fuad_R	8
57	ItsDeltaMC	8
57	HesDemonPants	8
57	YoshikageBites	8
62	Alteriity	7
62	Da_Boss_Rani	7
62	HolyVenom	7
62	Syropatathe	7
62	YungMaki	7
62	jnp_gaming	7
62	2blox	7
62	PlasticOtari	7
70	teslawolf38	6
70	error10101	6
70	Myszoaz	6
70	rarrq	6
70	4774	6
70	Touched_Bread	6
70	mimbo1211	6
70	Di_infiri	6
70	Jackattack53	6
70	fred870d	6
70	PigDab	6
70	Luminad3	6
70	fw3xywashere	6
70	Jiminie	6
70	lillips	6
70	DarlaMeow	6
70	Racengan	6
70	lordpipe	6
70	Ze_BaronKrigler	6
70	KingMatthew506	6
70	Miko_Fullbuster	6
70	MeetTheWollo	6
92	Drlzyy	5
92	diamondgolem35	5
92	Dedalus36	5
92	Mahoose	5
92	paranoid_plant	5
92	Awyrlas	5
92	fade_emerge78823	5
92	ayqq	5
92	Winklepicker279	5
92	AlexxO_o	5
92	djancak	5
103	JohnnyFyes	4
103	Merv__	4
103	AuroraValkyrie	4
103	Wooptey	4
103	Lez_	4
103	MrKrabOnCoke	4
103	mwrty	4
103	Xalithia	4
103	CollinMH06	4
103	ApophisNova	4
103	sammidk	4
103	ToastedGamingYT	4
103	Shogunite	4
103	iHuntWeeaboos	4
103	Quotary	4
103	MyNamaSheff	4
103	Jimb0nat0r	4
103	00000000-0000-0000-0009-01ff0c3e5e4f	4
121	_Virify_	3
121	JEWISHBadenBeele	3
121	q_wq	3
121	Hpdinosaur	3
121	NinjaKnifeKill	3
121	SoftSix	3
121	Z3braYTIL	3
121	Kkanot	3
121	M_Patata	3
121	Snowflowe	3
121	King_Pancake1	3
121	Rocco_Lane	3
121	BronkerBrum	3
121	p4lp	3
121	Jonte0599	3
121	KnightmareD	3
121	binman420	3
121	LexMakesHistory	3
121	monky_irl	3
121	Soplight	3
121	Luigipunch989	3
121	PortlyPete69	3
121	obzii	3
121	UltraZombie	3
121	Eczbek	3
121	kinas45y5	3
147	nataliecool	2
147	PazinGaming	2
147	lewieinnit	2
147	Sleek_Storm_721	2
147	I_Am_Mushkin	2
147	Wolf_Mauler_73	2
147	BlancoFlaco	2
147	hm947	2
147	Huwulling	2
147	MSK__	2
147	titanlax	2
147	500am	2
147	Fullut	2
147	SBean737	2
147	pumpfonzo	2
147	Mobstr	2
147	prizm_	2
147	SuperPooch06	2
147	The_Fulgurator	2
147	Skylord_Luke	2
147	HAIRYCLOUD626	2
147	Mattesco	2
147	SvenskaAlvar	2
147	KeruNatsema	2
147	Hail_the_wombat	2
147	yulgur1	2
147	HellsSponge	2
147	NameGenerat0r	2
147	EfficientC52	2
147	El_Jalapeno	2
147	ThatMan_Dave	2
147	Th6masss	2
147	DolphinLaugh	2
147	LazySupport00	2
147	TheTommyGun63	2
147	MasterNueve	2
147	TheEnderman548	2
147	pixelviolin	2
147	UCP_TheKingK	2
147	brofrickcheaters	2
147	Sheldor097	2
147	Jordan_R	2
147	calamariclam_I	2
190	wylify	1
190	Jovaphobic	1
190	Groovy_MoonBird	1
190	_Huge_Male_	1
190	ActivelyLogicalt	1
190	xyct	1
190	Cowison	1
190	6king6colt6	1
190	Nesquiczek	1
190	itburb	1
190	Minimize501	1
190	Spaghettatron	1
190	Txeptsyip	1
190	SpaceGrenadier	1
190	H72l9w	1
190	SquadMonster	1
190	NieToksikpl	1
190	CliffEmAll	1
190	jushykins	1
190	jacxhadow	1
190	BobDeBouwer1337	1
190	bloodbiter	1
190	YungJakobo	1
190	MinttyFressh	1
190	Megarboh	1
190	CyrusIsTired	1
190	Flapjacker687	1
190	KGTV	1
190	__TheNorseMan__	1
190	xxPipperDipperxx	1
190	benediktine1	1
190	CharlieButt	1
190	Kakolbus	1
190	Justins_Juliet	1
190	Arceus1975	1
190	_Boipl_	1
190	MangoTheFish	1
190	pappaberg	1
190	TeezleFeezle	1
190	Afinnity	1
190	SpaggeDR	1
190	KartivGal	1
190	LeGold	1
190	Myhym	1
190	PuFY	1
190	Arcticwyn	1
190	__dlo__	1
190	groofles	1
190	KliBeast21	1
190	Maenara	1
190	TheTrueClipse	1
190	MrQuanQuan	1
190	ChampBoii	1
190	NoChumpChange	1
190	CuzIm2Kev	1
190	_Karmaa	1
190	Quaintster	1
190	Not_Insom	1
190	CatchmyGrenade28	1
190	fluddd	1
190	vadar12	1
190	guitar_hero_101	1
190	DeGodz4life	1
190	Jahbouris	1
190	Vorlice	1
190	Yahir091	1
190	technic_squirrel	1
190	mihimihimihi	1
190	Dusk_95	1
190	_Ruzeeq_	1
190	sp00ky_ghost977	1
190	BruhBag	1
190	LordBlaze11	1
190	Strangemonkey71	1
190	SvenskaHugo	1
190	starbits140	1
190	stahouo	1
190	microcrisp	1
190	non089	1
190	_Yonk_	1
190	GlitchyPlate810	1
190	SpacesickPrism	1
190	CalebDHawk	1
190	jcool7	1
190	LeeMcGee30	1
190	ZeroKraken	1
190	Steelynan	1
190	MissCeleste7	1
190	tartanboy	1
190	DiamondShaff	1
190	saltypear500	1
190	alexb1890	1
190	EcksD	1
190	EcksDofficial	1
190	diggydog67	1
190	00000000-0000-0000-0009-01fec705f83f	1
