rank	username	minecraft:picked_up/minecraft:acacia_button
1	500am	1408
2	Blu3beast	320
3	thewindmillman	30
4	ImpavidArcher	28
5	loveseeker	24
6	Smoke____	21
7	Mahoose	18
8	NameGenerat0r	17
9	Jackattack53	14
9	FreddyFart	14
11	youhjjhhhjj	13
11	beeperbeeper5	13
13	Ezekson	11
14	PigDab	10
15	CoffeeNoir	9
16	Enderslayerxz3	8
17	pintsizedrogue	6
17	Bandito_Roamer	6
17	ProfessorBee	6
17	MeowMeowMcmuffin	6
21	Groovy_MoonBird	5
21	sebastiensaborio	5
23	Franco093	4
23	RobotMinion101	4
23	Akoot_	4
23	Danielmoe	4
23	laron58	4
28	Merv__	3
28	Blackberry1310	3
28	Avermu	3
28	duqboy	3
28	El_Jalapeno	3
33	egglapras	2
33	Kakolbus	2
33	ormr_kin	2
33	Soul_Atreus	2
33	KG1999	2
33	Soplight	2
33	EcksD	2
40	eitanzaki	1
40	jushykins	1
40	m_be9	1
40	mimbo1211	1
40	jewbacaman	1
40	victorLIE	1
40	EveryonesUncle	1
40	chipklip	1
40	ProfessorDiaper	1
40	starbits140	1
