rank	username	minecraft:picked_up/minecraft:ice
1	EcksD	573762
2	joethahobo	342362
3	noam464	217014
4	Blaiku	146669
5	Di_infiri	59610
6	Smoke____	43190
7	Spacewardharpy7	34160
8	Ezekson	29464
9	Eraxa	24419
10	OtariCharlie	23611
11	Werbe	23531
11	AssEatrAndLicker	23531
13	Sky_light_KING	7581
14	LexMakesHistory	7294
15	EcksDofficial	6786
16	himak1	6446
17	thewindmillman	5213
18	set67	4860
19	Hyp3rion_	4643
20	YungMaki	4641
21	jnp_gaming	4005
22	gcaisawesome	3196
23	Winklepicker279	3062
24	HellsSponge	2952
25	obzii	2817
26	MightyWertu	2749
27	m_be9	2695
28	trexgb	2426
29	Frozil12	2412
30	censorsheep	2376
31	MyNameIsJobo	2256
32	Sral7	1594
33	Kateesaur	1572
34	diggydog67	1453
35	Snowflowe	1392
36	RebelAndroid	1363
37	eitanzaki	1362
38	FlashMigma	1305
39	Blackberry1310	1301
40	El_Jalapeno	1255
41	Warlord324	1213
42	ImpavidArcher	1137
43	ROY4LE	1117
44	Groovy_MoonBird	1091
45	thescout7	1063
46	FelixPSY375	984
47	Fullut	979
48	Xalithia	911
49	Mahoose	909
50	CoffeeNoir	865
51	drumine	819
52	voiding_	785
53	Soplight	744
54	MineMaster0012	643
55	The_slideV3	606
56	FishisTTV	603
57	12Magner05	598
58	SoftSix	545
59	kekhon	527
60	diamondgolem35	520
61	lillips	508
62	sp00ky_ghost977	490
63	PhantomsGhost_	486
64	Chromary	461
65	Drlzyy	448
66	AuroraValkyrie	418
67	andy_rex	408
67	Freak_Genius	408
69	Zythose	400
70	Rumpletaezer	384
71	Cocoamallows	383
72	SellyZ	371
73	Skylord_Luke	368
74	Lowjinx	358
75	Kakolbus	355
76	Hoid_the_Roamer	344
77	Deathkob	339
78	eviltunix	338
79	FirsTimeGamingTV	326
80	Crowvens	301
81	Bumpy419	296
82	CrateOfBoxes	294
83	sebastiensaborio	271
84	Hermanni__	259
85	Historical_Sand	253
85	Maenara	253
87	TheSecondLord	249
88	pintsizedrogue	228
89	DTwenty	223
90	Paintz	214
90	lordpipe	214
92	__Auspicious	211
93	SammiWolfGirl	209
94	Bobby808	206
95	titanlax	196
96	smogfrog	193
97	Optiprimus	192
98	Jiminie	184
99	KG1999	181
100	pappaberg	180
101	MilleGrug	169
102	AshleeCW	163
103	Nicserso	162
104	ewsophie	159
105	bloodbiter	158
106	Barlycorn	157
107	TheSeismicDuck	152
107	Spenduh	152
109	Incinere	144
110	SlayerCrypto	141
111	Akoot_	138
112	loveseeker	135
113	_Boipl_	133
114	fr_ser	130
115	Groundler	129
116	Merv__	121
117	Dusk_95	117
118	Stynxy	111
118	Kkanot	111
120	RadarHz	110
121	claivin	109
122	Smiguli_	106
123	oxfordschool	99
124	Onennon	98
125	beeperbeeper5	97
126	mwrty	87
127	Zoeyfortnite	84
128	Kubeusz2010	82
129	Kowcio_	81
130	Fuhrer_Teemo	80
131	500am	79
132	ShedJr_	78
132	xxPipperDipperxx	78
134	rarrq	77
135	Rocco_Lane	71
136	Kamflame10	70
137	EMC_	69
138	PlzNoBM	67
139	_Dean_123	65
139	BlankityMcBlank	65
141	GIRTHY_BEAN	64
141	Dabatha	64
143	jushykins	63
144	Awyrlas	62
145	Os_qq	61
145	Leyna3	61
147	benediktine1	59
148	lizardfightclub	57
149	Covalents	54
150	starbits140	53
151	SaucyDark	50
151	FishyBoy3811	50
153	Myszoaz	48
154	Razzgriz	44
155	h2p_emrld	43
156	ssleepless	42
156	WyngGoy	42
158	Natofthese	41
159	Inchef	40
159	fffMike	40
161	EfficientC52	37
162	SingedBread	35
163	ElKaySVK	34
164	Bandito_Roamer	32
164	Donutt	32
166	Dragonlfw	31
167	CueMix	30
168	_8man	27
169	TechnoNinja64	25
170	peachfuzz1267	22
170	IforgotCS_Source	22
170	DarlaMeow	22
