rank	username	minecraft:picked_up/minecraft:diamond_sword
1	mimbo1211	482
2	Di_infiri	130
3	kekhon	102
4	Akoot_	100
5	Werbe	84
6	Blaiku	82
7	AssEatrAndLicker	81
8	eitanzaki	78
9	beeperbeeper5	74
10	stahouo	73
11	oxfordschool	71
12	_Dean_123	67
13	kinas45y5	59
14	6king6colt6	58
15	CruncyIsTaken	54
16	__tomato	52
17	rarrq	51
17	himak1	51
19	Hyp3rion_	50
19	Ezekson	50
21	gaziter10	49
22	bigstankyy	48
22	xxPipperDipperxx	48
24	pintsizedrogue	46
24	CharlieButt	46
26	ImpavidArcher	45
27	thescout7	44
27	Blu3beast	44
27	Nagasaki_Riku	44
30	masskedman	43
31	Maenara	42
31	Hermanni__	42
31	EcksD	42
34	TheShyPig	41
34	claivin	41
36	_3Stump_	40
37	TheSecondLord	39
37	YungMaki	39
39	Fullut	38
40	Frozil12	36
40	pallow	36
42	Groovy_MoonBird	35
42	Blackberry1310	35
42	noam464	35
42	ImDisconnected_	35
42	chipklip	35
42	Soplight	35
42	PortlyPete69	35
49	UrbanPlanner1978	34
50	Racengan	33
51	Merv__	32
52	T045RTY	31
52	Groundler	31
52	KingMatthew506	31
55	SkateboardR6	30
55	TechnoNinja64	30
55	h2p_emrld	30
58	hollowww	28
58	Kferno	28
58	Legendosh	28
61	Comma__	27
61	Kyrum2169	27
63	fred870d	26
64	EcksDofficial	25
65	KarlKaek	24
65	MyNameIsJobo	24
65	SammiWolfGirl	24
68	fr_ser	23
69	mwrty	22
69	gabriels543	22
69	bloomkieren	22
69	ediballbearings	22
69	Sral7	22
74	MattieHD	21
74	the__Reaper4999	21
74	Ze_BaronKrigler	21
77	TheTrueClipse	20
77	El_Jalapeno	20
77	MovingFish7	20
77	monky_irl	20
77	MakeHistory157	20
77	laron58	20
83	Dali1465	19
83	ROY4LE	19
83	Rebytre	19
83	WyngGoy	19
83	Spenduh	19
88	bloodbiter	18
88	XboxPanda	18
88	burbankbuilder28	18
88	Lord_Jord	18
88	Eraxa	18
93	Hpdinosaur	17
93	gcaisawesome	17
93	yulgur1	17
93	Syropatathe	17
93	HesDemonPants	17
98	WET_WET_WET	16
98	Hiryu27	16
98	Corbsman	16
98	thgrocks	16
98	MightyWertu	16
103	I_Am_Mushkin	15
103	ShedJr_	15
103	epiksk8erduck	15
103	RodSerlingCringe	15
103	NameGenerat0r	15
103	Warlord324	15
103	ayamefag	15
103	cichy096	15
103	jnp_gaming	15
112	heckface	14
112	HellsSponge	14
112	djancak	14
112	lcvezra	14
112	anbbang	14
117	Historical_Sand	13
117	jushykins	13
117	Lumien_	13
117	SuperPooch06	13
117	Bloo2406	13
117	Smoke____	13
123	PhantomsGhost_	12
123	Drlzyy	12
123	ColeSnyder	12
123	H72l9w	12
123	Vizzoid	12
123	Z3braYTIL	12
123	Freak_Genius	12
123	censorsheep	12
123	stavgod	12
123	jcool7	12
123	LeeMcGee30	12
134	Bandito_Roamer	11
134	Whiterooster001	11
134	Euclidoris	11
134	Scathra	11
134	Jackattack53	11
134	Arceus1975	11
134	Skylord_Luke	11
134	Truckoss	11
134	aec9	11
134	Deathkob	11
134	Xclax101	11
134	cog	11
134	lordpipe	11
134	Dogcorn69420	11
148	AuroraValkyrie	10
148	SellyZ	10
148	Rumpletaezer	10
148	Onennon	10
148	xo_Marren_xo	10
148	ILoveCarrot	10
148	Deodorante	10
148	Quaintster	10
148	fluddd	10
148	GravitySaint	10
