rank	username	minecraft:picked_up/minecraft:diorite
1	joethahobo	267004
2	Ezekson	122581
3	gcaisawesome	103822
4	HellsSponge	91561
5	PigDab	82191
6	Smoke____	67920
7	Miko_Fullbuster	53747
8	Di_infiri	52649
9	Spacewardharpy7	45936
10	noam464	45472
11	Blaiku	43802
12	TheShyPig	39813
13	lordpipe	39385
14	Zythose	38141
15	Werbe	34110
16	AssEatrAndLicker	32206
17	pintsizedrogue	31774
18	Deathkob	31286
19	Mahoose	30853
20	m_be9	30096
21	YungMaki	26968
22	Natofthese	26590
23	RebelAndroid	22939
24	EcksD	22706
25	Mewar	21138
26	EMC_	20514
27	El_Jalapeno	20460
28	EveryonesUncle	18968
29	MyNameIsJobo	18337
30	Skippeh	17156
31	Hoid_the_Roamer	15556
32	PhantomsGhost_	15203
33	beeperbeeper5	14734
34	Kakolbus	14699
35	Blackberry1310	14078
36	Enderslayerxz3	14051
37	sebastiensaborio	13816
38	Cowison	13640
39	Hyp3rion_	13570
40	rarrq	13424
41	TechnoNinja64	13342
42	obzii	12559
43	kekhon	12338
44	Freak_Genius	12126
45	Legendosh	11861
46	Snowflowe	11742
47	ImpavidArcher	11710
48	TheSecondLord	11100
49	thewindmillman	10093
50	eitanzaki	9621
51	Hisiste	9282
52	vandmanden	8905
53	Xclax101	8848
54	Lord_Jord	8809
55	MeetTheWollo	8489
56	Historical_Sand	8407
57	oxfordschool	8278
58	BobDeBouwer1337	8273
59	eviltunix	8078
60	Marbz_	8010
61	PlasticOtari	7590
62	ApophisNova	7302
62	MyNamaSheff	7302
64	500am	7014
65	BumbleBeever	7007
66	Froste131	6836
67	12Magner05	6810
68	WyngGoy	6803
69	ProfessorBee	6778
70	thescout7	6746
71	Rumpletaezer	6638
72	Maenara	6593
73	Inbefour	6527
74	Shogunite	6424
75	Franco093	6414
76	Bumpy419	6397
77	Xalithia	6374
78	Inchef	6305
79	mwrty	6242
80	Onennon	6219
81	Frozil12	6195
82	Chromary	6170
83	Spenduh	6150
84	Fullut	6097
