rank	username	minecraft:picked_up/minecraft:daylight_detector
1	Hyp3rion_	1636
2	Jackattack53	109
3	ROY4LE	99
4	Awyrlas	95
5	EveryonesUncle	74
6	PlasticOtari	50
7	HellsSponge	49
8	noam464	48
9	fffMike	47
10	Arceus1975	34
11	thescout7	30
11	Manaateee	30
13	MightyWertu	27
14	AdmiralSmoke	26
15	Parcc	24
15	FreakGenius	24
17	rarrq	23
18	T045RTY	22
19	Quotary	20
20	beeperbeeper5	13
21	_Nuf	11
22	Historical_Sand	8
22	SoftSix	8
22	500am	8
22	_Mythic____	8
26	teslawolf38	6
26	TheSecondLord	6
26	Akoot_	6
29	Apollo_993	5
29	Di_infiri	5
29	Snowflowe	5
29	Tyrannosplart	5
29	Skippeh	5
34	Badenbeele	4
34	AlphaWolfPlaysMC	4
34	Soplight	4
37	ECstardust	3
37	eitanzaki	3
37	MoistMicrowave	3
37	kekhon	3
37	ProfessorBee	3
37	mwrty	3
37	thewindmillman	3
37	oscminus	3
37	valkam13	3
37	NameGenerat0r	3
37	claivin	3
37	kyouma777	3
37	mawileite	3
37	Njensen7	3
37	EngagedGrub41	3
52	Louiis123	2
52	Mr_Byzantine	2
52	lotarp	2
52	_Dean_123	2
52	NotMeanttoChange	2
52	TheSeismicDuck	2
52	WyngGoy	2
52	bruh072	2
52	Eraxa	2
52	SvenskaHugo	2
52	MineMaster0012	2
52	nonarso	2
64	ImpavidArcher	1
64	TooManyDuck	1
64	Lez_	1
64	Comma__	1
64	excelsionprime	1
64	Inchef	1
64	RefluxRatio	1
64	ApophisNova	1
64	Werbe	1
64	RobotMinion101	1
64	IamCL4SSY	1
64	Lord_Jord	1
64	OG_Songsee	1
64	YungMaki	1
64	__tomato	1
64	Spenduh	1
64	xzvu	1
64	Dogcorn69420	1
64	striker90333	1
64	MyNamaSheff	1
64	TechnoNinja64	1
64	Jimb0nat0r	1
