rank	username	minecraft:picked_up/minecraft:firework_rocket
1	Hyp3rion_	3016736
2	Jackattack53	453101
3	noam464	176258
4	beeperbeeper5	116288
5	Spacewardharpy7	98413
6	_Virify_	60374
7	_Mythic____	27120
8	eitanzaki	19403
9	Kowcio_	15845
10	oscminus	14633
11	fffMike	10708
12	Mahoose	10348
13	Spenduh	8454
14	EcksD	7629
15	skitzxo	7479
16	El_Jalapeno	7378
17	Mattesco	7334
18	diamondgolem35	7015
19	thescout7	6335
20	EMC_	6150
21	lordpipe	5379
22	Akoot_	5336
23	Huwulling	5238
24	Lez_	4104
25	Werbe	3985
26	joethahobo	3863
27	rarrq	3834
28	burbankbuilder28	3786
29	Di_infiri	3699
30	Yamdalorian	3663
31	luseis	3649
32	Mr_Byzantine	3457
33	kekhon	3435
34	Legendosh	3430
35	hanaryheatwave	3370
36	MAns_44	3311
37	_i_ERROR_i_	3267
38	FreakGenius	3149
39	Drewen24	2950
40	Alteriity	2915
41	Segotep999	2882
42	royal_2	2831
43	ROY4LE	2815
44	TechnoNinja64	2750
45	jnp_gaming	2717
46	Blackberry1310	2681
47	pintsizedrogue	2630
48	Awyrlas	2569
49	tuckerdoodle	2548
50	set67	2512
51	Blaiku	2437
52	500am	2416
53	TheSecondLord	2375
54	Samificator	2361
55	MightyWertu	2320
56	Kyrum2169	2283
57	NomadicRobin_	2279
58	LugusMcGrugus	2092
59	zToasty69z	2071
60	WET_WET_WET	2070
61	PlasticOtari	2050
62	Blu3beast	1996
63	Jimb0nat0r	1966
64	Racengan	1873
65	Aryamanee	1805
66	HellsSponge	1777
67	Groundler	1763
68	HesDemonPants	1762
69	__tomato	1740
70	Lutres_	1676
71	StarCookiees_	1644
72	YungMaki	1636
73	ayamefag	1604
74	thewindmillman	1581
75	ApophisNova	1545
75	MyNamaSheff	1545
77	emreknugrlu	1516
78	fluddd	1512
79	pixelviolin	1499
80	Eczbek	1487
81	TheEnderMan548	1476
82	Nicserso	1475
83	Xclax101	1464
84	Sheldor097	1449
85	ElectricDragon81	1432
86	NameGenerat0r	1424
87	PhantomsGhost_	1403
88	xzvu	1389
89	Hydro___________	1322
90	Hiryu27	1311
91	Tyrannosplart	1279
92	claivin	1270
93	jcool7	1250
94	ECstardust	1239
94	Smashic	1239
96	Saucepeh	1237
97	Lor1113	1184
98	Historical_Sand	1175
98	ConnorDanky_	1175
100	F_Uhre	1174
101	crashomon	1158
102	Snowflowe	1145
103	Frozil20	1139
104	SammiWolfGirl	1091
105	Sral7	1073
106	Enderxz3	1025
107	Manaateee	1003
108	gcaisawesome	995
109	CalebDHawk	984
110	Luminad3	982
111	Boipl	974
111	Krowuss	974
113	MattieHD	968
114	mwrty	964
115	Superdays	960
116	KarlKaek	956
117	fanofbands101	952
118	Deathkob	951
119	Chickenchaser2	941
120	Steelynan	939
121	k_ce	931
122	gaziter10	930
123	FishyBoy3811	928
124	CattSoup	921
125	Arceus1975	914
126	TheKingK_	913
127	__Auspicious	906
128	6king6colt6	902
129	Maenara	898
130	cichy096	894
131	Ezekson	890
132	KartivGal	878
133	Kubeusz2010	875
134	Toriankel	871
135	Inchef	862
136	zKaneki	852
137	NotKaden_	837
138	King_Pancake1	831
139	T045RTY	827
140	Inbefour	814
141	Warlord324	810
142	MilleGrug	806
143	CLG_Kata	800
144	yheece	798
145	GothicJamm	786
146	MatsTheGoat	782
147	SvenskaHugo	780
148	PazinGaming	773
149	U_Mos_	741
150	PlzNoBM	736
151	Biites	735
152	annebolyn	727
153	Soplight	721
154	weabis	718
155	Buuck_	713
156	AltnumberF4	709
157	laron58	707
158	MC_Gamer_Geek	704
159	_Dean_123	697
160	bl1ss0	694
161	IronArshXS	687
162	xxPipperDipperxx	684
163	shrimp_flips	682
163	KamFurnace	682
165	pablopickle	681
166	Fuad_R	679
167	bigstankyy	678
168	lorpus	675
169	Dakar_	673
170	podduszenie	644
171	Upstro10	642
172	SpacesickPrism	638
173	Skippeh	633
174	DarlaMeow	615
175	Eraxa	613
176	Zee_zey	608
177	Mr_Froxy	607
178	HyperCave	598
179	Z3braYTIL	590
179	Kakolbus	590
179	amkold	590
182	olliebollie48	583
183	NoobyandApple	580
184	Sleepy_Evelyn	577
185	shineh10	573
185	FishisTTV	573
187	PigDab	572
188	12Magner05	571
188	pumpfonzo	571
188	Rocco_Lane	571
191	PortlyPete69	570
192	TheSandwhich_	569
193	titanlax	562
193	XboxPanda	562
195	Kferno	549
196	deleteduser3c11b	544
197	pinkigram	543
198	Chromary	539
199	mimbo1211	523
200	gren_ben	519
200	cyrusisntgay	519
200	the__Reaper4999	519
203	elliebelle107	518
204	pretty_pink_reno	516
205	Nicky_H225	515
205	IdeallyGrey	515
207	Mr_Sun15	512
208	Quotary	508
209	DinoDoctor_	503
210	Swexti	500
211	Merv__	498
212	StinkyDiplomat	497
212	le4ves	497
214	obzii	492
215	Secret_Canary	490
216	AstreaTSS	487
217	Powowowow	484
218	Crowman1	479
218	FiguraDei	479
220	Auseawesome	471
221	Natty	470
222	Masssonnn	465
222	okCrypto	465
222	EveryonesUncle	465
225	Weepingbiel	453
226	Wowful	450
226	lava124	450
228	NatalieTW	448
228	BinChickenBrine	448
228	Myrulfan3	448
231	TheWildMateo	444
232	Incinere	442
233	TheDiamondCG	440
234	Zxhir	439
235	HolyVenom	437
236	WyngGoy	429
237	OreTheBear	426
238	Jonte0599	424
239	Groovy_MoonBird	420
240	AlexxO_o	415
241	CoffeeNoir	413
242	Airem_Core	410
242	IAmTheWalrus910	410
244	MrKrabOnCoke	409
244	SquadMonster	409
246	blackeemperor	408
247	CarltheCuck	403
248	hermmm_	401
249	Shogunite	399
250	RebytreGT	392
250	Cyntrical	392
252	ImpavidArcher	390
252	Queen_Jalapeno	390
254	NieToksikpl	389
254	fxiryglitch	389
256	_Tilariel_	386
256	Dogcorn69420	386
258	mobunni	385
259	livingdaydreams	384
259	301851	384
261	MrQuanQuan	382
262	shadowthemonkey	381
263	Euclidoris	378
264	OtherAnimus	377
265	LeEricc	372
266	Siguy__	367
267	_stets	358
268	r123moore	357
269	Rasmanden	356
270	BPTY4618	353
270	NATE_the_HALO	353
272	akap47	352
273	_Huge_Male_	349
273	Lumien_	349
273	AspenLightVT	349
276	Krasnal1337	345
276	myaccountwasgone	345
276	Touched_Bread	345
279	_Nat666	342
280	MustaLoordi	341
281	Lil_Breadboy	338
282	Skylord_Luke	333
282	GooseWithin	333
284	fr0stss	332
285	Comma__	331
286	Zythose	329
287	ebanana	322
287	TheOuterCore	322
289	Yatitay	320
289	AJbeast01	320
289	potatol208	320
289	RobotMinion101	320
289	sammidk	320
294	SingedBread	317
295	Ryan_GEMS	316
296	MuffinManzz	315
297	Crowvens	312
297	sp00ky_ghost977	312
299	seramalen	311
300	mafiKiwi	310
