rank	username	minecraft:picked_up/minecraft:stripped_cherry_log
1	Mattesco	675
2	StarCookiees_	485
3	Lez_	399
4	Reneedium	324
5	xolstoi	258
6	pintsizedrogue	227
7	OreTheBear	126
8	Kowcio_	108
9	MattieHD	68
10	Rebytre	49
11	Hyp3rion_	40
12	icim	34
13	oscminus	28
14	Archsam	23
15	Mr_Sun15	13
16	luseis	12
17	pixelviolin	10
18	Jackattack53	9
19	Apollo_993	7
20	Merv__	6
20	ECstardust	6
20	beeperbeeper5	6
20	TheSecondLord	6
20	SteveCraftBlocks	6
20	lordpipe	6
20	Legendosh	6
27	Krowuss	5
28	lillips	4
29	EveryonesUncle	2
29	SpacesickPrism	2
31	KarlKaek	1
31	lorywithay	1
31	ItsHydroMC	1
31	MineMaster0012	1
