rank	username	minecraft:picked_up/minecraft:gray_wool
246	Calbo_	3
246	FishisTTV	3
287	Matemax	2
287	daisnny	2
287	Travasaur	2
287	SyK7	2
287	SirUnderpants	2
287	Hyugo	2
287	gren_ben	2
287	hm947	2
287	Hpdinosaur	2
287	baxteerr	2
287	Lilinaya17	2
287	youhjjhhhjj	2
287	No_u4	2
287	WarHammer3	2
