rank	username	minecraft:picked_up/minecraft:chest_minecart
1	Hyp3rion_	570
2	SteveCraftBlocks	207
3	Soplight	147
4	Manaateee	50
5	pixelviolin	22
6	noam464	19
7	PaperCanvas	15
8	Werbe	14
8	TheBananaKat	14
10	11Brewer	12
11	Kowcio_	11
12	SygnalX	9
12	500am	9
12	_witch_craft_	9
15	powercas_gamer	7
15	corvidpartyfor6	7
17	lumiscosity	6
17	bl1ss0	6
17	DJzombiehunter	6
17	Racengan	6
17	IlkeCookes_	6
17	Ezekson	6
23	Krowuss	5
23	kalzor	5
23	lordpipe	5
26	Ev0luti0nz	4
26	Frozil20	4
26	_themselves	4
26	excelsionprime	4
26	U_Mos_	4
26	luseis	4
26	NameGenerat0r	4
26	cutelilreno	4
26	Toriankel	4
26	FadedSpade82	4
26	robonya_	4
26	Steelynan	4
26	MisfitsMike	4
39	BPTY4618	3
39	Huwulling	3
39	_vlex	3
39	philandr	3
39	oscminus	3
39	On35h0t1k1ll778	3
39	Paul_Katan	3
39	Heisenbberrg	3
47	pintsizedrogue	2
47	Apollo_993	2
47	ECstardust	2
47	Niklas20114552	2
47	Mahoose	2
47	MSK__	2
47	Secret_Canary	2
47	ZeroAbyssTTV	2
47	Pandarus_	2
47	hanaryheatwave	2
47	cedric72	2
47	MoonSonata1	2
47	MightyWertu	2
47	FiguraDei	2
47	_Mythic____	2
47	knuxify	2
47	Sral7	2
64	GGabrielSauce	1
64	No_Bena	1
64	CLG_Kata	1
64	WinterSepp	1
64	Merv__	1
64	LagVibes	1
64	Lez_	1
64	Tersea_	1
64	Sleepy_Evelyn	1
64	_Nat666	1
64	12Magner05	1
64	4774	1
64	UnContemporary	1
64	gamerlord1324	1
64	mariominejedi	1
64	Jackattack53	1
64	thewindmillman	1
64	TheSoggyToaster	1
64	Hiryu27	1
64	Samificator	1
64	Lord_Jord	1
64	Fuad_R	1
64	MAns_44	1
64	Blaiku	1
64	kitlash	1
64	Spankathor	1
64	RareDude	1
64	Bambuino	1
64	MustardSquid	1
64	doublemaki	1
64	Segotep999	1
64	GustavoMS_64	1
64	non089	1
64	EngagedGrub41	1
64	FormulaNewt3627	1
64	KamFurnace	1
64	Nicserso	1
64	Yamdalorian	1
64	Sniper008	1
64	00000000-0000-0000-0009-01fc3bb26159	1
