rank	username	minecraft:picked_up/minecraft:light_blue_shulker_box
1	Hyp3rion_	2172
2	pintsizedrogue	1336
3	stahouo	1050
4	noam464	891
5	YungMaki	843
6	beeperbeeper5	514
7	Ezekson	506
8	Blaiku	494
9	12Magner05	418
10	RadarHz	363
11	Enderslayerxz3	316
12	thewindmillman	305
13	HellsSponge	292
14	Groundler	270
15	MightyWertu	269
16	Xalithia	264
17	jnp_gaming	259
18	r123moore	236
19	Eraxa	231
20	NameGenerat0r	223
21	Sral7	219
22	Smoke____	207
23	Deathkob	193
24	Akoot_	185
25	Megarboh	176
25	Fullut	176
25	Chromary	176
28	500am	173
29	TheSecondLord	168
30	FishyBoy3811	166
31	censorsheep	156
32	mwrty	152
33	Xclax101	151
34	lcvezra	142
35	rarrq	140
36	MattieHD	129
36	KG1999	129
38	SingedBread	128
39	MOSS000	127
40	TheSeismicDuck	125
41	djancak	124
42	sp00ky_ghost977	123
43	Mahoose	121
44	Drlzyy	118
45	fluddd	116
46	RebelAndroid	115
46	Myszoaz	115
46	lillips	115
46	Spacewardharpy7	115
46	lordpipe	115
51	xxPipperDipperxx	108
51	Snowflowe	108
51	Bumpy419	108
54	oxfordschool	104
55	eitanzaki	101
55	kekhon	101
57	TheShyPig	93
57	TheTrueClipse	93
59	_TCARREIRA_	90
60	m_be9	89
61	Hisiste	83
62	Zythose	79
62	Miko_Fullbuster	79
64	Di_infiri	77
65	pixelviolin	75
66	shyshyannne	74
67	chipklip	72
68	KartivGal	69
69	titanlax	68
69	jushykins	68
71	SpaceGrenadier	67
72	Optiprimus	65
73	Spenduh	62
74	emrekn	61
75	El_Jalapeno	60
76	masskedman	56
77	diamondgolem35	55
78	6king6colt6	54
79	burbankbuilder28	52
80	_Virify_	51
81	Steelynan	49
82	ImpavidArcher	47
83	PhantomsGhost_	46
84	PlasticOtari	45
85	WyngGoy	44
85	jcool7	44
87	PortlyPete69	43
88	fffMike	42
89	Arceus1975	41
90	audiocracked	40
91	Jiminie	38
91	Dreamdbr14	38
91	EcksD	38
94	Zaridey	37
94	Marbz_	37
94	Karbl	37
97	Werbe	36
98	CoffeeNoir	34
98	Awyrlas	34
100	Kouridragon	31
101	ProfessorBee	29
101	Maenara	29
103	Inchef	28
103	SexcMf	28
105	ssleepless	27
106	cedric72	26
107	AuroraValkyrie	25
107	Quincannon	25
107	stellarjay	25
107	little_dUki	25
111	eviltunix	24
112	Hiryu27	23
112	_Bguette_	23
114	joethahobo	21
115	__tomato	20
116	MinttyFressh	19
117	Th6masss	18
118	Yatitay	16
118	alderban107	16
120	oreee	15
120	Sky_light_KING	15
120	Soplight	15
120	BreadBacon	15
124	RoskobiOne	14
125	CyrusIsTired	13
125	Skylord_Luke	13
125	PigDab	13
128	set67	12
128	NotKaden_	12
128	CollinMH06	12
128	TheEnderman548	12
132	Bandito_Roamer	11
132	Jackattack53	11
132	Razzgriz	11
135	SuperPooch06	10
135	King_Pancake1	10
135	Donutt	10
135	wezzzi	10
135	Blu3beast	10
135	Testificate_517	10
141	_Karmaa	9
141	Frozil12	9
143	Groovy_MoonBird	8
143	nataliecool	8
143	teslawolf38	8
143	Blackberry1310	8
143	egglapras	8
143	KGTV	8
143	Afinnity	8
143	Shogunite	8
143	QueenShuvi	8
143	Kowcio_	8
143	diggydog67	8
154	peach0s	7
154	H72l9w	7
154	Dan_Scha	7
154	07shiny	7
158	bigstankyy	6
158	TAKrules	6
158	awesomeoneme	6
158	LitoDelvito	6
158	Rumpletaezer	6
158	EveryonesUncle	6
158	Dogcorn69420	6
165	Merv__	5
165	Ecplosive	5
167	_NieToksikpl_	4
167	MixerDixer	4
167	dabloons	4
167	thescout7	4
167	Hoid_the_Roamer	4
167	HolyVenom	4
167	Deodorante	4
167	LexMakesHistory	4
167	Freak_Genius	4
167	FelixPSY375	4
167	Kateesaur	4
178	ExtraDumb	3
178	Octatrack	3
178	TheDiamondCG	3
178	fred870d	3
178	obzii	3
178	Hermanni__	3
178	Nicserso	3
178	TechnoNinja64	3
178	EcksDofficial	3
187	Wolf_Mauler_73	2
187	Houstonion	2
187	MSK__	2
187	Historical_Sand	2
187	Malorn_Aetherius	2
187	Jaseisverycool	2
187	moderncraft	2
187	loveseeker	2
187	SlayerCrypto	2
187	DAD_1996	2
187	Lord_Jord	2
187	MovingFish7	2
187	monky_irl	2
187	OG_Songsee	2
187	Jij0	2
187	BungalowBeet	2
187	kinas45y5	2
187	Dank_Substance	2
205	seanitoo	1
205	AgressiveEggdog	1
205	KarlKaek	1
205	SaucyDark	1
205	jimintyy	1
205	eddiehobbit	1
205	SoftSix	1
205	eclipseboi	1
205	_Dean_123	1
205	Kkanot	1
205	zylanzagreat	1
205	Dyosy	1
205	drompje	1
205	BronkerBrum	1
205	ApophisNova	1
205	k1ngGilgamesh	1
205	Loraxonlyfans	1
205	OtariCharlie	1
205	Gab4101	1
205	CrumplyBanjo_	1
205	NomadicRobin_	1
205	_czarny	1
205	AgentMeatCandy	1
205	ElKaySVK	1
205	MakeHistory157	1
205	Professor_x8	1
205	_Yonk_	1
205	Sheldor097	1
205	Winston_Ingram	1
205	_3Stump_	1
205	stephunade	1
205	MyNamaSheff	1
205	Legendosh	1
205	The_SlideV5	1
205	Zoeyfortnite	1
205	h2p_emrld	1
