rank	username	minecraft:picked_up/minecraft:smooth_quartz
1	lordpipe	7982
2	noam464	6316
3	lillips	5290
4	Ezekson	4264
5	Frozil20	4212
6	Fuad_R	3481
7	wwwwinnebagoooo	2876
8	himak1	2182
9	Di_infiri	2022
10	FreakGenius	1935
11	Deerfoot	1864
12	xolstoi	1671
13	cedric72	1595
14	Blaiku	1183
15	Snowflowe	1109
16	YungMaki	1039
17	pintsizedrogue	1001
18	Eraxa	918
19	Lord_Jord	879
20	Arceus1975	830
21	Eczbek	735
22	Mahoose	732
23	ImpavidArcher	669
24	beeperbeeper5	640
25	UltraZombie	587
26	TheSecondLord	548
27	jnp_gaming	518
28	EveryonesUncle	481
29	ApophisNova	461
29	MyNamaSheff	461
31	eitanzaki	444
32	FishyBoy3811	442
33	fluddd	438
34	Smoke____	427
35	MakeHistory157	380
36	Chromary	357
37	kekhon	317
38	AltnumberF4	309
39	NotMeanttoChange	271
40	Hpdinosaur	263
41	thewindmillman	261
42	NameGenerat0r	243
43	2Stout	231
44	KarlKaek	219
45	m_be9	213
46	Mattesco	180
47	TheTommyGun63	163
48	Smashic	159
48	Akoot_	159
50	joethahobo	153
51	Sral7	149
52	fffMike	140
53	mihimihimihi	132
54	Spacewardharpy7	129
54	gusstationwerker	129
56	MangoTheFish	128
57	NomadicRobin_	123
58	Lutres_Torane	117
59	PlasticOtari	108
60	Mythic1130	107
61	Huwulling	98
62	EMC_	95
62	SuperPooch06	95
64	mobunni	91
65	Merv__	89
65	Hyp3rion_	89
65	Nekomin0	89
68	Blackberry1310	80
68	Elastiq	80
70	RoofTyler	78
71	r123moore	77
72	Kubeusz2010	74
73	_Karmaa	73
74	LexMakesHistory	70
75	oreee	67
76	500am	66
77	SammiWolfGirl	65
78	SteveCraftBlocks	62
79	cichy096	61
80	EfficientC52	60
80	MightyWertu	60
82	ConnorDanky_	59
83	TheShyPig	58
84	Cowison	56
85	rarrq	54
86	Soplight	53
87	The_slideV3	49
88	Jackattack53	47
89	Kowcio_	45
90	_Dean_123	41
91	Legendosh	40
92	Blu3beast	36
93	Marbz_	32
94	SaintJosie	31
95	hm947	30
96	luseis	27
97	Lez_	26
98	AuroraValkyrie	24
98	Touched_Bread	24
100	Rocco_Lane	22
101	ooga47	17
101	obzii	17
103	EcksD	15
104	pr33tu	14
104	paranoid_plant	14
104	MAns_44	14
107	stavgod	13
108	catandmoose	11
108	Fullut	11
110	Incinere	8
110	lorpus	8
110	_Boipl_	8
110	PigDab	8
110	Nycteus_	8
115	M_Patata	7
115	Truckoss	7
115	MasterNueve	7
115	Optiprimus	7
119	marumochis	6
119	VentiHilton	6
119	bladeefan2009	6
122	Prismyst	5
122	binman420	5
122	CalebDHawk	5
125	I_Am_Mushkin	4
125	Zythose	4
125	Werbe	4
125	RobotMinion101	4
129	_Huge_Male_	3
129	Gundam_Steven	3
129	ztsy	3
129	Jakobo1337	3
129	xzvu	3
129	Enderxz3	3
135	Eraza	2
135	DanhLamb	2
135	RohnJosin	2
135	Moofyman	2
135	lizardfightclub	2
135	Racengan	2
135	SingedBread	2
135	Meeerkat	2
135	TheEnderMan548	2
135	ThisUserIsStump	2
135	TechnoNinja64	2
146	PhantomsGhost_	1
146	PazinGaming	1
146	ColeSnyder	1
146	DinoDoctor_	1
146	ThiccExotic	1
146	ShedJr_	1
146	Myszoaz	1
146	Historical_Sand	1
146	Swexti	1
146	Mookle96	1
146	xxPipperDipperxx	1
146	theonlymagikarp	1
146	HoltGrim	1
146	MyNameIsJobo	1
146	AJplaysMC_	1
146	DebbieBrunswick	1
146	BRRRN179	1
146	dezxalo	1
146	fw3xywashere	1
146	Inbefour	1
146	Syropatathe	1
146	TrustStein	1
146	weabis	1
146	ATurtle4936	1
146	EngagedGrub41	1
146	Skippeh	1
146	Zoeyfortnite	1
146	h2p_emrld	1
