rank	username	minecraft:picked_up/minecraft:fire_charge
1	Blaiku	2260
2	noam464	1951
3	beeperbeeper5	1638
4	thewindmillman	1167
5	EcksD	1125
6	eitanzaki	612
7	Di_infiri	523
8	diggydog67	303
9	Fullut	259
10	PigDab	175
11	mwrty	174
12	Spacewardharpy7	144
13	Freak_Genius	132
14	joethahobo	128
15	gcaisawesome	113
16	YungMaki	87
17	stahouo	73
18	KG1999	68
19	emrekn	65
20	Racengan	64
21	Eraxa	61
22	Lord_Jord	57
23	lillips	45
24	CliffEmAll	40
24	Hyp3rion_	40
26	_Virify_	35
26	MakeHistory157	35
28	kekhon	33
29	Luigipunch989	29
29	Smoke____	29
31	12Magner05	27
32	Winklepicker279	26
33	Zythose	25
34	Cowison	23
35	LexMakesHistory	20
35	jnp_gaming	20
37	Deathkob	18
38	trixterrx	17
39	Mahoose	16
40	Groovy_MoonBird	14
40	Blackberry1310	14
40	IvarEXE	14
43	__TheNorseMan__	13
44	pintsizedrogue	12
44	thescout7	12
46	oxfordschool	11
47	PhantomsGhost_	10
47	TheSecondLord	10
49	Natofthese	9
49	livingdaydreams	9
49	Kowcio_	9
49	CalebDHawk	9
49	fffMike	9
54	ShedJr_	8
54	Scathra	8
56	Travasaur	7
56	T045RTY	7
56	HellsSponge	7
59	Ardennes	6
59	pixelviolin	6
61	Marbz_	5
61	Frozil12	5
63	strongman951753	4
63	lotarp	4
63	_Boipl_	4
63	TheShyPig	4
63	bpmm	4
63	hdtpm	4
63	EcksDofficial	4
70	nataliecool	3
70	rarrq	3
70	bloodbiter	3
70	xxPipperDipperxx	3
70	censorsheep	3
70	Yahir091	3
76	_Razar	2
76	tramizu	2
76	Master_Kol	2
76	CharlieButt	2
76	breadbowlgamer	2
76	_Karmaa	2
76	sp00ky_ghost977	2
76	Razzgriz	2
76	MineMaster0012	2
76	SammiWolfGirl	2
76	Miko_Fullbuster	2
76	Ezekson	2
88	soundad	1
88	diamondgolem35	1
88	hm947	1
88	jacxhadow	1
88	Z3braYTIL	1
88	UncreativeArtist	1
88	ayqq	1
88	Akoot_	1
88	EveryonesUncle	1
88	Hisiste	1
88	stellarjay	1
88	obzii	1
88	Kubeusz2010	1
88	2blox	1
88	WYFYoyo	1
