rank	username	minecraft:picked_up/minecraft:coast_armor_trim_smithing_template
1	rarrq	13
2	Werbe	8
3	xolstoi	7
4	Mr_Byzantine	3
4	StarCookiees_	3
6	k_ce	2
6	beeperbeeper5	2
6	SteveCraftBlocks	2
9	Smashic	1
