rank	username	minecraft:picked_up/minecraft:soul_sand
1	Hyp3rion_	76834
2	Zythose	38799
3	Frozil20	35197
4	noam464	27957
5	thewindmillman	18086
6	lordpipe	17809
7	Spacewardharpy7	15765
8	Jackattack53	14225
9	HellsSponge	11743
10	Di_infiri	11543
11	NomadicRobin_	9919
12	EcksD	7875
13	YungMaki	7718
14	TheShyPig	7195
15	Smoke____	6584
16	Blaiku	6423
17	pintsizedrogue	6060
18	eitanzaki	5823
19	PigDab	4774
20	Paintz	4222
21	TheSecondLord	4181
22	Racengan	4148
23	Zaridey	3671
24	Ezekson	3623
25	hanaryheatwave	3551
26	ebanana	3511
27	ZeroKraken	3283
28	12Magner05	3155
29	FreakGenius	2993
30	ApophisNova	2785
30	MyNamaSheff	2785
32	rarrq	2567
33	Enderxz3	2351
34	EMC_	2297
35	beeperbeeper5	2290
36	Legendosh	2171
37	Snowflowe	2032
38	RebelAndroid	1947
39	Hisiste	1859
40	gcaisawesome	1857
41	lizardfightclub	1850
42	mwrty	1836
43	Xalithia	1778
44	Groundler	1736
45	El_Jalapeno	1702
46	sxc_	1657
47	TechnoNinja64	1644
48	Kakolbus	1475
49	jcool7	1446
50	Kowcio_	1370
51	diggydog67	1309
52	ROY4LE	1286
53	Esme_1	1236
54	Fullut	1145
55	claivin	1124
56	Eraxa	1102
57	M_Patata	1099
58	MasterNueve	1093
59	m_be9	1052
60	ImpavidArcher	1051
61	luseis	1050
62	thescout7	1044
63	Vorlice	994
64	MightyWertu	948
65	RealGroot	909
66	MilleGrug	905
67	Werbe	900
68	diamondgolem35	897
69	fffMike	867
70	k_ce	853
71	Skippeh	765
72	Tyrannosplart	746
73	Blu3beast	736
74	Crowvens	715
75	Alteriity	698
76	500am	688
77	Mythic1130	657
78	mihimihimihi	643
79	MrExplorer	610
80	NatalieTW	604
81	eviltunix	595
82	PortlyPete69	587
83	PhantomsGhost_	585
84	Soplight	580
85	Shogunite	569
86	TheSeismicDuck	543
87	kekhon	537
88	joethahobo	535
89	MyNameIsJobo	516
90	Blackberry1310	499
91	Jovaphobic	486
92	sadvavilloso	482
93	ProfessorBee	479
94	Lord_Jord	474
95	Bandito_Roamer	473
96	Winklepicker279	471
97	ConnorDanky_	461
98	T045RTY	457
99	ShedJr_	440
100	ZA07	437
101	Mahoose	431
102	Maenara	424
103	MAns_44	417
104	Hoid_the_Roamer	415
105	Rebytre	414
106	himak1	413
106	RoofTyler	413
108	Syropatathe	408
109	Groovy_MoonBird	393
110	The_slideV3	387
111	Onennon	385
112	Bumpy419	379
113	EngagedGrub41	370
114	djancak	369
115	set67	368
116	masskedman	360
117	SmashingPump	358
118	The_SlideV5	357
119	Marbz_	356
119	legal_tax_evader	356
121	Rumpletaezer	353
121	zToasty69z	353
121	RadarHz	353
124	NinjaKnifeKill	352
125	Arceus1975	349
126	MattieHD	344
127	ratglock	334
127	pixelviolin	334
129	Apollo_993	325
130	dimondking777	324
130	q_wq	324
132	Lutres_Torane	316
133	gusstationwerker	315
134	Steelynan	312
135	gabriels543	311
136	its_lupus	305
137	Dusk_95	302
138	Nicserso	299
139	lillips	298
140	jacxhadow	294
141	GravitySaint	292
142	Cowison	291
143	Inbefour	287
144	Awyrlas	286
145	Deathkob	283
146	CliffEmAll	276
147	Quotary	273
148	calamariclam_I	266
149	surfinggiraffejp	263
150	teslawolf38	261
151	Kubelz	260
152	Hiryu27	259
152	Moofyman	259
152	NoChumpChange	259
155	drumine	255
156	Huwulling	252
157	_stets	245
157	ITDV	245
159	monky_irl	243
160	r123moore	242
161	4774	241
162	Sleepy_Time_	240
163	PlasticOtari	238
164	Factoroni	233
165	Windo_licker	231
165	Sheldor097	231
167	vandmanden	228
168	Ssor69	225
168	Vizzoid	225
168	EveryonesUncle	225
171	trexgb	224
172	_Virify_	222
173	NotMeanttoChange	219
173	OfficerAnvil	219
175	Historical_Sand	215
176	Corbsman	214
177	maxdacatv2	213
177	SingedBread	213
177	non089	213
180	MangoTheFish	210
180	Eczbek	210
182	Hermanni__	209
183	livingdaydreams	208
184	Winston_Ingram	206
185	Akoot_	203
186	TheOnlyRake	196
186	Iamthejo	196
186	jnp_gaming	196
189	censorsheep	191
189	xolstoi	191
191	IAmTheWalrus910	186
192	breadbowlgamer	182
193	Ryker	181
193	ImDisconnected_	181
193	DarkS0L	181
196	Wowful	178
197	WyngGoy	176
197	00000000-0000-0000-0009-01ff0c3e5e4f	176
199	MakeHistory157	168
200	TheDankPlatypus	163
201	ABUSNA1996	159
201	selectrix	159
201	RoBe__	159
204	Nycteus_	158
205	SammiWolfGirl	157
206	2bolx_	156
207	Lez_	152
207	SuperPooch06	152
207	TheTrueClipse	152
210	301851	149
211	Megarboh	148
212	fanofbands101	147
212	GlitchyPlate810	147
214	Barlycorn	146
215	Touched_Bread	145
216	Paint	144
216	Zoeyfortnite	144
218	_8man	142
218	CattSoup	142
220	Skylord_Luke	140
221	AuroraValkyrie	138
221	Stynxy	138
221	Jimi7hits	138
224	AuroraSkies	135
225	Hyugo	132
226	ori0le	131
227	AlexxO_o	128
227	EtherealEspresso	128
227	Moetis	128
230	Smashic	126
230	PegLegPete93	126
232	Guillemet	125
232	__tomato	125
234	Swexti	122
234	CaptainDeadBread	122
236	binman420	118
237	crying_wolf_13	115
237	arcanemagic	115
239	KartivGal	114
240	RobotMinion101	113
240	DTwenty	113
242	SpacesickPrism	112
243	tobinwilliams	111
243	Kura2218	111
245	Seyaboy	108
246	bigstankyy	106
246	KeruNatsema	106
248	gaziter10	105
248	SaintJosie	105
250	07shiny	102
251	bloodbiter	101
251	Ender_Souls	101
251	stellarjay	101
254	Darkgon	99
255	KingFaenor	98
256	NameGenerat0r	96
257	CadenSteele	95
257	youhjjhhhjj	95
259	JayToe	94
260	Ardennes	93
260	DkansK	93
262	Prismyst	92
263	gustarlep	91
264	hm947	90
264	_Karmaa	90
264	StinkyDiplomat	90
264	Fizznut909	90
268	_Boipl_	89
268	The11thDoctor	89
268	Katsuragi0243218	89
271	Luigipunch989	87
272	Kynigito	86
272	NotMeowMix	86
272	CalebDHawk	86
275	lotarp	85
275	KGTV	85
275	The_Fulgurator	85
275	Vindogster	85
279	Batoser	84
279	Euclidoris	84
279	fluddd	84
279	NATE_the_HALO	84
283	Xclax101	83
284	Elastiq	82
284	Kferno	82
286	Kkanot	81
287	LexMakesHistory	80
288	IamCL4SSY	78
289	FirsTimeGamingTV	77
289	CarltheCuck	77
289	Chromary	77
289	Powowowow	77
293	SSytex_X	76
294	H72l9w	75
294	eiC_	75
296	abramgray	74
296	Incinere	74
296	MrKrabOnCoke	74
299	ItsAki_	73
299	iSammael	73
