rank	username	minecraft:picked_up/minecraft:sandstone_stairs
1	Steelynan	2242
2	Euclidoris	1666
3	Merv__	1514
4	xzvu	1270
5	_stets	1218
6	Groovy_MoonBird	1092
7	Soplight	873
8	tuckerdoodle	767
9	Mahoose	754
10	kekhon	730
11	Elastiq	718
12	noam464	614
13	KarlKaek	596
14	TheShyPig	574
15	ImpavidArcher	540
16	eviltunix	527
17	skitzxo	470
18	Frozil20	461
19	Blackberry1310	448
20	500am	439
21	Enderxz3	416
22	Kim_Jong_eel	364
23	Onennon	352
24	Fullut	339
25	_Karmaa	323
26	SOA1RR	313
27	2Stout	290
28	xXTheWolfmanXx	285
29	shineh10	279
30	SteveCraftBlocks	255
31	Ssor69	224
32	Kyrum2169	221
33	NameGenerat0r	220
34	beeperbeeper5	219
35	EveryonesUncle	200
36	12Magner05	199
37	pintsizedrogue	188
38	Saucepeh	187
39	Waffleman258	164
40	Meatlaugh	156
41	Deodorante	152
41	FreakGenius	152
43	El_Jalapeno	150
44	TheWickedBird	149
45	TechnoNinja64	146
46	Cryptacity	142
47	John6970	135
48	DarlaMeow	133
49	Werbe	127
50	weabis	123
51	BodaciousCake	122
52	Di_infiri	115
53	Doom_melon	114
54	__tomato	111
55	rarrq	103
56	_Dean_123	100
56	ApophisNova	100
56	MyNamaSheff	100
59	MightyWertu	96
60	_3Stump_	90
61	KingFaenor	89
62	Kowcio_	85
63	Inbefour	81
64	r123moore	79
65	Arceus1975	78
66	Karetoko	73
67	Inconvenionce	72
67	ooga47	72
69	MrShojo	69
70	Yamdalorian	68
71	Parcc	67
72	Eczbek	66
73	peach0s	62
74	pretty_pink_reno	61
75	ShedJr_	60
75	TheMaster972	60
75	TheDumbHuman	60
78	Hyugo	59
79	Hahaa_0	58
80	Lez_	57
80	QuiCreans	57
82	TheWildMateo	56
82	Legendosh	56
84	Diavri	54
85	thgrocks	53
86	myaccountwasgone	51
86	NNikitas	51
88	Akoot_	49
89	SkyHighSkier	46
90	Optiprimus	44
91	Mr_Byzantine	43
91	Hpdinosaur	43
91	joethahobo	43
91	royal_2	43
91	ROY4LE	43
91	ReyTheLegend	43
97	TachibanaAkira	42
97	the__Reaper4999	42
99	SuperPooch06	41
99	AspenLightVT	41
101	SkateboardR6	40
101	Mikael_Kuningas	40
103	PhantomsGhost_	39
103	TheSecondLord	39
105	Swexti	38
105	emreknugrlu	38
107	IamCL4SSY	37
107	Spacewardharpy7	37
109	SvenskaHugo	36
110	potato292	34
111	Notta	33
111	kalzor	33
111	Dreamdbr14	33
114	YungMaki	32
115	eitanzaki	30
115	ElectricDragon81	30
117	fluddd	29
118	RobotMinion101	28
119	EMC_	27
119	CoffeeNoir	27
121	PazinGaming	26
121	Decaying_Lotus	26
123	drompje	25
123	epiksk8erduck	25
123	Ajax6	25
123	audiocracked	25
123	FGamerJ	25
128	legal_tax_evader	24
129	Mattesco	23
130	SwooshBoi	22
130	CrazyPotater	22
132	PlasticOtari	21
133	abdomera	19
133	burbankbuilder28	19
135	andy_rex	18
135	luseis	18
135	Benzito07	18
135	xX_Stalin69_Xx	18
135	Nicserso	18
140	Skylord_Luke	17
141	Tersea_	16
141	Inchef	16
141	CACTUSLAD	16
144	AuroraValkyrie	15
144	wiqor	15
144	Awyrlas	15
147	ougstur	14
147	xDraggin	14
147	The_slideV3	14
150	Rich_Kat	13
150	Secret_Canary	13
152	Voxin2K	12
152	Tyrannosplart	12
154	HellsSponge	11
154	Buuck_	11
154	SexcMf	11
154	AltnumberF4	11
158	skroobiez	10
158	Jackattack53	10
158	War_Time_Leader	10
158	lizardfightclub	10
158	JasmineGK	10
158	Sral7	10
164	Kamflame	9
164	Kakolbus	9
164	Bumpy419	9
164	cum_chalice	9
168	MattieHD	8
168	himak1	8
168	Lord_Jord	8
168	420BreadLizard	8
168	MinuteMira	8
168	stellarjay	8
168	jcool7	8
