rank	username	minecraft:picked_up/minecraft:dead_bubble_coral_fan
1	noam464	67
2	Di_infiri	57
3	pintsizedrogue	35
4	HellsSponge	31
5	mihimihimihi	17
6	Mahoose	15
7	Jackattack53	13
8	Spacewardharpy7	12
8	Soplight	12
10	eitanzaki	11
11	Yamdalorian	10
12	Prismyst	9
12	joethahobo	9
14	PlasticOtari	8
15	Lez_	5
16	gamerlord1324	4
17	FreakGenius	3
17	MightyWertu	3
17	Factoroni	3
17	FishisTTV	3
21	RebytreGT	2
21	Werbe	2
21	pixelviolin	2
24	12Magner05	1
24	500am	1
24	Hyp3rion_	1
24	Onennon	1
24	groofles	1
24	EdGalbraith	1
24	NameGenerat0r	1
