rank	username	minecraft:picked_up/minecraft:netherite_pickaxe
1	PlasticOtari	107
2	beeperbeeper5	106
3	Spacewardharpy7	80
4	Hyp3rion_	65
5	Smoke____	63
6	Ezekson	60
7	pintsizedrogue	57
8	MilleGrug	49
9	noam464	45
10	eitanzaki	44
11	Kowcio_	40
12	joethahobo	37
13	Smashic	36
14	Blaiku	33
14	Iamthejo	33
14	Jimb0nat0r	33
17	RebelAndroid	31
18	Rebytre	30
19	T045RTY	29
20	Historical_Sand	28
20	NomadicRobin_	28
22	SingedBread	27
23	Lez_	26
23	fffMike	26
25	kekhon	25
26	Frozil20	24
26	PigDab	24
26	lordpipe	24
26	RealGroot	24
30	ImpavidArcher	23
30	r123moore	23
30	gusstationwerker	23
30	Enderxz3	23
34	luseis	22
35	Inchef	21
35	thewindmillman	21
35	Fuad_R	21
38	Mahoose	20
38	Chromary	20
38	YungMaki	20
41	Jackattack53	19
41	Mattesco	19
41	masskedman	19
44	EMC_	17
44	Esme_1	17
44	Akoot_	17
44	SammiWolfGirl	17
44	KingMatthew506	17
49	fw3xywashere	16
49	ConnorDanky_	16
51	set67	15
51	Lord_Jord	15
51	mihimihimihi	15
54	Huwulling	14
54	lizardfightclub	14
54	Eczbek	14
57	Blackberry1310	13
57	TheSecondLord	13
57	Secret_Canary	13
57	Di_infiri	13
57	Solar_Power	13
57	Nycteus_	13
57	the__Reaper4999	13
64	soundad	12
64	zToasty69z	12
64	Quotary	12
67	Wooptey	11
67	500am	11
67	UltraZombie	11
70	SmashingPump	10
70	hm947	10
70	CliffEmAll	10
70	gcaisawesome	10
70	Winklepicker279	10
70	CollinMH06	10
70	EveryonesUncle	10
70	Racengan	10
78	teslawolf38	9
78	_Boipl_	9
78	Werbe	9
78	RoofTyler	9
82	fade_emerge78823	8
82	MangoTheFish	8
82	Wowful	8
82	HellsSponge	8
82	UCP_TheKingK	8
82	GlitchyPlate810	8
82	AltnumberF4	8
89	_Virify_	7
89	Mr_Byzantine	7
89	Cowison	7
89	bigstankyy	7
89	ShedJr_	7
89	Myszoaz	7
89	mwrty	7
89	Kakolbus	7
89	SkateboardR6	7
89	obzii	7
89	Hermanni__	7
89	RadarHz	7
89	HesDemonPants	7
89	2bolx_	7
103	ganyuganyu	6
103	ITDV	6
103	Da_Boss_Rani	6
103	rarrq	6
103	Awyrlas	6
103	Touched_Bread	6
103	XboxPanda	6
103	non089	6
103	CattSoup	6
112	NatalieTW	5
112	FazeObama69	5
112	Merv__	5
112	Alteriity	5
112	SpaceGrenadier	5
112	pumpfonzo	5
112	Zythose	5
112	Skylord_Luke	5
112	FishyBoy3811	5
112	CuzIm2Kev	5
112	NameGenerat0r	5
112	monky_irl	5
112	tsitrawhy	5
112	ZoomieZoomie	5
112	its_lupus	5
127	_Huge_Male_	4
127	RoskobiOne	4
127	diamondgolem35	4
127	IronArshXS	4
127	BlancoFlaco	4
127	NinjaKnifeKill	4
127	MrKrabOnCoke	4
127	Crowman1	4
127	MattieHD	4
127	4774	4
127	lorpus	4
127	SBean737	4
127	Marbz_	4
127	F_Uhre	4
127	AlexxO_o	4
127	ZA07	4
127	ogoa	4
127	binman420	4
127	Deathkob	4
127	Lutres_Torane	4
127	MyNameIsDakar	4
127	weabis	4
127	MAns_44	4
127	fluddd	4
127	Airem_Core	4
127	_Ruzeeq_	4
127	ItsDeltaMC	4
127	SvenskaHugo	4
127	pixelviolin	4
127	djancak	4
127	CalebDHawk	4
127	little_dUki	4
159	Jovaphobic	3
159	MuffinManzz	3
159	_stets	3
159	Gemstuff	3
159	Creativebuilder2	3
159	gren_ben	3
159	CoffeeNoir	3
159	SquadMonster	3
159	titanlax	3
159	NieToksikpl	3
159	SoftSix	3
159	Xalithia	3
159	xxPipperDipperxx	3
159	SuperPooch06	3
159	0Vyp_	3
159	Afinnity	3
159	NoChumpChange	3
159	Syropatathe	3
159	FreakGenius	3
159	MS_Pryxx	3
159	ProfessorDiaper	3
159	Ze_BaronKrigler	3
159	KujikawaRisechi	3
159	Soplight	3
159	Luigipunch989	3
159	Sheldor097	3
159	MirielThePastor	3
159	00000000-0000-0000-0009-01ff0c3e5e4f	3
187	CadenSteele	2
187	dimondking777	2
187	PazinGaming	2
187	Sleek_Storm_721	2
187	I_Am_Mushkin	2
187	Humpcat	2
187	NoHaHeHa	2
187	jessewegottacook	2
187	jacxhadow	2
187	BobDeBouwer1337	2
187	mattybeewrapss	2
187	Jakobo1337	2
187	Nicky_H225	2
187	Sloths_Ender	2
187	Fullut	2
187	UncreativeArtist	2
187	theonlymagikarp	2
187	benediktine1	2
187	drunkeeez	2
187	prizm_	2
187	shadowthemonkey	2
187	CarltheCuck	2
187	WET_WET_WET	2
187	Billious	2
187	Jeteight	2
187	EtherealSilveon	2
187	ApophisNova	2
187	KartivGal	2
187	Zackran	2
187	fxiryglitch	2
187	KeruNatsema	2
187	yulgur1	2
187	lillips	2
187	LexMakesHistory	2
187	OverallConcept	2
187	ThatMan_Dave	2
187	GoofySilly	2
187	DolphinLaugh	2
187	LazySupport00	2
187	Vicemaniac	2
187	TheTommyGun63	2
187	Godspirit249	2
187	Mythic1130	2
187	LeEricc	2
187	PortlyPete69	2
187	deadshot16	2
187	Kferno	2
187	88Hazza88	2
187	Kubeusz2010	2
187	Erased_Identity	2
187	Aryamanee	2
187	MyNamaSheff	2
187	Weepingbiel	2
187	Biites	2
187	xolstoi	2
187	Jordan_R	2
187	FishisTTV	2
244	Krasnal1337	1
244	HBA00_	1
244	Groovy_MoonBird	1
244	chipklip	1
244	Apollo_993	1
244	ActivelyLogicalt	1
244	q_wq	1
244	6king6colt6	1
244	Nekowu	1
