rank	username	minecraft:picked_up/minecraft:magma_block
1	Hyp3rion_	25831
2	thewindmillman	18127
3	HellsSponge	18089
4	FreakGenius	14491
5	AdmiralSmoke	13099
6	WyngGoy	9639
7	MilleGrug	9468
8	MightyWertu	9463
9	FirsTimeGamingTV	9394
10	MinttyFressh	8801
11	noam464	8317
12	Lord_Jord	8224
13	YungMaki	7803
14	set67	6753
15	mihimihimihi	6745
16	EngagedGrub41	6288
17	Nycteus_	6125
18	NomadicRobin_	5831
19	DanTheBuilderino	5616
20	Hisiste	5557
21	pintsizedrogue	5153
22	Frozil20	5088
23	bigstankyy	4948
24	Di_infiri	4866
25	zToasty69z	4734
26	2blox_	4462
27	_Virify_	4399
28	Werbe	4341
29	cedric72	3952
30	EMC_	3829
31	Spacewardharpy7	3790
32	Zythose	3751
33	SkateboardR6	3718
34	Weepingbiel	3565
35	TheShyPig	3045
36	beeperbeeper5	3021
37	diggydog67	2951
38	__tomato	2910
39	Winklepicker279	2795
40	Jackattack53	2773
41	H72l9w	2685
42	Segotep999	2505
43	LexMakesHistory	2482
44	m_be9	2405
45	RebelAndroid	2380
46	Sleepy_Time_	2372
47	trexgb	2313
48	PortlyPete69	2303
49	Kakolbus	2251
50	TheSecondLord	2099
51	Ezekson	2019
52	Fullut	1965
53	Snowflowe	1955
54	T045RTY	1767
55	PigDab	1739
56	Kubeusz2010	1687
57	CoffeeNoir	1531
58	Legendosh	1335
59	Da_Boss_Rani	1295
60	vandmanden	1273
61	joethahobo	1251
62	BobDeBouwer1337	1240
63	eitanzaki	1229
64	MyNameIsJobo	1218
65	Mewar	1166
66	UCP_TheKingK	1129
67	El_Jalapeno	1127
68	Wowful	1022
69	Mahoose	1018
70	DarlaMeow	1005
71	Quotary	978
72	TechnoNinja64	954
73	Maenara	936
74	Deathkob	921
75	Hiryu27	848
76	EveryonesUncle	815
77	07shiny	809
78	Crowvens	795
79	Blu3beast	792
80	Winston_Ingram	782
81	Shogunite	761
82	CLG_Kata	752
83	Onennon	744
84	Groovy_MoonBird	735
85	ShedJr_	724
86	legal_tax_evader	703
86	Soplight	703
88	Vizzoid	700
89	4774	698
90	GravitySaint	685
91	PlzNoBM	680
92	NinjaKnifeKill	677
93	Cryptacity	671
94	mwrty	642
95	Racengan	639
96	ooga47	635
97	Manaateee	628
98	12Magner05	626
99	Rebytre	620
100	BlancoFlaco	619
101	SSytex_X	613
