rank	username	minecraft:picked_up/minecraft:black_terracotta
1	thewindmillman	111669
2	PazinGaming	1711
3	joethahobo	1645
4	lillips	1190
5	EMC_	681
6	YungMaki	663
7	Spacewardharpy7	446
8	Rumpletaezer	443
9	Lez_	387
10	Manaateee	292
11	Mahoose	268
12	Huwulling	260
13	Cyanide4Kitten	248
14	MyNameIsJobo	223
15	AdmiralSmoke	219
16	500am	176
17	mwrty	170
18	Bandito_Roamer	157
19	Blu3beast	147
20	Kakolbus	135
21	KingMatthew506	129
22	ChocolatePepsi	128
23	pintsizedrogue	125
24	ConnorDanky_	107
25	Blackberry1310	103
26	MightyWertu	92
27	Snowflowe	90
28	Crowman1	77
29	thescout7	71
29	Di_infiri	71
31	Merv__	65
32	Iamthejo	64
33	JoCoLi	63
34	SuperPooch06	62
35	luseis	60
36	Awyrlas	57
37	xxPipperDipperxx	55
37	Paintz	55
39	ooga47	49
40	Inchef	47
41	beeperbeeper5	41
42	Kowcio_	27
43	Hyp3rion_	25
44	Onennon	22
44	Inbefour	22
46	NameGenerat0r	19
47	RatatJuice	16
47	Kamflame10	16
49	Nicserso	15
50	jessewegottacook	13
51	Jimb0nat0r	12
52	Myszoaz	10
52	Notta	10
54	TheSecondLord	9
54	_Karmaa	9
54	bloomkieren	9
54	JohnPrice	9
58	Deathkob	8
59	SaucyDark	7
60	KarlKaek	6
60	EcksD	6
62	CattSoup	5
63	Alteriity	4
63	catandmoose	4
63	Ecplosive	4
63	Dan_Scha	4
63	ZoomieZoomie	4
68	kekhon	3
68	XxCookiequeenxX	3
68	sp00ky_ghost977	3
71	ItsGrayWolf	2
71	AuroraValkyrie	2
71	ImpavidArcher	2
71	eitanzaki	2
71	Batman922	2
71	12Magner05	2
71	emrekn	2
71	noam464	2
71	shadowthemonkey	2
71	Werbe	2
71	BumbleBeever	2
71	Typadopoulos	2
71	MilleGrug	2
71	Sral7	2
85	boog4loo	1
85	Zaridey	1
85	Marbz_	1
85	jcool7	1
85	TechnoNinja64	1
