rank	username	minecraft:picked_up/minecraft:echo_shard
1	TheSecondLord	60
2	Sleepy_Time_	33
3	AlexxO_o	14
4	TheDankPlatypus	7
4	RoofTyler	7
6	noam464	6
7	thewindmillman	4
8	pintsizedrogue	3
8	luseis	3
8	EcksD	3
11	Alteriity	2
11	Mahoose	2
11	Enderxz3	2
14	Di_infiri	1
