rank	username	minecraft:picked_up/minecraft:smooth_sandstone
1	joethahobo	36277
2	Spacewardharpy7	5721
3	EcksDofficial	4414
4	Kim_Jong_eel	4279
5	Freak_Genius	4106
6	sebastiensaborio	3758
7	500am	3672
8	Frozil12	2906
9	YungMaki	2644
10	Merv__	2331
11	2Stout	2268
12	KarlKaek	2109
13	TheDankPlatypus	2088
14	Di_infiri	2081
15	NameGenerat0r	1967
16	Hyugo	1379
17	RebelAndroid	1375
18	Enderslayerxz3	1231
19	TheShyPig	1186
20	Blackberry1310	1146
21	Arceus1975	1145
22	Mahoose	1130
23	John6970	1114
24	kekhon	1074
25	_stets	1037
26	Soplight	1030
27	SteveCraftBlocks	963
28	XxCookiequeenxX	960
29	RodSerlingCringe	929
30	__tomato	904
31	stahouo	833
32	oxfordschool	781
33	Kowcio_	761
34	Lord_Jord	734
35	MyNameIsDakar	628
36	Sral7	558
37	Groovy_MoonBird	549
38	Legendosh	546
39	YungJakobo	490
40	gcaisawesome	458
41	Hpdinosaur	433
42	Inchef	423
43	Deodorante	415
44	The_Quack_Dealer	401
45	SwooshBoi	391
46	ApophisNova	354
46	MyNamaSheff	354
48	SexcMf	344
49	m_be9	328
50	_Bguette_	327
51	Franco093	323
51	Onennon	323
51	ReyTheLegend	323
54	Jiminie	322
55	Akoot_	280
56	TechnoNinja64	277
57	Wowful	272
58	PlasticOtari	267
59	Fullut	247
60	PhantomsGhost_	230
61	ImpavidArcher	214
62	gabriels543	212
63	Werbe	209
64	beeperbeeper5	205
65	_TCARREIRA_	204
66	TheSecondLord	201
67	Jackattack53	196
68	CueMix	192
69	HesDemonPants	175
70	eitanzaki	172
71	Inbefour	169
72	EcksD	138
73	IAmTheWalrus910	132
74	chipklip	124
75	Vizzoid	123
76	Babushka0430	119
77	Felenov	118
78	WarMachina	116
79	G1ldor	114
80	xxPipperDipperxx	112
80	RobotMinion101	112
82	NotMeanttoChange	111
83	epiksk8erduck	106
84	Rebytre	105
84	Waffleman258	105
86	Karetoko	104
87	DarlaMeow	100
88	The_SlideV5	98
89	Nicserso	97
90	CoffeeNoir	96
90	r123moore	96
90	EveryonesUncle	96
93	Meatlaugh	94
94	AssEatrAndLicker	86
95	Incinere	80
95	GlitchyPlate810	80
97	Eraxa	79
98	Nesquiczek	78
98	SkateboardR6	78
100	rarrq	74
101	Snowflowe	72
102	RoboTramp7865	66
103	Sky_light_KING	64
103	stellarjay	64
105	Winklepicker279	60
105	claivin	60
107	yatsuta	58
108	UncreativeArtist	53
108	Hermanni__	53
110	peach0s	49
111	himak1	48
111	drompje	48
111	Kyrum2169	48
114	jnp_gaming	46
115	TiborSterle	42
116	egglapras	40
117	ProfessorBee	39
118	loveseeker	37
119	noam464	36
120	Sleek_Storm_721	35
120	Smoke____	35
122	Wooptey	34
122	Hiryu27	34
124	Kakolbus	32
124	FreddyFart	32
124	WyngGoy	32
127	SquadMonster	30
127	Blaiku	30
129	Chickenchaser2	29
129	andy_rex	29
131	ShedJr_	28
131	burbankbuilder28	28
131	AltnumberF4	28
134	The_slideV3	27
134	yoyoYoloMonke	27
136	smogfrog	25
137	xXTheWolfmanXx	21
138	Cryptacity	19
138	Skylord_Luke	19
138	SirDodgyBob	19
141	Blu3beast	18
142	Natofthese	17
142	thewindmillman	17
144	ooga47	16
145	MeowMeowMcmuffin	15
145	MyNameIsJobo	15
145	robotemo	15
145	_3Stump_	15
145	Calbo_	15
150	pintsizedrogue	14
150	KingFaenor	14
150	sandmire	14
150	ElectricDragon81	14
154	Voxin2K	13
155	mwrty	12
155	cedric72	12
155	erkada	12
158	Ajax6	11
159	I_Am_Mushkin	10
159	HolyVenom	10
159	lordpipe	10
159	IdeallyGrey	10
163	fluddd	8
163	MakeHistory157	8
163	Spenduh	8
166	Howertt	7
166	Frach23	7
166	M_Patata	7
166	Studyhallsaver	7
166	thgrocks	7
166	thechoosenone69	7
166	lillips	7
166	MasterNueve	7
174	TooManyDuck	6
174	Ssor69	6
174	benediktine1	6
174	SuperPooch06	6
174	King_Pancake1	6
179	heckface	5
179	AnnieBathory	5
179	victorLIE	5
179	sammidk	5
179	NomadicRobin_	5
179	Crumbls	5
179	TheEnderman548	5
186	Mowelan	4
186	Myszoaz	4
186	oreee	4
186	SeverianTheLame	4
186	PigDab	4
186	ADEXTV	4
186	Frnjokl	4
186	MightyWertu	4
186	silverpopcorn	4
186	Ezekson	4
196	livingdaydreams	3
196	Stiar	3
196	pappaberg	3
196	Maenara	3
200	JohnnyFyes	2
200	AuroraValkyrie	2
200	hm947	2
200	Sabby65	2
200	Zippyzam	2
200	redikul	2
200	Lor1113	2
200	phomic	2
200	Lil_Breadboy	2
200	SIRdrumroll	2
200	fxiryglitch	2
200	duqboy	2
200	HellsSponge	2
200	ProfessorDiaper	2
200	DennyKai	2
200	CalebDHawk	2
200	jcool7	2
200	SpaceTurtleOX	2
218	teslawolf38	1
218	TheMilkerOfCats	1
218	ExtraDumb	1
218	KiRemon77	1
218	Humpcat	1
218	ZaneABrain	1
218	picardred	1
218	SDMNAEK	1
218	Nicky_H225	1
218	thescout7	1
218	UnderKat	1
218	SuperStreetCat	1
218	CarltheCuck	1
218	WET_WET_WET	1
218	Misty_Breeze	1
218	The_Fulgurator	1
218	Bumpy419	1
218	DAD_1996	1
218	jewbacaman	1
218	Ender_Souls	1
218	_Karmaa	1
218	Jamstroxian	1
218	Xclax101	1
218	Typadopoulos	1
218	Warlord324	1
218	Hisiste	1
218	Dusk_95	1
218	TheDumbHuman	1
218	Tina_x	1
218	OG_Songsee	1
218	Ze_BaronKrigler	1
218	lil_sandmire	1
218	Razzgriz	1
218	AssFullaCum	1
218	djancak	1
218	Pelku	1
218	Kubeusz2010	1
218	Quotary	1
218	kinas45y5	1
