rank	username	minecraft:picked_up/minecraft:oxidized_cut_copper
1	milltesco	611
2	SpacesickPrism	403
3	Mattesco	343
3	Manaateee	343
5	pintsizedrogue	113
6	Spaghettatron	95
7	_Huge_Male_	73
8	Marbz_	67
9	Mr_Byzantine	60
10	excelsionprime	55
11	Apollo_993	45
12	pixelviolin	27
12	Kowcio_	27
14	luseis	22
15	MattieHD	16
15	PlasticOtari	16
17	Lez_	8
18	skroobiez	6
19	Niklas20114552	4
20	Juansinmiedo18	3
20	Jimb0nat0r	3
22	ZoomieZoomie	2
22	EcksD	2
24	Caribouse	1
24	TheSecondLord	1
24	bl1ss0	1
24	hanaryheatwave	1
24	thewindmillman	1
24	Jekyll	1
24	cutelilreno	1
24	TheWickedBird	1
