rank	username	minecraft:picked_up/minecraft:light_blue_glazed_terracotta
1	Hyp3rion_	567
2	lordpipe	483
3	Inbefour	428
4	thewindmillman	370
5	eitanzaki	329
6	El_Jalapeno	309
7	noam464	234
8	Merv__	205
9	KarlKaek	179
10	Smoke____	142
11	ImpavidArcher	77
12	KG1999	71
13	Enderslayerxz3	64
14	m_be9	63
15	rarrq	60
16	Prismyst	54
17	2Stout	51
18	beeperbeeper5	44
18	Werbe	44
20	MakeHistory157	39
21	T045RTY	36
22	Hiryu27	32
23	Meatlaugh	31
24	Di_infiri	30
25	Freak_Genius	28
26	Quotary	27
27	Arceus1975	21
28	YungMaki	20
29	Wooptey	19
29	calamariclam_I	19
31	r123moore	18
32	Soplight	16
33	Powowowow	14
34	Blaiku	13
35	StinkyDiplomat	12
36	chipklip	11
37	Mahoose	7
37	EcksD	7
37	PlasticOtari	7
40	Bumpy419	6
40	TheShyPig	6
40	mobunni	6
43	Zythose	4
43	alderban107	4
43	jnp_gaming	4
46	xxPipperDipperxx	3
46	Ezekson	3
48	AJplaysMC_	2
49	ColeSnyder	1
49	Gundam_Steven	1
49	Queen_Jalapeno	1
49	Onennon	1
49	thgrocks	1
49	OG_Songsee	1
49	stahouo	1
49	EcksDofficial	1
