rank	username	minecraft:picked_up/minecraft:dead_bush
1	500am	774
2	pintsizedrogue	665
3	oxfordschool	624
4	Mahoose	318
5	Freak_Genius	277
6	PlasticOtari	209
7	Onennon	136
8	TheShyPig	121
9	SammiWolfGirl	96
9	KingMatthew506	96
11	xxPipperDipperxx	75
12	ApophisNova	73
12	MyNamaSheff	73
14	Werbe	72
14	AssEatrAndLicker	72
16	kinas45y5	66
17	Blackberry1310	60
18	Kim_Jong_eel	57
19	set67	56
20	Marbz_	54
21	noam464	52
22	TheEnderman548	47
22	Ezekson	47
24	Fullut	44
25	Maenara	40
26	Bandito_Roamer	37
26	Legendosh	37
28	Smoke____	34
29	Rebytre	33
30	Cowison	32
31	Inchef	31
32	ShedJr_	30
33	sebastiensaborio	28
33	TechnoNinja64	28
35	H72l9w	25
36	Cryptacity	24
37	GravitySaint	23
37	lordpipe	23
39	beeperbeeper5	20
39	TheSecondLord	20
39	00000000-0000-0000-0009-01f898304150	20
42	Xalithia	19
43	Merv__	18
43	jnp_gaming	18
45	MyNameIsJobo	17
46	ROY4LE	15
47	Ailmast	10
47	TheMaster972	10
47	Awyrlas	10
47	HellsSponge	10
51	cowgirlkasia	8
51	Jiminie	8
51	Soplight	8
54	ChillenChiggen	7
54	burbankbuilder28	7
54	Spacewardharpy7	7
57	_stets	6
57	thewindmillman	6
57	brickman241	6
57	claivin	6
61	Skippeh	5
62	SuperPooch06	4
62	WarMachina	4
64	kekhon	3
64	TheDankPlatypus	3
64	YungMaki	3
67	T045RTY	2
67	2Stout	2
67	_naturell	2
67	RodSerlingCringe	2
67	duqboy	2
67	Deathkob	2
67	Dusk_95	2
67	IAmTheWalrus910	2
67	Luigipunch989	2
67	CalebDHawk	2
67	Hermanni__	2
78	strongman951753	1
78	SaucyDark	1
78	rarrq	1
78	lordsaladito	1
78	Scathra	1
78	__Fanda__	1
78	Hyp3rion_	1
78	Ebsen05	1
78	Skylord_Luke	1
78	NNikitas	1
78	CruncyIsTaken	1
78	EveryonesUncle	1
78	Eraxa	1
78	lcvezra	1
78	Drawgirll	1
78	Kubeusz2010	1
78	MissCeleste7	1
