rank	username	minecraft:picked_up/minecraft:raw_gold
1	pintsizedrogue	7549
2	fade_emerge78823	5500
3	500am	4073
4	lordpipe	2334
5	Miko_Fullbuster	1920
6	gcaisawesome	1804
7	Jiminie	1798
8	Ezekson	1585
9	EMC_	1508
10	beeperbeeper5	1437
11	GlitchyPlate810	1412
12	corvidpartyfor6	1247
13	TheSecondLord	1197
14	TheDankPlatypus	1195
15	Kowcio_	1119
16	RebelAndroid	1116
17	calamariclam_I	1028
18	Enderslayerxz3	1011
19	xPixelRainx	962
20	Rocco_Lane	961
21	SingedBread	943
22	Njensen7	941
23	Mahoose	935
24	groofles	912
25	thewindmillman	894
26	Sleepy_Time_	888
27	Kubelz	881
28	RadarHz	797
29	Kakolbus	772
30	Myszoaz	719
31	MAns_44	702
32	prizm_	700
33	fffMike	667
34	pixelviolin	648
35	Steelynan	647
36	Lutres_Torane	622
37	SuperPooch06	621
38	Segotep999	606
39	MyNameIsDakar	604
40	Spacewardharpy7	578
41	12Magner05	536
42	Smoke____	512
43	PhantomBionic	488
44	Snowflowe	483
45	yulgur1	476
46	tsitrawhy	469
47	Flores991	468
48	diamondgolem35	465
49	SvenskaHugo	462
50	Steven1282598	458
51	non089	442
52	LeauVox4921	425
53	Killercatty78	419
54	Huwulling	417
55	egglapras	411
56	SlayerCrypto	401
57	Hermanni__	397
58	Flapjacker687	392
59	Lord_Zacler	374
60	Alteriity	368
61	00000000-0000-0000-0009-01ff0c3e5e4f	366
62	Lumien_	348
63	Marbz_	346
64	Jimi7hits	344
65	Ryker	326
66	Moofyman	322
67	wwwwinnebagoooo	314
68	Tommhh	307
69	RoskobiOne	305
70	mihimihimihi	303
71	00000000-0000-0000-0009-01f898304150	301
72	coobert42	294
73	JitteryJared2	291
74	obzii	290
75	Touched_Bread	288
76	420BreadLizard	286
77	EngagedGrub41	285
78	ItsDeltaMC	284
79	Yatitay	278
80	ApophisNova	276
80	MyNamaSheff	276
82	Prismyst	274
83	Freak_Genius	271
84	Da_Boss_Rani	263
85	TAKrules	252
85	KeruNatsema	252
87	ProfessorDiaper	241
88	iSammael	237
88	YungMaki	237
90	sp00ky_ghost977	234
91	Masssonnn	233
91	starbits140	233
93	Spenduh	231
94	Megarboh	225
95	Eraxa	223
96	Jeteight	220
97	NieToksikpl	217
98	PlasticOtari	213
99	fw3xywashere	206
100	Rebytre	205
101	The_Fulgurator	202
102	underscore_2	200
103	SquadMonster	195
103	AltnumberF4	195
105	TheWildMateo	194
106	Menthas	190
107	CharlieButt	189
107	cwartzo	189
107	2blox	189
110	ROY4LE	188
111	dartwaffle	185
112	TheOuterCore	184
112	MeetTheWollo	184
114	MinttyFressh	183
115	Fuad_R	182
115	ATurtle4936	182
117	RatatJuice	181
117	crying_wolf_13	181
119	IdeallyGrey	180
120	_Boipl_	172
120	mobunni	172
122	Nesquiczek	168
122	WYFYoyo	168
124	rarrq	167
125	Sharkbyte0	161
126	teakings	160
126	Soplight	160
128	ToastedGamingYT	159
129	YinToYin	157
129	nataliecool	157
131	_Dri_	155
132	Enigma0251	154
133	Hyp3rion_	153
134	p4lp	148
135	ZaneABrain	147
136	SyntheticSurgeon	146
137	NLKBuilder	142
138	Vicemaniac	140
139	tortillatitan	135
139	nut_e	135
141	SpacesickPrism	134
142	CyrusIsTired	133
143	Frozil20	129
143	shrimp_flips	129
143	brofrickcheaters	129
146	BronkerBrum	127
146	kyouma777	127
148	Gab4101	126
149	Ze_BaronKrigler	125
150	Groovy_MoonBird	124
150	Quaintster	124
152	Smashic	121
153	smogfrog	118
154	bee_gorl	116
154	StinkyDiplomat	116
156	CowOfTheNile	115
156	Hail_the_wombat	115
158	Crowman1	112
159	Silvo614	110
160	AuroraSkies	109
161	Kamflame10	108
162	ccwildfire1	105
163	mrnosetackle	103
164	ShedJr_	99
164	HolyVenom	99
