rank	username	minecraft:picked_up/minecraft:scaffolding
1	Hyp3rion_	551254
2	thewindmillman	62144
3	joethahobo	39656
4	AdmiralSmoke	29834
5	PlasticOtari	25711
6	lordpipe	24166
7	Ezekson	23636
8	pintsizedrogue	23586
9	Mahoose	22421
10	beeperbeeper5	21129
11	burbankbuilder28	20365
12	FreakGenius	18528
13	rarrq	17407
14	500am	16801
15	TheShyPig	15560
16	Legendosh	15343
17	Merv__	14850
18	Kakolbus	14246
19	Blackberry1310	13768
20	PigDab	13672
21	HellsSponge	12804
22	NatalieTW	12394
23	YungMaki	10802
24	kekhon	10461
25	ImpavidArcher	10294
26	m_be9	9853
27	Fullut	9573
28	Euclidoris	9032
29	Kowcio_	8212
30	Lord_Jord	7728
31	Spacewardharpy7	7654
32	KarlKaek	7551
33	cedric72	7168
34	TheSecondLord	6830
35	MyNameIsJobo	6622
36	Soplight	6523
37	jacxhadow	6482
38	Manaateee	6306
39	xxPipperDipperxx	6234
40	Lutres_	6222
41	ooga47	6088
42	gcaisawesome	6009
43	Werbe	5991
44	Zythose	5450
45	luseis	5266
46	SuperPooch06	5256
47	Akoot_	5246
48	Onennon	5244
49	PazinGaming	4664
50	Frozil20	4583
51	PhantomsGhost_	4517
52	Arceus1975	4348
53	Mr_Byzantine	4204
54	Shogunite	4114
55	TechnoNinja64	4084
56	Marbz_	4083
57	MineMaster0012	4060
58	Iamthejo	4037
59	Xalithia	3947
60	Jackattack53	3934
60	Meatlaugh	3934
62	Druid95	3867
63	lillips	3794
64	_Dean_123	3678
65	fkGrim	3620
66	SteveCraftBlocks	3605
67	Lez_	3577
68	Tommhh	3571
69	titanlax	3540
70	ZoomieZoomie	3380
71	EngagedGrub41	3346
72	eitanzaki	3326
73	Steelynan	3258
74	Fuad_R	3118
75	The_slideV3	3044
76	Malorn_Aetherius	2986
77	EcksD	2971
78	Nicserso	2925
79	SaintJosie	2908
80	lcvezra	2896
81	xolstoi	2894
82	Xclax101	2818
83	12Magner05	2759
84	_Karmaa	2714
85	himak1	2707
86	__tomato	2696
87	EMC_	2685
88	SammiWolfGirl	2648
89	VentiHilton	2589
90	_stets	2530
91	Elastiq	2525
92	Stiar	2490
93	hanaryheatwave	2446
94	CoffeeNoir	2380
95	ShedJr_	2332
95	SkateboardR6	2332
95	Luigipunch989	2332
98	Darkgon	2306
99	Alteriity	2274
100	DanTheBuilderino	2242
101	Ryan_GEMS	2189
102	Eraxa	2178
103	PortlyPete69	2069
104	BobDeBouwer1337	2038
105	eiC_	2023
106	Enderxz3	1988
107	M_Patata	1982
108	EveryonesUncle	1967
109	Ryker	1958
110	legal_tax_evader	1941
111	Nicky_H225	1919
112	NomadicRobin_	1905
113	xzvu	1884
114	Mattesco	1868
115	eviltunix	1861
116	MAns_44	1854
117	DarlaMeow	1839
118	Smiguli_	1825
119	T045RTY	1821
120	TheTrueClipse	1819
121	_TCARREIRA_	1796
122	Groovy_MoonBird	1794
123	MightyWertu	1782
124	MasterNueve	1767
125	BumbleBeever	1714
126	IamCL4SSY	1703
127	6king6colt6	1684
128	anbbang	1662
129	Krowuss	1661
130	oscminus	1594
130	claivin	1594
132	Megarboh	1573
133	heckface	1568
134	The_SlideV5	1522
135	Natty	1520
136	LAVA129	1508
137	2Stout	1507
138	Blu3beast	1501
139	_Huge_Male_	1455
140	StanceTB	1446
141	Hermanni__	1427
142	ProfessorBee	1391
143	Inchef	1389
144	Di_infiri	1388
145	Skippeh	1370
146	NotMeanttoChange	1359
147	TooManyDuck	1350
148	Rumpletaezer	1308
149	Deathkob	1293
150	RatatJuice	1248
151	TheWildMateo	1245
152	Quotary	1176
153	Inbefour	1165
154	Smashic	1163
155	Chromary	1162
156	LeonelSalamanca	1146
157	AuroraValkyrie	1139
158	Crowman1	1135
159	TheThomas69	1134
160	Hisiste	1116
161	prizm_	1108
162	RebelAndroid	1100
163	jushykins	1098
164	sp00ky_ghost977	1078
165	Cowison	1077
165	Ze1ig	1077
167	Jimi7hits	1052
168	bearlystraight	1043
169	LexMakesHistory	1023
170	whoaluv	1017
171	Touched_Bread	1016
172	Huwulling	1009
173	impossibleteapot	1008
173	The11thDoctor	1008
175	iSammael	991
176	StinkyDiplomat	989
177	bigstankyy	986
178	Apollo_993	970
179	mihimihimihi	961
180	Soap_Bender	956
181	diggydog67	950
182	skrongus	949
183	r123moore	948
184	set67	930
185	ECstardust	908
186	Hpdinosaur	900
187	Jimb0nat0r	899
188	Cryptacity	898
189	Skylord_Luke	896
190	Ssor69	893
191	IWorkAtIkea	886
192	livingdaydreams	879
192	Awyrlas	879
194	CalebDHawk	876
195	Historical_Sand	868
195	SpouHn	868
197	ItsMrRamen	867
198	Bandito_Roamer	863
199	UCP_TheKingK	856
199	alderban107	856
201	Airem_Core	847
202	H72l9w	831
203	XxCookiequeenxX	826
204	H0UNDFRMH3LL	817
205	rotten_mango	808
206	noam464	795
207	drunkeeez	781
208	pixelviolin	775
209	dopplexd	773
210	Deerfoot	769
211	RobotMinion101	765
212	MissCeleste7	704
213	ROY4LE	703
214	weabis	702
215	calamariclam_I	697
216	Swexti	693
216	Kyrum2169	693
218	ReyTheLegend	681
219	excelsionprime	668
220	jessewegottacook	666
221	ConnorDanky_	664
222	Eczbek	658
222	jnp_gaming	658
224	Neps1	649
225	thescout7	621
226	KingMatthew506	609
227	Optiprimus	601
228	SexcMf	593
229	NieToksikpl	590
230	k_ce	586
230	_Meow_Mix	586
232	Pineapplesugr	580
233	AlexxO_o	573
234	RoboTramp7865	572
235	ExtraDumb	563
236	Da_Boss_Rani	562
237	NameGenerat0r	557
238	Hiryu27	556
239	emrekn	554
240	SaucyDark	553
241	Burge_r	552
242	Nycteus_	548
243	DemTechAlpha	545
244	LeauVox4921	543
245	zToasty69z	539
246	Kim_Jong_eel	532
247	GooseWithin	528
248	Fuhrer_Teemo	527
249	2blox_	525
250	AnnieBathory	524
251	stellarjay	520
252	Covalents	507
253	fr0stss	504
253	pappaberg	504
255	MoistMicrowave	503
256	MakeHistory157	502
257	intropass	500
258	QuacksonThe3rd	499
259	Segotep999	498
260	ratglock	484
261	WyngGoy	475
262	Racengan	472
263	Sheldor097	469
264	CarryLine	464
265	fw3xy74	451
265	TheMiddayMoon	451
267	teslawolf38	448
268	AuroraSkies	446
269	Kubeusz2010	444
270	Bumpy419	441
270	Typadopoulos	441
272	bloodbiter	433
273	chipklip	431
273	Notta	431
273	theofiel	431
276	the__Reaper4999	409
277	q_wq	407
277	Secret_Canary	407
279	nattybears	402
280	Sral7	397
281	Tyrannosplart	393
282	GLLogan2	392
283	Candad_	387
284	Louiis123	386
284	MattieHD	386
286	Auseawesome	381
287	handsome_strong	380
288	CollinMH06	376
289	AngalexikCZ	370
290	avalan64	367
291	Vizzoid	364
292	Wowful	355
293	slkiey	347
293	Drewen24	347
295	ColeSnyder	346
296	youhjjhhhjj	345
297	Blaiku	343
298	Maenara	342
298	wezzzi	342
300	TheDankPlatypus	340
