rank	username	minecraft:picked_up/minecraft:waxed_oxidized_cut_copper_stairs
1	Marbz_	9
1	Manaateee	9
1	Spaghettatron	9
4	thewindmillman	4
5	skroobiez	3
6	Mr_Byzantine	1
6	net_flex	1
6	milltesco	1
6	oscminus	1
6	Buuck_	1
