rank	username	minecraft:picked_up/minecraft:brown_banner
1	Kowcio_	159
2	kekhon	57
3	TheShyPig	44
4	ConnorDanky_	32
5	Lez_	31
6	luseis	19
7	500am	18
7	fffMike	18
9	SammiWolfGirl	16
9	Ezekson	16
11	KarlKaek	15
12	fade_emerge78823	14
12	EveryonesUncle	14
12	MS_Pryxx	14
15	fkGrim	13
15	Factoroni	13
17	Werbe	12
17	ougstur	12
17	Akoot_	12
17	hermmm_	12
21	_witch_craft_	11
21	Chromary	11
23	Myntsys	10
24	corvidpartyfor6	8
24	Smashic	8
24	4774	8
24	YungMaki	8
28	fanofbands101	6
28	Cryptacity	6
28	12Magner05	6
28	Reneedium	6
28	Avocadogerms	6
28	Jimb0nat0r	6
34	pintsizedrogue	4
34	beeperbeeper5	4
34	fragrantmonke444	4
34	Optiprimus	4
34	KingMatthew506	4
34	Mikael_Kuningas	4
34	JayToe	4
41	BadenStayFly	3
41	Mahoose	3
41	skroobiez	3
41	TheSecondLord	3
41	noam464	3
41	HairballHacker10	3
41	miramyu	3
41	JasmineGK	3
41	momis24	3
41	skitzxo	3
51	RebelAndroid	2
51	DarkFisto	2
51	bloodbiter	2
51	Megarboh	2
51	Fullut	2
51	TheDankPlatypus	2
51	crashomon	2
51	Elastiq	2
51	Druid95	2
60	Mr_Byzantine	1
60	Merv__	1
60	LionelHutzESQ	1
60	KomputerDude	1
60	MoistMicrowave	1
60	rarrq	1
60	mimbo1211	1
60	Zythose	1
60	oscminus	1
60	ApophisNova	1
60	fw3xy74	1
60	claivin	1
60	pretty_pink_reno	1
60	Xclax101	1
60	Blaiku	1
60	MyNamaSheff	1
