rank	username	minecraft:picked_up/minecraft:blue_terracotta
1	thewindmillman	98194
2	ApophisNova	6256
2	MyNamaSheff	6256
4	kekhon	1024
5	nocturne78	847
6	joethahobo	797
7	groofles	752
8	YungMaki	596
9	DarlaMeow	522
10	Kakolbus	502
11	NameGenerat0r	466
12	Jackattack53	465
13	EveryonesUncle	455
14	Hyp3rion_	366
15	TheShyPig	351
16	Parcc	295
17	Jovaphobic	289
18	Notta	273
19	AuroraValkyrie	249
20	Merv__	244
21	jcool7	219
22	_Nuf	206
23	EMC_	196
24	Rumpletaezer	186
24	WyngGoy	186
26	KarlKaek	184
26	mwrty	184
28	The_slideV3	166
29	MakeHistory157	164
30	Akoot_	160
31	MattieHD	154
32	The_SlideV5	151
33	AltnumberF4	112
34	MightyWertu	104
35	ooga47	103
36	rarrq	96
37	Blu3beast	83
38	Awyrlas	82
39	Snowflowe	80
40	SSytex_X	79
41	Blamphe	77
42	Hpdinosaur	76
43	Steelynan	75
43	Vellu21	75
45	Xclax101	73
45	TechnoNinja64	73
47	Syropatathe	66
48	Werbe	61
48	LeGold	61
50	MovingFish7	58
51	mariominejedi	51
52	Groovy_MoonBird	49
52	Sral7	49
54	noam464	48
55	Deathkob	47
56	MunkaKris	44
57	EcksD	43
58	Barlycorn	39
59	Soplight	35
60	_stets	27
61	pintsizedrogue	26
62	ImpavidArcher	24
62	theonlymagikarp	24
64	The_Dark_One_00	23
65	pixelviolin	22
66	Kouridragon	20
66	Steven1282598	20
68	TheSecondLord	19
69	oxfordschool	18
70	_Bguette_	17
71	JohnPrice	16
72	Chrisdeadeye	15
72	NNikitas	15
74	chipklip	14
74	Freak_Genius	14
76	Di_infiri	12
76	OG_Songsee	12
78	Blackberry1310	11
78	XxCookiequeenxX	11
80	Inbefour	10
80	_Karmaa	10
82	6king6colt6	9
82	xxPipperDipperxx	9
82	EcksDofficial	9
85	H72l9w	8
85	ThePoliteG	8
85	impossibleteapot	8
85	Blaiku	8
85	Kijiki	8
85	Drawgirll	8
91	HellsSponge	7
91	unhuggity	7
91	mobunni	7
94	wwwwinnebagoooo	6
94	Ezekson	6
96	Yatitay	5
96	BodaciousCake	5
96	beeperbeeper5	5
96	Hiryu27	5
96	Invisie	5
96	censorsheep	5
96	Frozil12	5
96	Skippeh	5
104	12Magner05	4
104	Smashic	4
104	WET_WET_WET	4
104	Quotary	4
104	561cool	4
109	Lepthymo	3
109	Myszoaz	3
109	m_be9	3
109	SellyZ	3
109	AmbroseForLife	3
109	Bumpy419	3
109	claivin	3
109	fluddd	3
109	yatsuta	3
109	TheOuterCore	3
109	PlasticOtari	3
109	Smoke____	3
121	Bandito_Roamer	2
121	Menthas	2
121	TheMilkerOfCats	2
121	eitanzaki	2
121	livingdaydreams	2
121	SpaceGrenadier	2
121	Frxnkz	2
121	YungJakobo	2
121	Z3braYTIL	2
121	ROY4LE	2
121	Diavri	2
121	HAIRYCLOUD626	2
121	k1ngGilgamesh	2
121	Nicky19	2
121	TheSeismicDuck	2
121	sufjanlover	2
121	ItsDeltaMC	2
121	sp00ky_ghost977	2
121	IdeallyGrey	2
121	lcvezra	2
121	KingMatthew506	2
121	Miko_Fullbuster	2
121	Enderslayerxz3	2
121	Powowowow	2
145	PhantomsGhost_	1
145	Drlzyy	1
145	Wolf_Mauler_73	1
145	_Razar	1
145	Natty	1
145	Mahoose	1
145	Da_Boss_Rani	1
145	tramizu	1
145	Euclidoris	1
145	aikabot	1
145	Comma__	1
145	SpektraWasTaken	1
145	Ardennes	1
145	ProfessorBee	1
145	CyrusIsTired	1
145	Masssonnn	1
145	UncreativeArtist	1
145	thescout7	1
145	egglapras	1
145	beeleg	1
145	fade_emerge78823	1
145	Inchef	1
145	r123moore	1
145	Kubelz	1
145	Marbz_	1
145	SuperPooch06	1
145	Arceus1975	1
145	Misty_Breeze	1
145	Chuvacevedo	1
145	KartivGal	1
145	PigDab	1
145	_naturell	1
145	aa2x_	1
145	sxc_	1
145	ADEXTV	1
145	fw3xywashere	1
145	Jiminbub	1
145	fkGrim	1
145	wateo	1
145	Meatlaugh	1
145	Warlord324	1
145	TheDumbHuman	1
145	ZoharGoldMine	1
145	ElectricDragon81	1
145	_Tilariel_	1
145	BlankityMcBlank	1
145	__tomato	1
145	Spenduh	1
145	stahouo	1
145	MilleGrug	1
145	striker90333	1
145	Kubeusz2010	1
145	ScarmedLeft	1
145	Hylo482y	1
145	Legendosh	1
145	HesDemonPants	1
145	momis24	1
145	diggydog67	1
