rank	username	minecraft:picked_up/minecraft:sunflower
1	joethahobo	3132
2	lordpipe	2651
3	noam464	2122
4	Jiminie	1815
5	Spacewardharpy7	1770
6	Marbz_	1666
7	beeperbeeper5	1323
8	gabriels543	1092
9	TheShyPig	1011
10	Groovy_MoonBird	964
11	YungMaki	886
12	Steelynan	773
13	lillips	766
14	Merv__	687
15	Hyp3rion_	603
16	thewindmillman	575
17	Freak_Genius	560
18	Frozil12	556
19	xxPipperDipperxx	534
20	HellsSponge	402
21	ApophisNova	385
21	MyNamaSheff	385
23	oxfordschool	367
24	Smoke____	359
25	Mahoose	348
26	Di_infiri	316
27	Legendosh	296
28	Bumpy419	230
29	kekhon	217
30	LordSpeed37	213
31	Fullut	202
32	AuroraSkies	200
33	SSytex_X	188
34	TheDankPlatypus	180
35	pintsizedrogue	175
36	jnp_gaming	172
37	laron58	170
38	KarlKaek	150
39	EMC_	144
39	IAmTheWalrus910	144
41	Kowcio_	135
42	_stets	134
42	500am	134
44	PhantomsGhost_	130
44	fr_ser	130
46	WYFYoyo	128
47	El_Jalapeno	124
47	TechnoNinja64	124
49	eitanzaki	121
50	Ezekson	120
51	sp00ky_ghost977	118
52	ROY4LE	116
53	stellarjay	114
54	Froste131	106
54	Moofyman	106
56	Hermanni__	105
57	Kakolbus	100
57	Rumpletaezer	100
59	LilLizardWizard	95
60	Rebytre	91
60	chipklip	91
62	livingdaydreams	89
62	CoffeeNoir	89
64	SaucyDark	83
65	Akoot_	82
66	NomadicRobin_	73
67	loveseeker	72
68	VentiHilton	68
69	Historical_Sand	66
70	T045RTY	65
71	Rasmanden	64
71	DarlaMeow	64
73	Deathkob	63
74	ExtraDumb	62
75	TastyPorkchop	60
76	BlancoFlaco	59
76	Werbe	59
78	OfficerAnvil	58
79	XxCookiequeenxX	56
79	00000000-0000-0000-0009-01f532a65833	56
81	OnlyOfficial	55
82	TheSeismicDuck	52
82	Lutres_Torane	52
84	Maenara	49
85	Kubelz	46
86	burbankbuilder28	45
86	Onennon	45
88	RadarHz	43
89	MyNameIsDakar	40
90	Windo_licker	38
90	Skippeh	38
92	ProbablyNick	37
92	RedcatVII	37
94	claivin	36
95	Bandito_Roamer	32
95	FishisTTV	32
95	00000000-0000-0000-0009-01ff0c3e5e4f	32
98	UncreativeArtist	31
98	The11thDoctor	31
98	AvaRosey	31
101	Awyrlas	30
101	The_SlideV5	30
103	Swexti	29
103	ratglock	29
103	Fildyr	29
103	diggydog67	29
107	jushykins	28
107	wezzzi	28
107	Vorlice	28
110	I_Am_Mushkin	27
110	picardred	27
110	ItzYaBoiPicard	27
110	ReyTheLegend	27
114	Scags	26
115	ImpavidArcher	25
115	G1ldor	25
115	KartivGal	25
115	MovingFish7	25
119	_Razar	24
119	tuckerdoodle	24
119	Mattesco	24
119	Inbefour	24
119	MAns_44	24
119	Lord_Lollo	24
125	Huwulling	23
125	ShedJr_	23
125	Mookle96	23
125	BlueZabu	23
125	csendeslol	23
130	PortlyPete69	22
131	seramalen	21
131	dezxalo	21
133	Cocoamallows	20
133	__tomato	20
133	Enderslayerxz3	20
136	m_be9	19
136	Zaridey	19
136	SammiWolfGirl	19
139	Nesquiczek	18
139	jacxhadow	18
139	r123moore	18
139	Russiancat1	18
143	MyNameIsJobo	17
144	Enigma0251	16
144	Jeteight	16
144	_Bguette_	16
144	StinkyDiplomat	16
144	PlasticOtari	16
149	SteveCraftBlocks	15
149	Ecplosive	15
149	Kyrum2169	15
149	EtherealEspresso	15
149	Spenduh	15
154	lizardfightclub	14
154	Luigipunch989	14
156	SkirmishMUDKIP	13
156	orxngejuice	13
156	Typadopoulos	13
156	Soplight	13
160	NoxxxxiS	12
160	M_Patata	12
160	Snowflowe	12
160	CarryLine	12
160	Groundler	12
160	Lirael42	12
160	jaimshae	12
167	6king6colt6	11
167	roxycherry	11
167	theofiel	11
167	sufjanlover	11
167	MasterNueve	11
172	Prismyst	10
172	DarkFisto	10
172	CaptainDeadBread	10
172	LexMakesHistory	10
172	Deguns123	10
172	HuangMeiHua	10
178	teslawolf38	9
178	TheSecondLord	9
178	LeauVox4921	9
