rank	username	minecraft:picked_up/minecraft:purple_concrete
1	lordpipe	3760
2	YungMaki	2911
3	MakeHistory157	2609
4	thewindmillman	2131
5	jnp_gaming	1305
6	TheSecondLord	849
7	TheShyPig	604
8	PigDab	559
9	Ezekson	481
10	ROY4LE	480
11	Frozil12	315
12	HellsSponge	233
13	beeperbeeper5	210
14	set67	205
15	6king6colt6	168
16	WyngGoy	150
17	oxfordschool	135
18	Notta	131
19	Nicserso	129
20	PortlyPete69	123
21	joethahobo	115
22	TechnoNinja64	101
23	noam464	100
24	Xovalt_	87
25	Spacewardharpy7	78
26	Kowcio_	70
27	AssFullaCum	69
28	Di_infiri	65
28	Soap_Bender	65
30	LexMakesHistory	60
31	stahouo	56
32	burbankbuilder28	34
32	Blaiku	34
34	fr0stss	33
35	Sky_light_KING	26
36	Smoke____	19
37	Racengan	17
38	kekhon	14
38	Arceus1975	14
40	starbits140	12
41	sp00ky_ghost977	11
42	500am	10
42	claivin	10
44	Cyntrical	8
44	Legendosh	8
46	Eraxa	7
46	EcksD	7
48	VentiHilton	5
49	The_slideV3	4
49	fluddd	4
49	SkateboardR6	4
52	xXTheWolfmanXx	3
53	eitanzaki	2
53	rarrq	2
53	Fullut	2
53	mwrty	2
53	SuperPooch06	2
53	Werbe	2
53	k1ngGilgamesh	2
53	AssEatrAndLicker	2
53	kinas45y5	2
62	bigstankyy	1
62	Incinere	1
62	T045RTY	1
62	Septemb3r	1
62	gcaisawesome	1
62	MousePlays	1
62	chipklip	1
62	Blu3beast	1
