rank	username	minecraft:picked_up/minecraft:light_gray_glazed_terracotta
1	Bandito_Roamer	230
2	Hiryu27	138
3	Werbe	128
4	Merv__	127
5	Legendosh	76
6	ImpavidArcher	73
7	Di_infiri	64
7	Arceus1975	64
9	MunkaKris	59
10	Ezekson	54
11	Freak_Genius	48
12	eitanzaki	45
13	Tommhh	38
14	YungMaki	33
15	lordpipe	29
16	Nycteus_	28
16	EcksD	28
18	Reamdin	26
19	Incinere	25
20	alderban107	24
21	teslawolf38	22
22	StinkyDiplomat	20
23	oxfordschool	16
24	Hermanni__	15
25	r123moore	13
26	kekhon	12
27	TheShyPig	11
27	Smoke____	11
29	Jiminie	9
29	PlasticOtari	9
31	titanlax	8
31	djancak	8
33	ZaneABrain	7
34	beeperbeeper5	6
34	SteveCraftBlocks	6
34	audiocracked	6
37	12Magner05	5
37	mwrty	5
39	Historical_Sand	4
40	noam464	3
40	Jeteight	3
40	Frozil12	3
40	Spacewardharpy7	3
40	Eraxa	3
45	loveseeker	2
45	Onennon	2
45	Sky_light_KING	2
45	KG1999	2
45	561cool	2
50	rarrq	1
50	ProfessorBee	1
50	WET_WET_WET	1
50	WyngGoy	1
