rank	username	minecraft:picked_up/minecraft:nether_brick_stairs
1	TheShyPig	1189
2	BobDeBouwer1337	783
3	MyNameIsJobo	654
4	Frozil20	557
5	m_be9	507
6	Kakolbus	439
7	Lord_Jord	327
8	ooga47	267
9	HellsSponge	210
10	El_Jalapeno	192
11	burbankbuilder28	191
12	YungMaki	188
13	lizardfightclub	166
14	rarrq	163
15	Vorlice	151
16	Eraxa	109
17	Zythose	89
18	vandmanden	87
19	Soplight	83
19	PlasticOtari	83
21	TheBiggestFeller	78
21	SaintJosie	78
23	stellarjay	76
24	livingdaydreams	61
25	eitanzaki	59
25	ROY4LE	59
27	Mahoose	53
27	beeperbeeper5	53
29	Jindong	52
30	Spacewardharpy7	50
31	Decaying_Lotus	49
32	Cowison	47
32	ciemacigans	47
34	Esme_1	45
35	thescout7	44
36	Groovy_MoonBird	43
36	Kamflame10	43
36	AlphaWolfPlaysMC	43
39	Bandito_Roamer	42
40	Biites	41
41	kekhon	40
42	Ssor69	39
42	_Dean_123	39
44	Skippeh	38
44	Sral7	38
46	Merv__	37
46	Elastiq	37
48	_Nuf	35
49	Kowcio_	33
50	DermeinUser	31
51	Deathkob	30
52	Bumpy419	28
52	Smoke____	28
54	Racengan	26
55	500am	24
55	lcvezra	24
57	anbbang	23
58	Di_infiri	21
58	CACTUSLAD	21
60	RobotMinion101	20
60	Dusk_95	20
62	Hyp3rion_	19
62	starbits140	19
64	legal_tax_evader	18
64	OfficerAnvil	18
66	Rebytre	16
66	EveryonesUncle	16
68	teslawolf38	15
68	mwrty	15
68	Corbsman	15
71	Prismyst	14
71	Moofyman	14
73	TheSecondLord	13
73	xxPipperDipperxx	13
75	yulgur1	12
75	Nargotah	12
75	Jimb0nat0r	12
78	Mr_Byzantine	11
78	ShedJr_	11
80	ABUSNA1996	10
80	lorpus	10
80	2Stout	10
80	Chromary	10
84	Zaridey	9
84	Blu3beast	9
86	Blackberry1310	8
86	thewindmillman	8
86	Billious	8
86	Maenara	8
86	RoofTyler	8
86	Barlycorn	8
92	chipklip	7
92	Jackster03	7
92	XeroByMyth	7
92	luseis	7
92	Xclax101	7
92	Legendosh	7
98	joethahobo	6
98	Historical_Sand	6
98	Onennon	6
98	PigDab	6
98	lordpipe	6
103	Freeman666	5
103	FreakGenius	5
103	Kyrum2169	5
103	Steelynan	5
103	Enderxz3	5
108	PhantomsGhost_	4
108	ITDV	4
108	mattybeewrapss	4
108	corvidpartyfor6	4
108	set67	4
108	surfinggiraffejp	4
108	XboxPanda	4
108	Inbefour	4
108	The_slideV3	4
108	SingedBread	4
108	LazySupport00	4
108	monky_irl	4
108	kyouma777	4
108	djancak	4
108	Njensen7	4
108	Powowowow	4
108	00000000-0000-0000-0009-01ff0c3e5e4f	4
125	6king6colt6	3
125	bloodbiter	3
125	crying_wolf_13	3
125	Mewar	3
125	noam464	3
125	AnnieBathory	3
125	Skomo	3
125	aymonkey	3
125	Rasmanden	3
125	Meepcraft	3
125	Lifedy	3
125	brofrickcheaters	3
125	bitsplease	3
125	2bolx_	3
125	TechnoNinja64	3
140	Jovaphobic	2
140	dudcreeper	2
140	SlowMoNinja1994	2
140	Wolf_Mauler_73	2
140	bigstankyy	2
140	Incinere	2
140	Fullut	2
140	asspharte	2
140	RefluxRatio	2
140	Exiko	2
140	Nicky19	2
140	ebanana	2
140	Quincannon	2
140	RealGroot	2
140	mobunni	2
155	pintsizedrogue	1
155	I_Am_Mushkin	1
155	Sabby65	1
155	TAKrules	1
155	Swexti	1
155	Nostrom	1
155	Secret_Canary	1
155	boog4loo	1
155	MindyDooWho	1
155	4774	1
155	Awyrlas	1
155	PegLegPete93	1
155	r123moore	1
155	whoaluv	1
155	Hiryu27	1
155	Werbe	1
155	F_Uhre	1
155	thgrocks	1
155	ADEXTV	1
155	binman420	1
155	fkGrim	1
155	Nycteus_	1
155	GoofySilly	1
155	wwwwinnebagoooo	1
155	33sudo	1
155	SSytex_X	1
155	PortlyPete69	1
155	GlitchyPlate810	1
155	jcool7	1
155	EcksD	1
