rank	username	minecraft:picked_up/minecraft:blue_ice
1	EcksD	19196
2	Hyp3rion_	10217
3	beeperbeeper5	7413
4	Eraxa	5940
5	thewindmillman	5522
6	pretty_pink_reno	5100
7	Ezekson	3169
8	mihimihimihi	2944
8	YungMaki	2944
10	ougstur	2895
11	ROY4LE	2884
12	TheSecondLord	2780
13	audiocracked	2467
14	gcaisawesome	1988
15	500am	1948
16	Jackattack53	1741
17	noam464	1722
18	HellsSponge	1496
19	Mattesco	1434
20	m_be9	1425
21	livingdaydreams	1347
22	diamondgolem35	1290
23	lizardfightclub	1278
24	jnp_gaming	1170
25	U_Mos_	1163
26	rarrq	1111
27	luseis	1064
28	pixelviolin	971
29	obzii	857
30	Donutt	841
31	Zaridey	835
32	pintsizedrogue	787
33	Jekyll	770
34	Krowuss	756
35	yulgur1	644
36	F_Uhre	615
37	TechnoNinja64	606
38	Lord_Zacler	591
39	TheWickedBird	590
40	Soplight	523
41	mwrty	507
42	Tolhart	478
43	Kowcio_	474
44	IamCL4SSY	459
45	joethahobo	448
45	Rich_Kat	448
47	eitanzaki	444
48	xzvu	420
49	Legendosh	405
50	Enderxz3	401
51	Njensen7	385
52	fffMike	380
53	Di_infiri	376
54	layabout100	370
55	TheShyPig	359
56	Groundler	355
57	I_Am_Mushkin	329
58	T045RTY	324
59	AltnumberF4	318
60	CrateOfBoxes	315
61	AstreaTSS	298
62	thescout7	281
63	Fullut	278
64	Spacewardharpy7	275
65	Kakolbus	255
66	Yamdalorian	247
67	non089	224
68	Mewar	221
69	Saucepeh	213
70	EMC_	207
70	hermmm_	207
72	Jorrdi	201
73	taengoos	198
74	TheSeismicDuck	196
75	Blaiku	195
76	Paintz	193
76	Sral7	193
78	PhantomBionic	192
78	txxskx	192
80	Ssor69	189
81	eviltunix	188
82	Frozil20	186
83	6king6colt6	183
84	Jij0	181
85	Historical_Sand	176
85	nstuartwilliams1	176
87	Mr_Byzantine	169
87	Hiryu27	169
89	M_Patata	167
89	MasterNueve	167
91	Merv__	155
92	TooManyDuck	153
93	corvidpartyfor6	150
94	FreakGenius	142
95	Skippeh	141
96	skitzxo	138
97	AspenLightVT	128
98	excelsionprime	127
99	jcool7	126
100	r123moore	123
101	Hisiste	122
102	corpsecity	120
102	Barlycorn	120
104	Incinere	115
105	Awyrlas	110
106	EngagedGrub41	108
107	Deathkob	95
108	andy_rex	92
109	yheece	90
110	PlasticOtari	83
111	IdeallyGrey	76
111	diggydog67	76
113	RosaDoesMC	72
114	Leyna3	71
114	Kubeusz2010	71
116	Bumpy419	70
117	Spenduh	66
118	Apollo_993	65
118	Blackberry1310	65
118	EdGalbraith	65
121	The11thDoctor	64
121	wwwwinnebagoooo	64
121	sp00ky_ghost977	64
124	Vorlice	63
124	h2p_emrld	63
126	Steelynan	62
127	SuperPooch06	60
128	Onennon	59
128	fkGrim	59
128	Manaateee	59
131	Chromary	57
131	lordpipe	57
133	Euclidoris	56
134	eiC_	52
135	Maenara	51
136	oscminus	47
136	claivin	47
136	stellarjay	47
139	XeroByMyth	46
140	fluddd	44
141	slkiey	42
141	MightyWertu	42
143	emrekn	40
144	Groovy_MoonBird	37
144	MattieHD	37
146	ScootOfBoot	34
147	_Virify_	33
147	Azmodan_246	33
149	XxCookiequeenxX	32
150	Sleek_Storm_721	31
150	MyNameIsJobo	31
152	SmashingPump	30
153	valiSW	29
153	Werbe	29
155	Hoid_the_Roamer	28
156	AngalexikCZ	27
157	Akoot_	24
158	KarlKaek	23
158	Racengan	23
158	lunkuku	23
161	12Magner05	22
162	Blu3beast	21
163	himak1	20
163	Gus2005	20
165	MousePlays	19
165	Smiguli_	19
165	MakeHistory157	19
168	burbankbuilder28	18
