rank	username	minecraft:picked_up/minecraft:nautilus_shell
1	thewindmillman	4395
2	WyngGoy	238
3	El_Jalapeno	233
4	YungMaki	203
5	Chromary	179
6	Fullut	158
7	HellsSponge	125
8	loveseeker	119
9	kekhon	113
10	censorsheep	83
11	Myszoaz	81
12	obzii	78
13	Blu3beast	73
14	The_Dark_One_00	72
15	eitanzaki	70
16	Hyp3rion_	66
16	Njensen7	66
18	EcksDofficial	58
19	LordSpeed37	54
20	Racengan	53
21	ayamefag	50
22	TheShyPig	45
23	__tomato	44
23	oxfordschool	44
25	jnp_gaming	40
26	Xalithia	39
27	Enderslayerxz3	38
28	Mahoose	37
29	TheSecondLord	36
29	Ezekson	36
31	vandmanden	34
32	Skippeh	32
33	_TCARREIRA_	31
34	12Magner05	30
34	Freak_Genius	30
36	PhantomsGhost_	29
36	wezzzi	29
38	pintsizedrogue	28
38	ImpavidArcher	28
38	Maenara	28
41	JayToe	26
41	Smoke____	26
43	Onennon	25
44	rarrq	24
44	claivin	24
44	MovingFish7	24
47	Zythose	23
47	Legendosh	23
49	Kouridragon	22
50	jcool7	20
51	6king6colt6	19
51	KarlKaek	19
53	MyNameIsJobo	18
53	Donutt	18
53	Dogcorn69420	18
56	Kyrum2169	17
56	Segotep999	17
56	CalebDHawk	17
59	Lord_Jord	16
59	DASH_X7	16
61	Kkanot	15
61	xxPipperDipperxx	15
61	Bumpy419	15
61	Jiminie	15
61	PlasticOtari	15
66	Blackberry1310	14
66	CliffEmAll	14
66	slkiey	14
66	SvenskaAlvar	14
66	33sudo	14
71	Froste131	13
71	livingdaydreams	13
71	beeperbeeper5	13
71	jacxhadow	13
71	Akoot_	13
71	lordpipe	13
71	calamariclam_I	13
78	noam464	12
78	Jackattack53	12
78	Rumpletaezer	12
78	pappaberg	12
78	LilyNova	12
78	EveryonesUncle	12
78	rylikesrawtoast	12
78	stavgod	12
86	MinttyFressh	11
86	Werbe	11
86	wwwwinnebagoooo	11
86	Eraxa	11
90	EMC_	10
90	Mewar	10
90	Soplight	10
90	SammiWolfGirl	10
90	Powowowow	10
95	Groovy_MoonBird	9
95	Dedalus36	9
95	SaucyDark	9
95	Incinere	9
95	Ardennes	9
95	Zaridey	9
95	Marbz_	9
95	selectrix	9
95	ooga47	9
104	Bandito_Roamer	8
104	CoffeeNoir	8
104	Euclidoris	8
104	LeauVox4921	8
104	Hiryu27	8
104	ApophisNova	8
104	masskedman	8
104	NameGenerat0r	8
104	MAns_44	8
104	Blaiku	8
104	BumbleBeever	8
104	Omar_Alone	8
104	MyNamaSheff	8
104	TechnoNinja64	8
118	m_be9	7
118	ImDisconnected_	7
118	QueenShuvi	7
118	MightyWertu	7
118	LetsDoItLive	7
118	pixelviolin	7
118	lcvezra	7
118	EcksD	7
118	Nicserso	7
118	adiccting01	7
128	youhjjhhhjj	6
128	joethahobo	6
128	Covalents	6
128	Di_infiri	6
128	Snowflowe	6
128	Xclax101	6
128	Dusk_95	6
128	SvenskaHugo	6
128	Steelynan	6
137	pZygh0st	5
137	ssleepless	5
137	T045RTY	5
137	Nicky_H225	5
137	mwrty	5
137	CollinMH06	5
137	Arceus1975	5
137	AnnieBathory	5
137	Rebytre	5
137	Kim_Jong_eel	5
137	chipklip	5
137	DemTechAlpha	5
137	Spacewardharpy7	5
137	sp00ky_ghost977	5
137	Kowcio_	5
137	starbits140	5
137	erkada	5
137	_AAZAR	5
155	Mr_Byzantine	4
155	zqw10k	4
155	Paleshield	4
155	IWorkAtIkea	4
155	GLLogan2	4
155	thescout7	4
155	SuperPooch06	4
155	whoaluv	4
155	lizardfightclub	4
155	Inbefour	4
155	NoChumpChange	4
155	Keeogwi	4
155	IdeallyGrey	4
155	BlankityMcBlank	4
155	ediballbearings	4
155	Eczbek	4
171	Drlzyy	3
171	Merv__	3
171	Firecracker320	3
171	Batman922	3
171	Seyaboy	3
171	titanlax	3
171	Comma__	3
171	firesgal3116	3
171	Smashic	3
171	Cambo5000	3
171	Inchef	3
171	intropass	3
171	Touched_Bread	3
171	_Boipl_	3
171	MangoTheFish	3
171	aec9	3
171	DarlaMeow	3
171	1442	3
171	_zzoe	3
171	fluddd	3
171	Juh1s	3
171	GlitchyPlate810	3
171	MissCeleste7	3
194	Jovaphobic	2
194	EllaBellaChu	2
194	KingFaenor	2
194	Andrew1139	2
194	Hpdinosaur	2
194	RebelAndroid	2
194	Alteriity	2
194	Huwulling	2
194	H72l9w	2
194	301851	2
194	Swalt	2
194	SquadMonster	2
194	Sleepy_Time_	2
194	ratglock	2
194	Chickenchaser2	2
194	Megarboh	2
194	SteveCraftBlocks	2
194	redikul	2
194	Tmb1	2
194	ROY4LE	2
194	XboxPanda	2
194	TheDankPlatypus	2
194	Winklepicker279	2
194	gabriels543	2
194	JitteryJared2	2
194	Felenov	2
194	Mattesco	2
194	LilLizardWizard	2
194	Dan_Scha	2
194	RodSerlingCringe	2
194	KnightmareD	2
194	TheSeismicDuck	2
194	Lord_Zacler	2
194	Russiancat1	2
194	Fuhrer_Teemo	2
194	Soap_Bender	2
194	8092_	2
194	ComplexSquirrel	2
194	Hisiste	2
194	bndo	2
194	AvaRosey	2
194	kyouma777	2
194	Jij0	2
194	stahouo	2
194	mawileite	2
194	KingMatthew506	2
194	Hermanni__	2
194	alderban107	2
194	Vellu21	2
194	Kubeusz2010	2
194	EngagedGrub41	2
194	BreadBacon	2
194	RoboTramp7865	2
194	mountaingirl311	2
194	FallenCorps	2
194	HesDemonPants	2
194	h2p_emrld	2
194	00000000-0000-0000-0009-01ff0c3e5e4f	2
252	seanitoo	1
252	The_Great_Jake	1
252	teslawolf38	1
252	Azorathum	1
252	DepressedCubic	1
252	Tommhh	1
252	Frozil20	1
252	Sleek_Storm_721	1
252	Wolf_Mauler_73	1
252	TheMilkerOfCats	1
252	Begformurrcy	1
252	Iagoku	1
252	TooManyDuck	1
252	Wooptey	1
252	Ryker	1
252	openatheclose	1
252	Franco093	1
252	Caystelly	1
252	jimintyy	1
252	C0by3llis	1
252	Base_Tempest	1
252	ivorico	1
252	spaece	1
252	PhantomBionic	1
252	morgangauk	1
252	EvenMina	1
252	MrKrabOnCoke	1
252	fr0stss	1
252	FirsTimeGamingTV	1
252	chlorinex	1
252	Vizzoid	1
252	Ozixar	1
252	AlejandroPH1	1
252	Prodiginus	1
252	shdesolt	1
252	Cryptacity	1
252	bloodbiter	1
252	GingerNeutron	1
252	set67	1
252	Motsaro	1
252	himak1	1
252	Irko	1
252	gcaisawesome	1
252	TylerDupree	1
252	Matek_	1
252	CharlieButt	1
252	RustyKedel	1
252	valiSW	1
252	WET_WET_WET	1
