rank	username	minecraft:picked_up/minecraft:red_nether_bricks
1	thewindmillman	10539
2	Legendosh	3774
3	ooga47	2882
4	FreakGenius	1183
5	noam464	648
6	TheShyPig	644
7	lizardfightclub	525
8	12Magner05	483
9	YungMaki	435
10	m_be9	398
11	ApophisNova	268
11	MyNamaSheff	268
13	kekhon	233
14	MilleGrug	224
15	Eraxa	219
16	himak1	206
17	Marbz_	126
18	jnp_gaming	70
19	livingdaydreams	43
20	Steelynan	27
21	whoaluv	24
21	anbbang	24
23	Blu3beast	21
24	stavgod	19
25	The_SlideV5	18
26	ChiefThrock	13
27	rarrq	11
27	NotMeanttoChange	11
29	Sral7	10
30	Bandito_Roamer	9
30	ProfessorBee	9
32	The_slideV3	8
33	eitanzaki	7
33	Kowcio_	7
35	H72l9w	6
36	Kkanot	5
36	ROY4LE	5
36	Snowflowe	5
36	Hermanni__	5
40	Groovy_MoonBird	4
40	Rebytre	4
40	bladeefan2009	4
40	h2p_emrld	4
44	EMC_	3
44	Sabby65	3
44	beeperbeeper5	3
44	Xalithia	3
44	AnnieBathory	3
44	HellsSponge	3
44	jcool7	3
51	Jovaphobic	2
51	Merv__	2
51	Frozil20	2
51	ExtraDumb	2
51	Hpdinosaur	2
51	Mahoose	2
51	SteveCraftBlocks	2
51	Fullut	2
51	F_Uhre	2
51	Kynigito	2
51	sammidk	2
51	Kura2218	2
51	mobunni	2
64	JohnnyFyes	1
64	diamondgolem35	1
64	hm947	1
64	_Razaria	1
64	Blackberry1310	1
64	Freeman666	1
64	Onennon	1
64	Lord_Jord	1
64	binman420	1
64	Awesomely_SYD	1
64	lordpipe	1
64	Eczbek	1
64	ConnorDanky_	1
