rank	username	minecraft:picked_up/minecraft:granite_stairs
1	AdmiralSmoke	410
2	Kakolbus	214
3	Stiar	198
4	TheShyPig	145
5	2Stout	119
6	Snowflowe	105
7	Steelynan	102
8	kekhon	100
9	lcvezra	85
10	Malorn_Aetherius	76
11	Snow_Blizzard	70
12	HellsSponge	68
13	PlasticOtari	54
14	r123moore	45
15	Enderxz3	40
16	Lord_Jord	37
17	Mahoose	36
18	ImpavidArcher	33
19	Soplight	32
20	Merv__	31
21	SaintJosie	22
22	groofles	15
23	Choco_Spy	14
24	paranoid_plant	13
24	xolstoi	13
26	91stCataclysm	12
27	RobotMinion101	11
28	BobDeBouwer1337	10
29	titanlax	8
29	Werbe	8
29	Akoot_	8
29	Meatlaugh	8
29	SingedBread	8
34	Groovy_MoonBird	7
34	monomara	7
34	DarlaMeow	7
34	UCP_TheKingK	7
38	KarlKaek	6
38	NomadicRobin_	6
38	El_Jalapeno	6
41	Incinere	5
41	Smashic	5
41	Zythose	5
41	SpacesickPrism	5
41	TheRealHi	5
46	Historical_Sand	4
46	Maenara	4
46	SkateboardR6	4
46	Kowcio_	4
50	pintsizedrogue	3
50	EMC_	3
50	Bumpy419	3
50	R1CHY2K	3
50	Deathkob	3
50	TechnoNinja64	3
56	SellyZ	2
56	gcaisawesome	2
56	radioactv_jelly	2
56	YungMaki	2
56	starbits140	2
56	tartanboy	2
56	Skippeh	2
56	Nicserso	2
64	Frozil20	1
64	DinoDoctor_	1
64	Kkanot	1
64	GLLogan2	1
64	Dakar_	1
64	Racengan	1
64	SvenskaHugo	1
64	PortlyPete69	1
64	skrongus	1
