rank	username	minecraft:picked_up/minecraft:pointed_dripstone
1	beeperbeeper5	5753
2	pintsizedrogue	2164
3	500am	871
4	PlasticOtari	757
5	sebastiensaborio	572
6	Enderslayerxz3	407
7	Smoke____	363
8	T045RTY	331
9	TheSecondLord	247
10	thewindmillman	205
11	Legendosh	161
12	Flores991	144
13	Lord_Zacler	112
14	MAns_44	109
15	Vegvisir	100
16	Kubelz	99
17	Mahoose	91
18	Kakolbus	87
19	RebelAndroid	71
20	Marbz_	68
21	Spacewardharpy7	67
22	xxPipperDipperxx	65
23	_stets	54
23	_Razar	54
25	HolyVenom	45
26	SlayerCrypto	34
27	SingedBread	32
28	Kowcio_	31
29	SquadMonster	29
29	Enigma0251	29
31	YungMaki	26
32	pixelviolin	25
33	EMC_	22
33	Ezekson	22
35	PhantomBionic	20
35	MilleGrug	20
37	susbakaimpostor	19
37	Chickenchaser2	19
37	IdeallyGrey	19
40	wilgot_	18
41	breadbowlgamer	16
42	Inchef	15
42	Dan_Scha	15
42	WYFYoyo	15
45	TheEnderman548	14
46	Jackattack53	13
47	Winklepicker279	12
47	SuperPooch06	12
47	lordpipe	12
50	diamondgolem35	11
50	MyNameIsDakar	11
52	Merv__	10
52	Steven1282598	10
54	RadarHz	9
55	soundad	8
55	eitanzaki	8
55	ApophisNova	8
55	Joestra	8
55	EveryonesUncle	8
55	Freak_Genius	8
55	MyNamaSheff	8
62	Ithaca_GC	7
62	Mattesco	7
64	joethahobo	6
64	Xalithia	6
64	Akoot_	6
64	sp00ky_ghost977	6
64	Skippeh	6
64	EcksD	6
70	12Magner05	5
70	r123moore	5
70	Hyp3rion_	5
70	Sheldor097	5
74	Drlzyy	4
75	MinttyFressh	3
75	crying_wolf_13	3
75	noam464	3
75	PigDab	3
75	verynothing	3
80	benediktine1	2
80	_Boipl_	2
80	Skylord_Luke	2
80	Klerick	2
80	Not_Insom	2
80	aywri	2
80	Soplight	2
80	Spenduh	2
80	SammiWolfGirl	2
80	Xi_J1nping	2
80	Quotary	2
91	CoffeeNoir	1
91	Blackberry1310	1
91	The_Fulgurator	1
91	TJawesome09	1
91	Deathkob	1
91	Frozil12	1
91	MineMaster0012	1
91	EtherealEspresso	1
