rank	username	minecraft:picked_up/minecraft:waxed_weathered_copper
1	PlasticOtari	51
2	pintsizedrogue	38
3	Buuck_	31
4	luseis	10
5	skroobiez	7
6	Enderxz3	6
7	_witch_craft_	5
8	Jimb0nat0r	2
9	Mr_Byzantine	1
9	hanaryheatwave	1
