rank	username	minecraft:picked_up/minecraft:bone_block
1	Hyp3rion_	906295
2	Spacewardharpy7	136524
3	thewindmillman	113793
4	noam464	112990
5	hanaryheatwave	56892
6	EcksD	27963
7	pixelviolin	13485
8	Blaiku	10865
9	joethahobo	9886
10	rarrq	6253
11	Jackattack53	5225
12	luseis	4398
13	xolstoi	4223
14	eitanzaki	4202
15	EMC_	3507
16	PlasticOtari	3434
17	Legendosh	2911
18	Blackberry1310	2615
19	Quotary	2487
20	Werbe	2070
21	12Magner05	1851
22	AdmiralSmoke	1787
23	pintsizedrogue	1744
24	Inchef	1481
25	kekhon	1265
26	Maenara	1187
27	Mahoose	1153
28	El_Jalapeno	1123
29	PigDab	1082
30	ConnorDanky_	996
31	ooga47	978
32	Mr_Byzantine	890
33	NameGenerat0r	768
34	StinkyDiplomat	759
35	Segotep999	750
36	wwwwinnebagoooo	742
37	vandmanden	718
38	eviltunix	690
39	lordpipe	643
40	_lildarki3	640
41	jnp_gaming	633
42	k_ce	596
43	Fullut	592
44	Marbz_	573
45	Lord_Jord	564
46	PazinGaming	549
47	Akoot_	546
47	Eraxa	546
49	burbankbuilder28	534
50	AshleeCW	529
50	TechnoNinja64	529
52	Diavri	499
52	TheShyPig	499
54	TheSecondLord	469
55	Rebytre	466
56	HellsSponge	464
57	Di_infiri	462
58	Steelynan	461
59	NotMeanttoChange	456
60	Nicserso	446
61	AuroraValkyrie	430
62	ShedJr_	409
63	Snowflowe	407
64	mihimihimihi	396
65	ogoa	393
66	djancak	368
67	Historical_Sand	355
68	Elastiq	349
69	Bumpy419	340
69	Optiprimus	340
71	gcaisawesome	338
72	PortlyPete69	335
73	Druid95	331
74	Kowcio_	330
75	MinuteMira	329
76	00000000-0000-0000-0009-01ff0c3e5e4f	307
77	KarlKaek	293
78	Euclidoris	289
79	Merv__	288
80	Skylord_Luke	284
81	legal_tax_evader	272
82	ECstardust	269
83	Syropatathe	257
84	Hermanni__	254
85	Apollo_993	249
86	lcvezra	243
87	Xalithia	240
87	GravitySaint	240
89	MightyWertu	236
90	Enderxz3	230
91	Deerfoot	225
92	fffMike	223
93	Kakolbus	221
94	ImpavidArcher	214
95	XxCookiequeenxX	208
96	Groundler	207
97	500am	201
98	_Dean_123	200
99	RadarHz	190
100	Razzgriz	189
101	Rasmanden	182
101	FreakGenius	182
103	RobotMinion101	177
104	_Virify_	174
105	bigstankyy	171
105	YungMaki	171
107	SexcMf	170
108	LilLizardWizard	169
109	Sheldor097	166
110	EveryonesUncle	164
110	CornOnTheCobalt	164
112	NinjaKnifeKill	156
113	set67	153
114	_Bguette_	152
115	shadowthemonkey	147
116	Huwulling	145
116	Touched_Bread	145
116	Hisiste	145
119	Deathkob	144
120	pumpfonzo	139
121	Mattesco	137
121	theofiel	137
123	sp00ky_ghost977	136
124	Blu3beast	134
125	wordboy107	129
126	Swexti	128
126	Crowman1	128
126	Presisor	128
129	Kubeusz2010	125
130	ROY4LE	124
131	Wolverine4302	123
132	poopybh	117
133	ARandomHedge	113
134	The_SlideV5	109
135	QuiCreans	108
135	Quaintster	108
137	fanofbands101	106
138	F_Uhre	105
138	skrongus	105
140	Badenbeele	103
140	Awyrlas	103
142	Cowison	101
142	JETrotter	101
142	_Karmaa	101
142	MovingFish7	101
142	Iamthejo	101
147	yheece	99
147	ApophisNova	99
147	LeonelSalamanca	99
147	MyNamaSheff	99
151	Spenduh	96
152	thescout7	95
153	MinttyFressh	93
154	diamondgolem35	91
154	Jimb0nat0r	91
156	weabis	86
156	_i_ERROR_i_	86
158	__tomato	82
159	drunkeeez	80
159	ReverendSmith	80
161	anbbang	75
162	Shiirazu	73
163	Da_Boss_Rani	70
163	NomadicRobin_	70
165	2Stout	68
165	Jimi7hits	68
165	Soplight	68
168	Groovy_MoonBird	65
168	jessewegottacook	65
168	m_be9	65
168	HyperCave	65
172	H0UNDFRMH3LL	64
172	_Nuf	64
172	Smashic	64
172	excelsionprime	64
172	PegLegPete93	64
172	TakeThis2UrGrave	64
172	Malware_Mara	64
172	iTurbo	64
172	fw3xy74	64
172	1442	64
172	Eczbek	64
172	Skippeh	64
184	TheOuterCore	63
185	DarlaMeow	61
185	TheOnlyRake	61
187	RebelAndroid	60
187	The_slideV3	60
187	cog	60
190	CarltheCuck	58
191	_Magdo_	56
191	FreddyFart	56
191	Lutres_	56
194	SyntheticSurgeon	55
194	MoistMicrowave	55
194	coobert42	55
197	TheWildMateo	54
197	Winston_Ingram	54
197	EngagedGrub41	54
197	FishisTTV	54
201	Moofyman	52
201	MrQuanQuan	52
203	Zaridey	51
203	UCP_TheKingK	51
205	Karetoko	50
206	Malorn_Aetherius	49
206	ProfessorBee	49
206	MAns_44	49
209	Alteriity	47
210	NatalieTW	45
210	corvidpartyfor6	45
210	2blox_	45
213	beeperbeeper5	43
213	xxPipperDipperxx	43
215	Zythose	42
215	Decaying_Lotus	42
217	TheMaster972	41
217	Mewar	41
219	SaintJosie	40
219	lillips	40
219	AstreaTSS	40
222	Manaateee	39
223	lunathelemon	37
224	CLG_Kata	36
224	Dan_Scha	36
224	MineMaster0012	36
227	Frozil20	35
227	r123moore	35
227	Rumpletaezer	35
227	Arceus1975	35
231	Paint	34
231	Truckoss	34
231	KliBeast21	34
231	layabout100	34
231	Zoeyfortnite	34
236	Chrisdeadeye	32
236	lizardfightclub	32
236	SkateboardR6	32
239	MattieHD	31
239	ediballbearings	31
239	skote77	31
242	Motsaro	30
242	l_James_	30
244	gustarlep	29
244	Ezekson	29
246	AlexxO_o	28
247	UrbanPlanningEx	27
248	Lez_	26
248	TheDankPlatypus	26
248	Hiryu27	26
248	IamCL4SSY	26
252	Hanselhoof	25
252	himak1	25
252	XboxPanda	25
252	_Mythic____	25
252	BiggieDawg	25
257	teslawolf38	24
257	Yatitay	24
257	hm947	24
257	CoffeeNoir	24
257	GigaSl	24
257	Dogcorn69420	24
263	H72l9w	23
263	Erased_Identity	23
265	_Huge_Male_	21
265	emrekn	21
265	breadbowlgamer	21
265	zToasty69z	21
269	ITDV	20
269	toj__	20
269	Njensen7	20
269	NoobyandApple	20
273	ProbablyNick	19
273	Wooptey	19
273	PaperCanvas	19
276	Tyrannosplart	18
276	tartanboy	18
276	Sral7	18
279	Incinere	17
279	Kyrum2169	17
279	Bawbman	17
279	OrewaSora	17
283	Enigma0251	16
283	MangoSalad316	16
283	kalzor	16
283	Luigipunch989	16
283	K_a__a_n	16
288	ExtraDumb	15
288	Armattillo	15
288	Kouridragon	15
288	youarefrench_	15
288	diggydog67	15
293	SteveCraftBlocks	14
293	KartivGal	14
293	Xclax101	14
296	livingdaydreams	12
296	mwrty	12
296	Racengan	12
299	FirsTimeGamingTV	11
299	jushykins	11
