rank	username	minecraft:picked_up/minecraft:mossy_cobblestone_stairs
1	RefluxRatio	64
2	layabout100	61
3	EMC_	60
4	HellsSponge	59
5	Toiton	46
6	Enderxz3	43
7	FreakGenius	39
8	500am	38
9	pintsizedrogue	36
10	Krowuss	33
10	luseis	33
12	Kowcio_	32
13	SammiWolfGirl	30
14	Prismyst	29
15	killmeiamtraitor	27
16	soundad	21
16	Sral7	21
18	Eraxa	20
19	impossibleteapot	19
20	Mr_Byzantine	13
20	Frozil20	13
20	thescout7	13
20	Maenara	13
24	SaltineDream	11
24	Legendosh	11
26	Kubelz	10
26	wezzzi	10
26	ese_wn_po	10
29	beeperbeeper5	9
29	Malorn_Aetherius	9
29	godipose	9
29	Lutres_	9
33	BlancoFlaco	8
33	Mahoose	8
33	whoaluv	8
36	Notta	7
36	Cryptacity	7
36	blackeemperor	7
39	Werbe	6
39	Onennon	6
41	123louis456	5
41	Seyaboy	5
41	MyNameIsJobo	5
44	JETrotter	4
44	Lord_Jord	4
44	SpacesickPrism	4
47	PazinGaming	3
47	Blackberry1310	3
47	PegLegPete93	3
47	Skylord_Luke	3
47	seramalen	3
47	Manaateee	3
47	pixelviolin	3
47	TechnoNinja64	3
47	Yamdalorian	3
56	Merv__	2
56	lorywithay	2
56	Alteriity	2
56	Touched_Bread	2
56	fragrantmonke444	2
56	groofles	2
56	Elastiq	2
56	Jimb0nat0r	2
64	KarlKaek	1
64	joethahobo	1
64	MattieHD	1
64	Pelbo	1
64	Jackattack53	1
64	PuFY	1
64	ogoa	1
64	Meepcraft	1
64	Avocadogerms	1
64	Soplight	1
64	Steelynan	1
64	FelixPSY375	1
64	annebolyn	1
